family,fold,seed,subject_id,T_anchor_BA,T_replica_BA,invariant_BA,delta_BA_INV,T_anchor_ID,T_replica_ID,invariant_ID,delta_ID,replica_delta_ID,outer_test_used,outer_membership_enumerated
A_SUBJECT_GRL_EEGNET,0,1,54,0.79,0.74,0.8,0.010000000000000009,0.17,0.23,0.17,0.0,0.06,False,False
B_EEG_DG,0,1,1,0.6,0.6,0.5700000000000001,-0.029999999999999916,0.34,0.48,0.39,0.04999999999999999,0.13999999999999996,False,False
B_EEG_DG,0,1,3,0.83,0.85,0.79,-0.039999999999999925,0.25,0.19,0.65,0.4,-0.06,False,False
B_EEG_DG,0,1,6,0.96,0.9099999999999999,0.84,-0.12,0.28,0.39,0.37,0.08999999999999997,0.10999999999999999,False,False
B_EEG_DG,0,1,10,0.65,0.66,0.65,0.0,0.45,0.5,0.9,0.45,0.04999999999999999,False,False
B_EEG_DG,0,1,17,0.57,0.52,0.5700000000000001,1.1102230246251565e-16,0.03,0.01,0.03,0.0,-0.019999999999999997,False,False
B_EEG_DG,0,1,28,0.89,0.79,0.61,-0.28,0.14,0.13,0.26,0.12,-0.010000000000000009,False,False
B_EEG_DG,0,1,45,0.77,0.78,0.49,-0.28,0.94,0.95,0.91,-0.029999999999999916,0.010000000000000009,False,False
B_EEG_DG,0,1,48,0.6000000000000001,0.63,0.67,0.06999999999999995,0.25,0.35,0.24,-0.010000000000000009,0.09999999999999998,False,False
B_EEG_DG,0,1,54,0.75,0.69,0.65,-0.09999999999999998,0.23,0.09,0.14,-0.09,-0.14,False,False
C_SCLDGN,0,1,1,0.75,0.6,0.73,-0.020000000000000018,0.14,0.07,0.12,-0.020000000000000018,-0.07,False,False
C_SCLDGN,0,1,3,0.8999999999999999,0.87,0.8999999999999999,0.0,0.22,0.16,0.14,-0.07999999999999999,-0.06,False,False
C_SCLDGN,0,1,6,0.94,0.9299999999999999,0.9299999999999999,-0.010000000000000009,0.18,0.04,0.12,-0.06,-0.13999999999999999,False,False
C_SCLDGN,0,1,10,0.55,0.73,0.64,0.08999999999999997,0.82,0.67,0.55,-0.2699999999999999,-0.1499999999999999,False,False
C_SCLDGN,0,1,17,0.55,0.5700000000000001,0.51,-0.040000000000000036,0.08,0.02,0.01,-0.07,-0.06,False,False
C_SCLDGN,0,1,28,0.8999999999999999,0.75,0.91,0.01000000000000012,0.29,0.33,0.32,0.030000000000000027,0.040000000000000036,False,False
C_SCLDGN,0,1,45,0.74,0.77,0.73,-0.010000000000000009,0.98,0.92,0.32,-0.6599999999999999,-0.05999999999999994,False,False
C_SCLDGN,0,1,48,0.56,0.64,0.59,0.029999999999999916,0.27,0.39,0.08,-0.19,0.12,False,False
C_SCLDGN,0,1,54,0.74,0.6499999999999999,0.79,0.050000000000000044,0.35,0.51,0.13,-0.21999999999999997,0.16000000000000003,False,False
A_SUBJECT_GRL_EEGNET,1,0,3,0.87,0.88,0.87,0.0,0.62,0.43,0.58,-0.040000000000000036,-0.19,False,False
A_SUBJECT_GRL_EEGNET,1,0,7,0.6699999999999999,0.76,0.6699999999999999,0.0,0.33,0.54,0.26,-0.07,0.21000000000000002,False,False
A_SUBJECT_GRL_EEGNET,1,0,11,0.75,0.75,0.77,0.020000000000000018,0.41,0.34,0.4,-0.009999999999999953,-0.06999999999999995,False,False
A_SUBJECT_GRL_EEGNET,1,0,17,0.53,0.59,0.53,0.0,0.2,0.12,0.26,0.06,-0.08000000000000002,False,False
A_SUBJECT_GRL_EEGNET,1,0,19,0.5700000000000001,0.7,0.58,0.009999999999999898,0.32,0.47,0.34,0.020000000000000018,0.14999999999999997,False,False
A_SUBJECT_GRL_EEGNET,1,0,22,0.62,0.6799999999999999,0.6,-0.020000000000000018,0.43,0.22,0.37,-0.06,-0.21,False,False
