dataset,backbone,fold,subject_id,pair,BA,macro_F1,delta_vs_base_pp,delta_vs_partner_pp,delta_vs_best_pp
OpenBMI,EEGConformer,0,15,EEGConformer+LiteBN,0.87,0.8698828946051447,4.999999999999993,0.0,0.0
OpenBMI,EEGConformer,0,38,EEGConformer+LiteBN,0.75,0.736036321402175,1.0000000000000009,-2.0000000000000018,-2.0000000000000018
OpenBMI,EEGConformer,0,6,EEGConformer+LiteBN,0.94,0.9399759903961584,-1.0000000000000009,3.0000000000000027,-1.0000000000000009
OpenBMI,EEGConformer,0,33,EEGConformer+LiteBN,0.9,0.9,-2.0000000000000018,2.0000000000000018,-2.0000000000000018
OpenBMI,EEGConformer,0,32,EEGConformer+LiteBN,0.71,0.7099709970997099,2.0000000000000018,1.0000000000000009,1.0000000000000009
OpenBMI,EEGConformer,0,3,EEGConformer+LiteBN,0.9299999999999999,0.9299369432489241,0.0,5.999999999999995,0.0
OpenBMI,EEGConformer,0,5,EEGConformer+LiteBN,0.76,0.7564935064935066,-2.0000000000000018,1.0000000000000009,-2.0000000000000018
OpenBMI,EEGConformer,0,47,EEGConformer+LiteBN,0.8999999999999999,0.8996386993175431,4.999999999999982,3.9999999999999925,3.9999999999999925
OpenBMI,EEGConformer,0,15,EEGConformer+EEGNet,0.87,0.8698828946051447,4.999999999999993,3.9999999999999925,3.9999999999999925
OpenBMI,EEGConformer,0,38,EEGConformer+EEGNet,0.74,0.7291666666666667,0.0,-2.0000000000000018,-2.0000000000000018
OpenBMI,EEGConformer,0,6,EEGConformer+EEGNet,0.9299999999999999,0.9299369432489241,-2.0000000000000018,0.0,-2.0000000000000018
OpenBMI,EEGConformer,0,33,EEGConformer+EEGNet,0.9099999999999999,0.9097744360902256,-1.000000000000012,14.999999999999991,-1.000000000000012
OpenBMI,EEGConformer,0,32,EEGConformer+EEGNet,0.71,0.7097387648883995,2.0000000000000018,5.999999999999995,2.0000000000000018
