dataset,backbone,pair,base_BA,partner_BA,fusion_BA,delta_vs_base_pp,delta_vs_partner_pp,delta_best_pp,delta_best_ci_low_pp,delta_best_ci_high_pp,positive_folds_over_best,folds,base_bootstrap_ci,partner_bootstrap_ci
OpenBMI,CBraMod,CBraMod+EEGNet,0.50975,0.7577499999999999,0.7587499999999999,24.9,0.10000000000000009,0.10000000000000009,-0.12499999999999734,0.30000000000001137,3,5,"[22.15, 27.575]","[-0.1250000000000001, 0.30000000000000054]"
OpenBMI,CBraMod,CBraMod+LiteBN,0.50975,0.7915,0.79125,28.15,-0.0250000000000003,-0.024999999999997247,-0.20000000000000018,0.12500000000000844,0,5,"[25.174375, 31.0]","[-0.20000000000000018, 0.12499999999999982]"
OpenBMI,CodeBrain,CodeBrain+EEGNet,0.6675,0.7577499999999999,0.75175,8.425,-0.5999999999999989,-0.5999999999999894,-1.924999999999999,0.6750000000000034,2,5,"[6.450000000000003, 10.675]","[-1.9249999999999994, 0.6750000000000017]"
OpenBMI,CodeBrain,CodeBrain+LiteBN,0.6675,0.7915,0.77325,10.575,-1.8250000000000006,-1.8249999999999988,-3.049999999999986,-0.6999999999999895,1,5,"[8.35, 12.8]","[-3.05, -0.6999999999999997]"
OpenBMI,EEGConformer,EEGConformer+EEGNet,0.75775,0.7577499999999999,0.7887500000000001,3.0999999999999988,3.0999999999999996,3.1000000000000028,1.275000000000015,3.6499999999999977,5,5,"[1.999999999999999, 4.225]","[1.2993749999999995, 4.8756249999999905]"
OpenBMI,EEGConformer,EEGConformer+LiteBN,0.75775,0.7915,0.78975,3.1999999999999993,-0.17500000000000016,-0.17500000000000293,-1.2500000000000067,0.9499999999999953,3,5,"[1.9999999999999982, 4.499999999999998]","[-1.250000000000001, 0.9499999999999996]"
OpenBMI,EEGNet,EEGNet+LiteBN,0.7577499999999999,0.7915,0.8,4.225,0.85,0.8500000000000063,-0.09999999999998899,1.849999999999996,6,10,"[2.8500000000000005, 5.700000000000001]","[-0.09999999999999923, 1.8499999999999996]"
WBCIC,CBraMod,CBraMod+EEGNet,0.7348468556533071,0.78268022971652,0.7760504235907464,4.120356793743889,-0.6629806125773882,-0.6629806125773574,-1.51612903225804,0.20967741935483702,2,5,"[2.5645161290322562, 5.902003910068424]","[-1.5161290322580647, 0.20967741935483714]"
WBCIC,CBraMod,CBraMod+LiteBN,0.7348468556533071,0.7870401596611275,0.7867208374063213,5.187398175301402,-0.03193222548061349,-0.03193222548062424,-0.8706419028999823,0.8229064841968061,3,5,"[2.9454626914304356, 7.459328160638643]","[-0.8706419028999681, 0.8229064841968063]"
WBCIC,CodeBrain,CodeBrain+EEGNet,0.7502156647116326,0.78268022971652,0.7847751710654935,3.4559506353861194,0.209494134897361,0.2094941348973589,-0.951612903225818,1.5161290322580623,2,5,"[2.3430474095796674, 4.697886119257087]","[-0.9516129032258066, 1.5161290322580656]"
WBCIC,CodeBrain,CodeBrain+LiteBN,0.7502156647116326,0.7870401596611275,0.7886445096122514,3.842884490061909,0.16043499511241352,0.16043499511239068,-0.7266617790811394,1.047531769305965,3,5,"[2.3870967741935485, 5.262239328771588]","[-0.7266617790811333, 1.0475317693059611]"
WBCIC,EEGConformer,EEGConformer+EEGNet,0.7253818426197459,0.78268022971652,0.7780044395568589,5.262259693711304,-0.46757901596611395,-0.46757901596610196,-1.3709677419354915,0.4032258064516128,1,5,"[2.983870967741931, 7.778388725969368]","[-1.3709677419354835, 0.4032258064516104]"
WBCIC,EEGConformer,EEGConformer+LiteBN,0.7253818426197459,0.7870401596611275,0.783656321277289,5.827447865754316,-0.3383838383838407,-0.3383838383838489,-1.4838709677419295,0.7590501792114667,1,5,"[3.440351091560767, 8.392207355816222]","[-1.4838709677419353, 0.7590501792114672]"
WBCIC,EEGNet,EEGNet+LiteBN,0.78268022971652,0.7870401596611275,0.7939839931573802,1.130376344086021,0.6943833496252835,0.6943833496252716,-0.30478168784617926,1.2580645161290094,6,10,"[-0.11290322580645148, 2.2755712365591405]","[-0.18939444851743412, 1.5806451612903194]"
