dataset,backbone,fold,pair,base_BA,partner_BA,fusion_BA,delta_vs_base_pp,delta_vs_partner_pp,delta_vs_best_pp
OpenBMI,CBraMod,0,CBraMod+LiteBN,0.51125,0.8262499999999999,0.8262499999999999,31.499999999999993,0.0,0.0
OpenBMI,CBraMod,0,CBraMod+EEGNet,0.51125,0.8,0.80125,29.000000000000004,0.12499999999999734,0.12499999999999734
OpenBMI,CBraMod,1,CBraMod+LiteBN,0.5162500000000001,0.8325,0.8325,31.624999999999993,0.0,0.0
OpenBMI,CBraMod,1,CBraMod+EEGNet,0.5162500000000001,0.8125,0.815,29.874999999999986,0.24999999999999467,0.24999999999999467
OpenBMI,CBraMod,2,CBraMod+LiteBN,0.5,0.7275,0.7262500000000001,22.625000000000007,-0.12499999999999734,-0.12499999999999734
OpenBMI,CBraMod,2,CBraMod+EEGNet,0.5,0.6875,0.6875,18.75,0.0,0.0
OpenBMI,CBraMod,3,CBraMod+LiteBN,0.495,0.7875000000000001,0.7875000000000001,29.25000000000001,0.0,0.0
OpenBMI,CBraMod,3,CBraMod+EEGNet,0.495,0.76,0.76,26.5,0.0,0.0
OpenBMI,CBraMod,4,CBraMod+LiteBN,0.5262500000000001,0.78375,0.78375,25.749999999999986,0.0,0.0
OpenBMI,CBraMod,4,CBraMod+EEGNet,0.5262500000000001,0.72875,0.73,20.374999999999986,0.12499999999999734,0.12499999999999734
OpenBMI,CodeBrain,0,CodeBrain+LiteBN,0.69125,0.8262499999999999,0.8275,13.624999999999998,0.12500000000000844,0.12500000000000844
OpenBMI,CodeBrain,0,CodeBrain+EEGNet,0.69125,0.8,0.80125,10.999999999999998,0.12499999999999734,0.12499999999999734
OpenBMI,CodeBrain,1,CodeBrain+LiteBN,0.69,0.8325,0.8274999999999999,13.749999999999996,-0.5000000000000115,-0.5000000000000115
OpenBMI,CodeBrain,1,CodeBrain+EEGNet,0.69,0.8125,0.8025,11.250000000000004,-1.0000000000000009,-1.0000000000000009
OpenBMI,CodeBrain,2,CodeBrain+LiteBN,0.6575,0.7275,0.7250000000000001,6.7500000000000115,-0.24999999999999467,-0.24999999999999467
OpenBMI,CodeBrain,2,CodeBrain+EEGNet,0.6575,0.6875,0.72375,6.6250000000000036,3.6250000000000004,3.6250000000000004
OpenBMI,CodeBrain,3,CodeBrain+LiteBN,0.65625,0.7875000000000001,0.7675,11.124999999999996,-2.000000000000013,-2.000000000000013
OpenBMI,CodeBrain,3,CodeBrain+EEGNet,0.65625,0.76,0.7337499999999999,7.74999999999999,-2.6250000000000107,-2.6250000000000107
OpenBMI,CodeBrain,4,CodeBrain+LiteBN,0.6425000000000001,0.78375,0.71875,7.624999999999993,-6.499999999999995,-6.499999999999995
OpenBMI,CodeBrain,4,CodeBrain+EEGNet,0.6425000000000001,0.72875,0.6975,5.499999999999994,-3.125,-3.125
OpenBMI,EEGConformer,0,EEGConformer+LiteBN,0.835,0.8262499999999999,0.845,1.0000000000000009,1.8750000000000044,1.0000000000000009
OpenBMI,EEGConformer,0,EEGConformer+EEGNet,0.835,0.8,0.8499999999999999,1.4999999999999902,4.999999999999982,1.4999999999999902
OpenBMI,EEGConformer,1,EEGConformer+LiteBN,0.76,0.8325,0.8025,4.249999999999998,-3.0000000000000027,-3.0000000000000027
OpenBMI,EEGConformer,1,EEGConformer+EEGNet,0.76,0.8125,0.8274999999999999,6.749999999999989,1.4999999999999902,1.4999999999999902
OpenBMI,EEGConformer,2,EEGConformer+LiteBN,0.69625,0.7275,0.71625,2.0000000000000018,-1.1249999999999982,-1.1249999999999982
OpenBMI,EEGConformer,2,EEGConformer+EEGNet,0.69625,0.6875,0.71375,1.749999999999996,2.6249999999999996,1.749999999999996
OpenBMI,EEGConformer,3,EEGConformer+LiteBN,0.74875,0.7875000000000001,0.7987500000000001,5.000000000000004,1.1249999999999982,1.1249999999999982
OpenBMI,EEGConformer,3,EEGConformer+EEGNet,0.74875,0.76,0.77,2.124999999999999,1.0000000000000009,1.0000000000000009
OpenBMI,EEGConformer,4,EEGConformer+LiteBN,0.74875,0.78375,0.78625,3.749999999999998,0.2500000000000058,0.2500000000000058
OpenBMI,EEGConformer,4,EEGConformer+EEGNet,0.74875,0.72875,0.7825,3.3749999999999947,5.3749999999999964,3.3749999999999947
OpenBMI,EEGNet,0,EEGNet+LiteBN,0.8,0.8262499999999999,0.8262499999999999,2.6249999999999885,0.0,0.0
OpenBMI,EEGNet,1,EEGNet+LiteBN,0.8125,0.8325,0.8425,3.0000000000000027,1.0000000000000009,1.0000000000000009
OpenBMI,EEGNet,2,EEGNet+LiteBN,0.6875,0.7275,0.7475,6.000000000000005,2.0000000000000018,2.0000000000000018
OpenBMI,EEGNet,3,EEGNet+LiteBN,0.76,0.7875000000000001,0.8025,4.249999999999998,1.4999999999999902,1.4999999999999902
OpenBMI,EEGNet,4,EEGNet+LiteBN,0.72875,0.78375,0.78125,5.249999999999999,-0.24999999999999467,-0.24999999999999467
WBCIC,CBraMod,0,CBraMod+LiteBN,0.705,0.7792857142857141,0.7800000000000001,7.500000000000018,0.07142857142860004,0.07142857142860004
WBCIC,CBraMod,0,CBraMod+EEGNet,0.705,0.7714285714285715,0.7478571428571428,4.285714285714281,-2.3571428571428688,-2.3571428571428688
WBCIC,CBraMod,1,CBraMod+LiteBN,0.7775,0.7733333333333333,0.7841666666666667,0.666666666666671,1.0833333333333361,0.666666666666671
WBCIC,CBraMod,1,CBraMod+EEGNet,0.7775,0.8125,0.8141666666666666,3.6666666666666625,0.1666666666666594,0.1666666666666594
WBCIC,CBraMod,2,CBraMod+LiteBN,0.7108333333333333,0.7558333333333334,0.7416666666666667,3.083333333333338,-1.416666666666666,-1.416666666666666
WBCIC,CBraMod,2,CBraMod+EEGNet,0.7108333333333333,0.7491666666666666,0.735,2.416666666666667,-1.416666666666666,-1.416666666666666
WBCIC,CBraMod,3,CBraMod+LiteBN,0.7425420875420875,0.8405408249158249,0.8438909932659934,10.134890572390587,0.33501683501684365,0.33501683501684365
WBCIC,CBraMod,3,CBraMod+EEGNet,0.7425420875420875,0.8146811868686868,0.8237605218855218,8.121843434343434,0.9079335016835,0.9079335016835
WBCIC,CBraMod,4,CBraMod+LiteBN,0.7433333333333333,0.7875000000000001,0.785,4.166666666666674,-0.2500000000000058,-0.2500000000000058
WBCIC,CBraMod,4,CBraMod+EEGNet,0.7433333333333333,0.7675,0.7641666666666667,2.083333333333337,-0.33333333333332993,-0.33333333333332993
WBCIC,CodeBrain,0,CodeBrain+LiteBN,0.7521428571428572,0.7792857142857141,0.7821428571428571,2.9999999999999916,0.28571428571430024,0.28571428571430024
WBCIC,CodeBrain,0,CodeBrain+EEGNet,0.7521428571428572,0.7714285714285715,0.7685714285714286,1.6428571428571348,-0.28571428571428914,-0.28571428571428914
WBCIC,CodeBrain,1,CodeBrain+LiteBN,0.7716666666666666,0.7733333333333333,0.7883333333333332,1.6666666666666607,1.4999999999999902,1.4999999999999902
WBCIC,CodeBrain,1,CodeBrain+EEGNet,0.7716666666666666,0.8125,0.8141666666666666,4.249999999999998,0.1666666666666594,0.1666666666666594
WBCIC,CodeBrain,2,CodeBrain+LiteBN,0.7075,0.7558333333333334,0.7491666666666665,4.166666666666652,-0.6666666666666821,-0.6666666666666821
WBCIC,CodeBrain,2,CodeBrain+EEGNet,0.7075,0.7491666666666666,0.7400000000000001,3.2500000000000084,-0.9166666666666545,-0.9166666666666545
WBCIC,CodeBrain,3,CodeBrain+LiteBN,0.7936142676767677,0.8405408249158249,0.845496632996633,5.188236531986535,0.49558080808080884,0.49558080808080884
WBCIC,CodeBrain,3,CodeBrain+EEGNet,0.7936142676767677,0.8146811868686868,0.8430050505050506,4.939078282828291,2.8323863636363744,2.8323863636363744
WBCIC,CodeBrain,4,CodeBrain+LiteBN,0.7258333333333334,0.7875000000000001,0.7791666666666667,5.333333333333323,-0.8333333333333415,-0.8333333333333415
WBCIC,CodeBrain,4,CodeBrain+EEGNet,0.7258333333333334,0.7675,0.7608333333333333,3.499999999999981,-0.666666666666671,-0.666666666666671
WBCIC,EEGConformer,0,EEGConformer+LiteBN,0.66,0.7792857142857141,0.775,11.5,-0.4285714285714115,-0.4285714285714115
WBCIC,EEGConformer,0,EEGConformer+EEGNet,0.66,0.7714285714285715,0.7692857142857142,10.92857142857142,-0.2142857142857224,-0.2142857142857224
WBCIC,EEGConformer,1,EEGConformer+LiteBN,0.7683333333333334,0.7733333333333333,0.7849999999999998,1.6666666666666385,1.1666666666666492,1.1666666666666492
WBCIC,EEGConformer,1,EEGConformer+EEGNet,0.7683333333333334,0.8125,0.7975,2.9166666666666563,-1.5000000000000013,-1.5000000000000013
WBCIC,EEGConformer,2,EEGConformer+LiteBN,0.7275,0.7558333333333334,0.7433333333333332,1.5833333333333144,-1.2500000000000178,-1.2500000000000178
WBCIC,EEGConformer,2,EEGConformer+EEGNet,0.7275,0.7491666666666666,0.7416666666666667,1.416666666666666,-0.7499999999999951,-0.7499999999999951
WBCIC,EEGConformer,3,EEGConformer+LiteBN,0.7311395202020202,0.8405408249158249,0.8347243265993266,10.358480639730638,-0.5816498316498331,-0.5816498316498331
WBCIC,EEGConformer,3,EEGConformer+EEGNet,0.7311395202020202,0.8146811868686868,0.8221896043771043,9.105008417508408,0.7508417508417464,0.7508417508417464
WBCIC,EEGConformer,4,EEGConformer+LiteBN,0.7508333333333334,0.7875000000000001,0.7816666666666666,3.083333333333327,-0.5833333333333468,-0.5833333333333468
