dataset,backbone,fold,parameter_count,trainable_parameters,model_disk_bytes,inference_peak_vram_GB,peak_training_vram_GB
OpenBMI,EEGNet,0,34162,0,145209,,
OpenBMI,LiteBN,0,47978,0,211734,,
OpenBMI,EEGConformer,0,858386,858386,3460760,,
OpenBMI,CBraMod,0,4924402,4924402,19763191,,
OpenBMI,CodeBrain,0,15291602,15291602,61373343,,
OpenBMI,EEGNet,1,34162,0,145209,,
OpenBMI,LiteBN,1,47978,0,211734,,
OpenBMI,EEGConformer,1,858386,858386,3460760,,
OpenBMI,CBraMod,1,4924402,4924402,19763191,,
OpenBMI,CodeBrain,1,15291602,15291602,61373343,,
OpenBMI,EEGNet,2,34162,0,145209,,
OpenBMI,LiteBN,2,47978,0,211734,,
OpenBMI,EEGConformer,2,858386,858386,3460760,,
OpenBMI,CBraMod,2,4924402,4924402,19763191,,
OpenBMI,CodeBrain,2,15291602,15291602,61373343,,
OpenBMI,EEGNet,3,34162,0,145209,,
OpenBMI,LiteBN,3,47978,0,211734,,
OpenBMI,EEGConformer,3,858386,858386,3460760,,
OpenBMI,CBraMod,3,4924402,4924402,19763191,,
OpenBMI,CodeBrain,3,15291602,15291602,61373343,,
OpenBMI,EEGNet,4,34162,0,145209,,
OpenBMI,LiteBN,4,47978,0,211734,,
OpenBMI,EEGConformer,4,858386,858386,3460760,,
OpenBMI,CBraMod,4,4924402,4924402,19763191,,
OpenBMI,CodeBrain,4,15291602,15291602,61373343,,
WBCIC,EEGNet,0,34098,0,144953,,
WBCIC,LiteBN,0,47786,0,210966,,
WBCIC,EEGConformer,0,851986,851986,3435160,,
WBCIC,CBraMod,0,4924402,4924402,19763191,,
WBCIC,CodeBrain,0,15283602,15283602,61341343,,
WBCIC,EEGNet,1,34098,0,144953,,
WBCIC,LiteBN,1,47786,0,210966,,
WBCIC,EEGConformer,1,851986,851986,3435160,,
WBCIC,CBraMod,1,4924402,4924402,19763191,,
WBCIC,CodeBrain,1,15283602,15283602,61341343,,
WBCIC,EEGNet,2,34098,0,144953,,
WBCIC,LiteBN,2,47786,0,210966,,
WBCIC,EEGConformer,2,851986,851986,3435160,,
WBCIC,CBraMod,2,4924402,4924402,19763191,,6.872872829437256
WBCIC,CodeBrain,2,15283602,15283602,61341343,,11.344293117523193
WBCIC,EEGNet,3,34098,0,144953,,
WBCIC,LiteBN,3,47786,0,210966,,
WBCIC,EEGConformer,3,851986,851986,3435160,,14.840600967407227
WBCIC,CBraMod,3,4924402,4924402,19763191,,6.836806774139404
WBCIC,CodeBrain,3,15283602,15283602,61341343,,11.343652725219727
WBCIC,EEGNet,4,34098,0,144953,,
WBCIC,LiteBN,4,47786,0,210966,,
WBCIC,EEGConformer,4,851986,851986,3435160,,14.840600967407227
WBCIC,CBraMod,4,4924402,4924402,19763191,,6.836806774139404
WBCIC,CodeBrain,4,15283602,15283602,61341343,,11.344922065734863
