dataset,fold,model,mean_abs_logit,mean_logit_l2,mean_decision_margin,predictive_entropy,confidence,fraction_finite,class_ordering
OpenBMI,0,EEGNet,1.1843029855121858,1.853420116555876,2.076174361607991,0.38050578914054556,0.8316570515399222,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,LiteBN,1.1768278018524143,1.7450085408233071,2.279916739733744,0.3492325748977281,0.8479115063181727,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,EEGConformer,1.560018103281327,2.2464657993692696,3.103917090384639,0.2636910283739669,0.8877533773061017,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,EEGConformer+LiteBN,1.3007464194868226,1.8738263856865598,2.579898082760628,0.3098801122122585,0.8692723409659799,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,EEGConformer+EEGNet,1.247008620374836,1.8538724853204789,2.441914487555623,0.3276936049505694,0.8597214846560268,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,CBraMod,0.048254857102874665,0.06923207358526533,0.01359143589157611,0.6931141446164457,0.5033977329646853,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,CBraMod+LiteBN,0.5867187136312714,0.8674939467854615,1.1402365941239987,0.5365099298028464,0.7373805150159094,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,CBraMod+EEGNet,0.5851024505158421,0.9127160391764721,1.0383257199055516,0.5566622325291107,0.7202614995325858,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,CodeBrain,0.60289271784015,0.8955877859692236,1.158404852707754,0.5337220254351104,0.727495203723797,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,CodeBrain+LiteBN,0.771938796651084,1.145160362251687,1.4953938546031713,0.47210327258949447,0.7765137369837803,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,CodeBrain+EEGNet,0.782516385508352,1.2139877629496079,1.3993131323123817,0.49080098208213985,0.7652681400453224,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,0,EEGNet+LiteBN,1.1043821761244907,1.6654468864951228,2.085421681050211,0.37657552553810264,0.8345428819803631,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,EEGNet,1.2216787278070114,1.837431853938743,2.276260815453716,0.354593079416948,0.8417584857167568,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,LiteBN,1.4860199995804941,2.24417482148607,2.789641922359515,0.2888007516504837,0.8786234700431328,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,EEGConformer,1.8680034945299848,2.763112639601333,3.7036926794238387,0.2382684907508422,0.9002416140702081,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,EEGConformer+LiteBN,1.5657670587976462,2.2686585319639287,3.088366747018881,0.27238774633408225,0.884290260939791,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,EEGConformer+EEGNet,1.418184449126711,2.072647677769863,2.7998100718553176,0.30753245648508704,0.8642773992820573,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,CBraMod,0.03406942478730343,0.057147519821966954,0.05518202250590548,0.6925815583708724,0.5137863313764155,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,CBraMod+LiteBN,0.7421582604756987,1.1183034687459323,1.3992751344389398,0.4867771217716146,0.7740985658031788,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,CBraMod+EEGNet,0.6098685322894016,0.9152282323117106,1.1413264403596985,0.535309376097789,0.7348661982602794,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,CodeBrain,1.3164415662934335,2.1407650055531935,1.9147614516610338,0.4189577703018973,0.8029837355097976,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,CodeBrain+LiteBN,1.2122013972699641,1.9276185255618814,2.0551554441917688,0.39168544731310007,0.8212458252637685,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,CodeBrain+EEGNet,1.1312105146050453,1.782865740027675,1.8948882259614765,0.41545614279900933,0.8063219884801966,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,1,EEGNet+LiteBN,1.2673468315602805,1.9030288619682016,2.425280010169663,0.3343571725825479,0.8556070632865291,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,EEGNet,0.8846424816222861,1.3601604129233604,1.5839177950564771,0.4574373771013876,0.7838043968060208,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,LiteBN,1.3430120792234084,1.9947015622241997,2.6161918715003414,0.3137565327844312,0.8641190396609909,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,EEGConformer,1.9150009644427337,2.854443146225959,3.81085895198863,0.230107433937008,0.9025821406364486,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,EEGConformer+LiteBN,1.486824978053337,2.1771126900315387,2.9183528131456113,0.296549275111133,0.8708698375626897,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,EEGConformer+EEGNet,1.2231813374522609,1.8367911773652497,2.386275745166931,0.3507498425037799,0.8434743930786515,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,CBraMod,0.038362560818204654,0.05786146156001159,0.07672512163640931,0.6924081319858965,0.5191717306827153,1.0,"logit[0]=class0, logit[1]=class1"
