dataset,backbone,fold,seed,status,best_epoch,best_inner_val_BA,runtime_seconds,peak_vram_GB,parameter_count,checkpoint_path,checkpoint_sha256,normalizer_sha256
WBCIC,EEGConformer,0,0,RESUMED_COMPLETE,13,0.660084595959596,0.0,,851986,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\eegconformer\fold-0\seed-0\selected_best.pt,ffcad3037c7f41d42e4cdbe8fa1cc9a2d8aebb887b37114886c9b0daf8770f97,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC,CBraMod,0,0,RESUMED_COMPLETE,10,0.6763989898989899,0.0,,4924402,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\cbramod\fold-0\seed-0\selected_best.pt,9567cedbcf6ad15175fb7e2f19d2f7ef28290f1053570b368c8683ab3e727cbe,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC,CodeBrain,0,0,RESUMED_COMPLETE,8,0.6631578282828283,0.0,,15283602,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\codebrain\fold-0\seed-0\selected_best.pt,5fc300b51d8f5d8d4463d29cd05611be8668b13f5418a5cb1aac665d12f993d8,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC,EEGConformer,1,0,RESUMED_COMPLETE,39,0.8775328282828283,0.0,,851986,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\eegconformer\fold-1\seed-0\selected_best.pt,62bc9833728b1761fcd6fe0d46106968b6b3f440f15cd0cc398dbf393a73bf56,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
WBCIC,CBraMod,1,0,RESUMED_COMPLETE,10,0.8315959595959596,0.0,,4924402,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\cbramod\fold-1\seed-0\selected_best.pt,8ded7abec8559dbaf37988351d6b13755402ba2fb4663a8a5a5236d1f6d8cf8c,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
WBCIC,CodeBrain,1,0,RESUMED_COMPLETE,8,0.8263888888888887,0.0,,15283602,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\codebrain\fold-1\seed-0\selected_best.pt,e5e739262ae8abaa9d33990252f54d30cbfdd2e83cbc749a9b617ecba32f0e18,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
WBCIC,EEGConformer,2,0,RESUMED_COMPLETE,23,0.857,0.0,,851986,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\eegconformer\fold-2\seed-0\selected_best.pt,9a06bbe89dba9b0495d983478334c8a435de045bbe22c1ad37067cda44a66f34,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
WBCIC,CBraMod,2,0,COMPLETE,8,0.837,70.18155249999836,6.872872829437256,4924402,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\cbramod\fold-2\seed-0\selected_best.pt,9dd1d712a0e9a6b2af7961a5621c7c07f2142e6e72ba68dd6c2043709398c2ca,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
WBCIC,CodeBrain,2,0,COMPLETE,8,0.8320000000000001,325.5048106999602,11.344293117523193,15283602,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\codebrain\fold-2\seed-0\selected_best.pt,eadb14e8cf7d76b8608b496d509351c56e0f49f59560ebfca20c410ed3397d40,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
WBCIC,EEGConformer,3,0,COMPLETE,8,0.6980000000000001,187.0962749000173,14.840600967407227,851986,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\eegconformer\fold-3\seed-0\selected_best.pt,df4627278828b3a71914fe51e2b0a7471a91a516c65977de98e70ecefa922871,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035
WBCIC,CBraMod,3,0,COMPLETE,10,0.679,61.92902230005711,6.836806774139404,4924402,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\cbramod\fold-3\seed-0\selected_best.pt,d48715c5fa6ad6185a71de66c17a3c3f53fd4c32e89e5d10ed22bf63bcb76d49,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035
WBCIC,CodeBrain,3,0,COMPLETE,9,0.739,327.14413270005025,11.343652725219727,15283602,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\codebrain\fold-3\seed-0\selected_best.pt,cc36f221f8ec17afabe180d6c38d1af8abf7a9dd4b6c136d5ed6d61c01ae9dad,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035
WBCIC,EEGConformer,4,0,COMPLETE,43,0.7389999999999999,185.90533909993246,14.840600967407227,851986,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\eegconformer\fold-4\seed-0\selected_best.pt,9b7bbd6f801e33045f80947b365d10b7b981c2eb059de764a54221b58c2b5f68,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e
WBCIC,CBraMod,4,0,COMPLETE,9,0.72,62.8552993000485,6.836806774139404,4924402,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\cbramod\fold-4\seed-0\selected_best.pt,e8d0c33e0604e8788db61b2274a65b370f1a54c512387ac44bcea420692470fb,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e
WBCIC,CodeBrain,4,0,COMPLETE,9,0.709,325.8118189999368,11.344922065734863,15283602,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\wbcic\codebrain\fold-4\seed-0\selected_best.pt,ded7a79777811fa4df0aca9413129720b57f6cff069bc57f8a00ac83c3a0e5d8,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e
