dataset,backbone,fold,pair,delta_vs_best_pp,positive_over_best
OpenBMI,CBraMod,0,CBraMod+LiteBN,0.0,False
OpenBMI,CBraMod,0,CBraMod+EEGNet,0.12499999999999734,True
OpenBMI,CBraMod,1,CBraMod+LiteBN,0.0,False
OpenBMI,CBraMod,1,CBraMod+EEGNet,0.24999999999999467,True
OpenBMI,CBraMod,2,CBraMod+LiteBN,-0.12499999999999734,False
OpenBMI,CBraMod,2,CBraMod+EEGNet,0.0,False
OpenBMI,CBraMod,3,CBraMod+LiteBN,0.0,False
OpenBMI,CBraMod,3,CBraMod+EEGNet,0.0,False
OpenBMI,CBraMod,4,CBraMod+LiteBN,0.0,False
OpenBMI,CBraMod,4,CBraMod+EEGNet,0.12499999999999734,True
OpenBMI,CodeBrain,0,CodeBrain+LiteBN,0.12500000000000844,True
OpenBMI,CodeBrain,0,CodeBrain+EEGNet,0.12499999999999734,True
OpenBMI,CodeBrain,1,CodeBrain+LiteBN,-0.5000000000000115,False
OpenBMI,CodeBrain,1,CodeBrain+EEGNet,-1.0000000000000009,False
OpenBMI,CodeBrain,2,CodeBrain+LiteBN,-0.24999999999999467,False
OpenBMI,CodeBrain,2,CodeBrain+EEGNet,3.6250000000000004,True
OpenBMI,CodeBrain,3,CodeBrain+LiteBN,-2.000000000000013,False
OpenBMI,CodeBrain,3,CodeBrain+EEGNet,-2.6250000000000107,False
OpenBMI,CodeBrain,4,CodeBrain+LiteBN,-6.499999999999995,False
OpenBMI,CodeBrain,4,CodeBrain+EEGNet,-3.125,False
OpenBMI,EEGConformer,0,EEGConformer+LiteBN,1.0000000000000009,True
OpenBMI,EEGConformer,0,EEGConformer+EEGNet,1.4999999999999902,True
OpenBMI,EEGConformer,1,EEGConformer+LiteBN,-3.0000000000000027,False
OpenBMI,EEGConformer,1,EEGConformer+EEGNet,1.4999999999999902,True
OpenBMI,EEGConformer,2,EEGConformer+LiteBN,-1.1249999999999982,False
OpenBMI,EEGConformer,2,EEGConformer+EEGNet,1.749999999999996,True
OpenBMI,EEGConformer,3,EEGConformer+LiteBN,1.1249999999999982,True
OpenBMI,EEGConformer,3,EEGConformer+EEGNet,1.0000000000000009,True
OpenBMI,EEGConformer,4,EEGConformer+LiteBN,0.2500000000000058,True
OpenBMI,EEGConformer,4,EEGConformer+EEGNet,3.3749999999999947,True
OpenBMI,EEGNet,0,EEGNet+LiteBN,0.0,False
OpenBMI,EEGNet,1,EEGNet+LiteBN,1.0000000000000009,True
OpenBMI,EEGNet,2,EEGNet+LiteBN,2.0000000000000018,True
OpenBMI,EEGNet,3,EEGNet+LiteBN,1.4999999999999902,True
OpenBMI,EEGNet,4,EEGNet+LiteBN,-0.24999999999999467,False
WBCIC,CBraMod,0,CBraMod+LiteBN,0.07142857142860004,True
WBCIC,CBraMod,0,CBraMod+EEGNet,-2.3571428571428688,False
WBCIC,CBraMod,1,CBraMod+LiteBN,0.666666666666671,True
WBCIC,CBraMod,1,CBraMod+EEGNet,0.1666666666666594,True
WBCIC,CBraMod,2,CBraMod+LiteBN,-1.416666666666666,False
WBCIC,CBraMod,2,CBraMod+EEGNet,-1.416666666666666,False
WBCIC,CBraMod,3,CBraMod+LiteBN,0.33501683501684365,True
WBCIC,CBraMod,3,CBraMod+EEGNet,0.9079335016835,True
WBCIC,CBraMod,4,CBraMod+LiteBN,-0.2500000000000058,False
WBCIC,CBraMod,4,CBraMod+EEGNet,-0.33333333333332993,False
WBCIC,CodeBrain,0,CodeBrain+LiteBN,0.28571428571430024,True
WBCIC,CodeBrain,0,CodeBrain+EEGNet,-0.28571428571428914,False
WBCIC,CodeBrain,1,CodeBrain+LiteBN,1.4999999999999902,True
WBCIC,CodeBrain,1,CodeBrain+EEGNet,0.1666666666666594,True
WBCIC,CodeBrain,2,CodeBrain+LiteBN,-0.6666666666666821,False
WBCIC,CodeBrain,2,CodeBrain+EEGNet,-0.9166666666666545,False
WBCIC,CodeBrain,3,CodeBrain+LiteBN,0.49558080808080884,True
WBCIC,CodeBrain,3,CodeBrain+EEGNet,2.8323863636363744,True
WBCIC,CodeBrain,4,CodeBrain+LiteBN,-0.8333333333333415,False
WBCIC,CodeBrain,4,CodeBrain+EEGNet,-0.666666666666671,False
WBCIC,EEGConformer,0,EEGConformer+LiteBN,-0.4285714285714115,False
WBCIC,EEGConformer,0,EEGConformer+EEGNet,-0.2142857142857224,False
WBCIC,EEGConformer,1,EEGConformer+LiteBN,1.1666666666666492,True
WBCIC,EEGConformer,1,EEGConformer+EEGNet,-1.5000000000000013,False
WBCIC,EEGConformer,2,EEGConformer+LiteBN,-1.2500000000000178,False
WBCIC,EEGConformer,2,EEGConformer+EEGNet,-0.7499999999999951,False
WBCIC,EEGConformer,3,EEGConformer+LiteBN,-0.5816498316498331,False
WBCIC,EEGConformer,3,EEGConformer+EEGNet,0.7508417508417464,True
WBCIC,EEGConformer,4,EEGConformer+LiteBN,-0.5833333333333468,False
WBCIC,EEGConformer,4,EEGConformer+EEGNet,-0.666666666666671,False
WBCIC,EEGNet,0,EEGNet+LiteBN,1.9285714285714461,True
WBCIC,EEGNet,1,EEGNet+LiteBN,-1.9166666666666665,False
WBCIC,EEGNet,2,EEGNet+LiteBN,0.08333333333331305,True
WBCIC,EEGNet,3,EEGNet+LiteBN,0.0043139730639629725,True
WBCIC,EEGNet,4,EEGNet+LiteBN,-0.7499999999999951,False
OpenBMI,EEGNet,0,EEGNet+LiteBN,0.0,False
OpenBMI,EEGNet,1,EEGNet+LiteBN,1.0000000000000009,True
OpenBMI,EEGNet,2,EEGNet+LiteBN,2.0000000000000018,True
OpenBMI,EEGNet,3,EEGNet+LiteBN,1.4999999999999902,True
OpenBMI,EEGNet,4,EEGNet+LiteBN,-0.24999999999999467,False
WBCIC,EEGNet,0,EEGNet+LiteBN,1.9285714285714461,True
WBCIC,EEGNet,1,EEGNet+LiteBN,-1.9166666666666665,False
WBCIC,EEGNet,2,EEGNet+LiteBN,0.08333333333331305,True
WBCIC,EEGNet,3,EEGNet+LiteBN,0.0043139730639629725,True
