dataset,backbone,fold,subject_id,model,BA,macro_F1
OpenBMI,EEGNet,0,15,EEGNet,0.8300000000000001,0.8298468621759583
OpenBMI,EEGNet,0,38,EEGNet,0.76,0.7519636213311285
OpenBMI,EEGNet,0,6,EEGNet,0.9299999999999999,0.9298245614035088
OpenBMI,EEGNet,0,33,EEGNet,0.76,0.7552019583843329
OpenBMI,EEGNet,0,32,EEGNet,0.65,0.6496847162446202
OpenBMI,EEGNet,0,3,EEGNet,0.84,0.8383838383838383
OpenBMI,EEGNet,0,5,EEGNet,0.73,0.72997299729973
OpenBMI,EEGNet,0,47,EEGNet,0.8999999999999999,0.8993558776167472
OpenBMI,LiteBN,0,15,LiteBN,0.87,0.8698828946051447
OpenBMI,LiteBN,0,38,LiteBN,0.77,0.757153415690001
OpenBMI,LiteBN,0,6,LiteBN,0.9099999999999999,0.9099189270343309
OpenBMI,LiteBN,0,33,LiteBN,0.88,0.8799519807923168
OpenBMI,LiteBN,0,32,LiteBN,0.7,0.6998799519807923
OpenBMI,LiteBN,0,3,LiteBN,0.87,0.8699869986998701
OpenBMI,LiteBN,0,5,LiteBN,0.75,0.7469379491851402
OpenBMI,LiteBN,0,47,LiteBN,0.86,0.8579545454545454
OpenBMI,EEGConformer,0,15,EEGConformer,0.8200000000000001,0.8199279711884754
OpenBMI,EEGConformer,0,38,EEGConformer,0.74,0.7291666666666667
OpenBMI,EEGConformer,0,6,EEGConformer,0.95,0.9499949994999499
OpenBMI,EEGConformer,0,33,EEGConformer,0.92,0.92
OpenBMI,EEGConformer,0,32,EEGConformer,0.69,0.6897207486738064
OpenBMI,EEGConformer,0,3,EEGConformer,0.9299999999999999,0.9299929992999301
OpenBMI,EEGConformer,0,5,EEGConformer,0.78,0.7785829307568438
OpenBMI,EEGConformer,0,47,EEGConformer,0.8500000000000001,0.849624060150376
OpenBMI,CBraMod,0,15,CBraMod,0.48,0.32432432432432434
OpenBMI,CBraMod,0,38,CBraMod,0.49,0.3288590604026846
OpenBMI,CBraMod,0,6,CBraMod,0.5700000000000001,0.5696126513862476
OpenBMI,CBraMod,0,33,CBraMod,0.5,0.49919871794871795
OpenBMI,CBraMod,0,32,CBraMod,0.47,0.3197278911564626
OpenBMI,CBraMod,0,3,CBraMod,0.5599999999999999,0.48574100046750823
OpenBMI,CBraMod,0,5,CBraMod,0.52,0.4851994851994852
OpenBMI,CBraMod,0,47,CBraMod,0.5,0.39290917921321034
OpenBMI,CodeBrain,0,15,CodeBrain,0.62,0.6193910256410255
OpenBMI,CodeBrain,0,38,CodeBrain,0.6699999999999999,0.6683750376846548
OpenBMI,CodeBrain,0,6,CodeBrain,0.9099999999999999,0.9099189270343309
OpenBMI,CodeBrain,0,33,CodeBrain,0.71,0.7050147492625369
OpenBMI,CodeBrain,0,32,CodeBrain,0.6000000000000001,0.5993589743589745
OpenBMI,CodeBrain,0,3,CodeBrain,0.71,0.6991389148251893
OpenBMI,CodeBrain,0,5,CodeBrain,0.75,0.7479584635547938
OpenBMI,CodeBrain,0,47,CodeBrain,0.56,0.45436507936507936
