dataset,seed,alpha,policy,joint_violation_rate,average_set_size,singleton_rate,argmax_error,macro_f1,intervention_rate,sentinel_rate
cap,0,0.1,no_tta_global_crc,0.04054054054054054,3.0238175675675674,0.09859234234234235,0.36931306306306305,0.4377224892907341,0.0,0.0
cap,0,0.1,probecert_v3,0.04054054054054054,3.0224099099099098,0.0990990990990991,0.36942567567567564,0.43766323261919554,0.14864864864864866,0.0
cap,0,0.2,no_tta_global_crc,0.04054054054054054,2.4904279279279278,0.1767454954954955,0.36931306306306305,0.4377224892907341,0.0,0.0
cap,0,0.2,probecert_v3,0.04054054054054054,2.489189189189189,0.17697072072072073,0.36920045045045047,0.4378761610737095,0.1891891891891892,0.0
cap,1,0.1,no_tta_global_crc,0.06756756756756757,3.1622747747747746,0.04780405405405406,0.3457207207207207,0.468905630054032,0.0,0.0
cap,1,0.1,probecert_v3,0.08108108108108109,3.160135135135135,0.048986486486486486,0.34594594594594597,0.46848359721261496,0.0945945945945946,0.0
cap,1,0.2,no_tta_global_crc,0.08108108108108109,2.587162162162162,0.12072072072072072,0.3457207207207207,0.468905630054032,0.0,0.0
cap,1,0.2,probecert_v3,0.0945945945945946,2.586036036036036,0.12150900900900902,0.34594594594594597,0.46848359721261496,0.0945945945945946,0.0
cap,2,0.1,no_tta_global_crc,0.0,5.0,0.0,0.36762387387387385,0.4389646561455558,0.0,1.0
cap,2,0.1,probecert_v3,0.0,5.0,0.0,0.3677364864864865,0.43850917615946505,0.22972972972972974,1.0
cap,2,0.2,no_tta_global_crc,0.0,3.304954954954955,0.08721846846846847,0.36762387387387385,0.4389646561455558,0.0,0.0
cap,2,0.2,probecert_v3,0.0,3.3019707207207207,0.08772522522522522,0.3677364864864865,0.4385197848218787,0.1891891891891892,0.0
cap,3,0.1,no_tta_global_crc,0.16216216216216217,2.4878378378378376,0.19695945945945945,0.3572635135135135,0.46956953193529877,0.0,0.0
cap,3,0.1,probecert_v3,0.16216216216216217,2.4872184684684684,0.1971846846846847,0.3573761261261261,0.4693690981485331,0.13513513513513514,0.0
cap,3,0.2,no_tta_global_crc,0.08108108108108109,2.2338400900900903,0.25602477477477475,0.3572635135135135,0.46956953193529877,0.0,0.0
cap,3,0.2,probecert_v3,0.08108108108108109,2.233783783783784,0.25602477477477475,0.3572072072072072,0.46954313544337245,0.04054054054054054,0.0
cap,4,0.1,no_tta_global_crc,0.0,5.0,0.0,0.43029279279279276,0.42130085962184005,0.0,1.0
cap,4,0.1,probecert_v3,0.0,5.0,0.0,0.43029279279279276,0.42130085962184005,0.0,1.0
cap,4,0.2,no_tta_global_crc,0.05405405405405406,3.5250000000000004,0.10213963963963964,0.43029279279279276,0.42130085962184005,0.0,0.0
cap,4,0.2,probecert_v3,0.05405405405405406,3.5250000000000004,0.10213963963963964,0.43029279279279276,0.42130085962184005,0.0,0.0
