dataset,fold,subject_id,EEGNet_BA,LiteBN_BA,delta_BA_pp,EEGNet_macroF1,LiteBN_macroF1
OpenBMI,1,40,0.8,0.77,-3.0000000000000027,0.7947454844006567,0.7631551848419318
OpenBMI,1,43,0.81,0.84,2.9999999999999916,0.8084484323016433,0.8383838383838383
OpenBMI,1,50,0.66,0.52,-14.000000000000002,0.6598639455782312,0.4485294117647059
OpenBMI,1,52,0.77,0.78,1.0000000000000009,0.7694235588972431,0.78
OpenBMI,1,23,0.62,0.73,10.999999999999998,0.6100164203612479,0.7237851662404092
OpenBMI,1,1,0.68,0.69,0.9999999999999898,0.6753246753246753,0.6656239887822242
OpenBMI,1,30,0.73,0.73,0.0,0.7277951406391774,0.7277951406391774
OpenBMI,1,48,0.69,0.53,-15.999999999999993,0.6884735202492211,0.4233836339099497
OpenBMI,1,11,0.7,0.76,6.000000000000005,0.6980676328502415,0.7599039615846338
OpenBMI,1,8,0.76,0.8300000000000001,7.000000000000006,0.7596153846153846,0.8286117552172598
OpenBMI,1,45,0.74,0.84,9.999999999999998,0.7390606182256123,0.8399359743897559
OpenBMI,1,34,0.6799999999999999,0.64,-3.9999999999999925,0.6736026111791106,0.6216897856242118
OpenBMI,1,27,0.89,0.8999999999999999,0.9999999999999898,0.8891017239641092,0.8996386993175431
OpenBMI,2,49,0.86,0.79,-6.999999999999995,0.859775641025641,0.7882851093860268
OpenBMI,2,10,0.72,0.75,3.0000000000000027,0.719551282051282,0.7497747973175859
OpenBMI,2,22,0.61,0.6499999999999999,3.9999999999999925,0.5882166613873931,0.6395839769333744
OpenBMI,2,19,0.69,0.76,7.000000000000006,0.6756982948007113,0.7575757575757576
OpenBMI,2,16,0.8200000000000001,0.9199999999999999,9.999999999999986,0.8181818181818181,0.9199679871948779
OpenBMI,2,9,0.63,0.61,-2.0000000000000018,0.6296667000300271,0.6096486838154338
OpenBMI,2,53,0.79,0.8200000000000001,3.0000000000000027,0.7894736842105263,0.818840579710145
OpenBMI,2,7,0.76,0.7,-6.000000000000005,0.7599039615846338,0.6956168831168831
OpenBMI,2,20,0.88,0.87,-1.0000000000000009,0.88,0.8689384010484928
OpenBMI,2,41,0.74,0.6799999999999999,-6.000000000000005,0.7331691297208538,0.6794871794871795
OpenBMI,2,46,0.71,0.66,-4.999999999999993,0.7097387648883995,0.6155585707824514
OpenBMI,2,21,0.85,0.89,4.0000000000000036,0.84998499849985,0.8891017239641092
OpenBMI,2,44,0.7,0.86,16.000000000000004,0.6995192307692308,0.8579545454545454
WBCIC,1,sub-45,0.945,0.9299999999999999,-1.5000000000000013,0.9449986249656241,0.9299719887955182
WBCIC,1,sub-7,0.81,0.845,3.499999999999992,0.8099239695878351,0.8443423464135975
WBCIC,1,sub-50,0.94,0.9450000000000001,0.5000000000000115,0.93999399939994,0.9449876222149984
WBCIC,1,sub-14,0.6,0.5700000000000001,-2.9999999999999916,0.5951007186962243,0.5699569956995699
WBCIC,1,sub-1,0.9299999999999999,0.9450000000000001,1.5000000000000124,0.9299719887955182,0.9449876222149984
WBCIC,1,sub-32,0.565,0.61,4.5000000000000036,0.5649021029731689,0.6096486838154338
WBCIC,1,sub-23,0.9299999999999999,0.9450000000000001,1.5000000000000124,0.9299369432489241,0.9449876222149984
WBCIC,1,sub-34,0.5800000000000001,0.505,-7.500000000000007,0.5772946859903382,0.5021998742928976
WBCIC,1,sub-24,0.8923611111111112,0.9285037878787878,3.6142676767676685,0.892296362536493,0.9282032400589102
WBCIC,1,sub-13,0.855,0.8999999999999999,4.499999999999993,0.8547057792028858,0.8998397435897436
WBCIC,2,sub-11,0.705,0.71,0.5000000000000004,0.7049926248156204,0.7095352564102564
WBCIC,2,sub-29,0.8049999999999999,0.87,6.500000000000005,0.804172629359042,0.8689384010484928
WBCIC,2,sub-26,0.6599999999999999,0.7,4.0000000000000036,0.6594551282051282,0.6999699969997
WBCIC,2,sub-47,0.915,0.8400000000000001,-7.499999999999996,0.9147420948368815,0.8395989974937343
WBCIC,2,sub-36,0.975,0.965,-1.0000000000000009,0.9749993749843746,0.9649921232277263
WBCIC,2,sub-16,0.5349999999999999,0.595,6.000000000000005,0.5219860707769012,0.5895720909021813
WBCIC,2,sub-48,0.8300000000000001,0.855,2.499999999999991,0.8299319727891157,0.854967367657723
WBCIC,2,sub-41,0.8400000000000001,0.865,2.499999999999991,0.8389694041867954,0.8645903859174001
WBCIC,2,sub-5,0.7,0.75,5.000000000000004,0.6998799519807923,0.74997499749975
WBCIC,2,sub-27,0.64,0.595,-4.5000000000000036,0.6198923028191321,0.5949898747468687
