dataset,fold,EEGNet_BA,LiteBN_BA,delta_pp
OpenBMI,1,0.7330769230769231,0.7353846153846154,0.23076923076922995
OpenBMI,2,0.7507692307692307,0.7661538461538461,1.538461538461538
WBCIC,1,0.8047361111111112,0.8123503787878787,0.7614267676767693
WBCIC,2,0.7605,0.7745,1.4
