task,fold,stage,projector_mode,Q_rank,feature_dimension,train_group_centroids,ridge_alpha,pathfit_singular_values,orthogonality_max_abs,centering_vector_sha256,projector_sha256,target_coordinates,labels_scope
OpenBMI_MI,0,H_concat,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,12000,104,1.0,"[0.03211549522979404, 0.022505231840283076, 0.01981294489203691, 0.017960054692708644, 0.01526893430881565, 0.012806028935800767, 0.01152922271117633, 0.01063221278218429]",1.1920928955078125e-07,b87c8efa6f40f9347206c4e97b59bf709d57807a12be48981f43ab1b63ff2494,76e54521131f648214777841e466c0e39623afe952c4175e74a7fa6971f5e6ac,"[3, 4, 5, 6, 7, 8, 9, 10]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_MI,0,H_shared1,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,8000,104,1.0,"[0.03733556224410698, 0.02632542389433366, 0.024347991221183765, 0.021459344384174572, 0.018369225890058162, 0.01542275429683382, 0.014004978560900435, 0.012902202279148497]",2.384185791015625e-07,cad70b5d21fa52b511fdeeb21cdb3b864b3f8506c75194f3615b9fb9d1c28069,cef75f3d49920a4541ff05fe408fc686de3a9f47b1ec6477e1636ff69cf3a244,"[3, 4, 5, 6, 7, 8, 9, 10]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_MI,1,H_concat,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,12000,104,1.0,"[0.03475823149500539, 0.017523532835227344, 0.016082416484769536, 0.015278688805137906, 0.0132174407046791, 0.01303097957597021, 0.011699755605843246, 0.009157543697880568]",1.7881393432617188e-07,2c5d3cc116e84d37ea0b8a0c87ca562ebd70370b347e3c5e77b132ac6a4e1a9c,b544856ec43bd6e1f5407e0f20cadf26762f7c8a270a09083635cb040c7444aa,"[4, 5, 6, 7, 8, 9, 10, 11]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_MI,1,H_shared1,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,8000,104,1.0,"[0.0372862790550181, 0.020841319349437025, 0.019083132899070154, 0.018515666336154812, 0.015943534745509517, 0.015838175805266946, 0.014351470841562918, 0.010970418892749842]",1.1920928955078125e-07,e9586ef88ec82ae6c65a33186779b39add12df4583c43629854741ee68010f37,dbad358f76f62b480d6b8e9c5067e72f09aa4c511b790dbf6acb9513bb92d942,"[4, 5, 6, 7, 8, 9, 10, 11]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_MI,2,H_concat,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,12000,104,1.0,"[0.03532405709662494, 0.018837912110469524, 0.015578984577190778, 0.01444456180791772, 0.014166672502112544, 0.013525078631898073, 0.012018199485246853, 0.0105924169602698]",1.7881393432617188e-07,e671ca2289f2c5d9e862ab08aa48eb618996ccc3e76d2133fca1ad80ec909b92,5407b3963adf1d7476d3fac8fe92e77e4c51b1a18b6502a1ff11a5c355a14eee,"[4, 5, 6, 7, 8, 9, 10, 11]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_MI,2,H_shared1,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,8000,104,1.0,"[0.038252704727825236, 0.02256041853530977, 0.018735421697363416, 0.01764962674503811, 0.01687760518501238, 0.016737543635412647, 0.014659978256950184, 0.012892802536307712]",1.1920928955078125e-07,9c193f0837a17f362f1195963a106cf7533f75fa55cdfecb9ad315613948e3d8,a17f24586c40872afc7c26293e32f0d7cfb6b0dea6d59950be123ac365608d7e,"[4, 5, 6, 7, 8, 9, 10, 11]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_MI,3,H_concat,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,12000,104,1.0,"[0.03311861771126703, 0.018358786518598715, 0.017936911942800768, 0.016170055888301147, 0.015405560411624431, 0.013757861823901834, 0.012597970369416412, 0.012024501756886446]",2.980232238769531e-07,3171b0cd231f156c0e50d2ef1585190d2ec558b02ab826783a30f8bd3fa8e5f0,669f8030cac8c2530827e1949c251a1ddaf9cd1351a4452971df03a33703a3f0,"[3, 4, 5, 6, 7, 8, 9, 10]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_MI,3,H_shared1,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,8000,104,1.0,"[0.03698708920397901, 0.0219822136191962, 0.021726827446414573, 0.019244724338320206, 0.01884294448857844, 0.01669872767991825, 0.015187742365854748, 0.014519054664956708]",1.1920928955078125e-07,0f7ae9a83f75ec672bff6b8f3257cf03ddc985e36b3a03f6ff0f2f3c1f8c305d,3f11ee6eab7c8081dae5a38f1015ad04ef32d8762ece1f947d029005e900a9e8,"[3, 4, 5, 6, 7, 8, 9, 10]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_MI,4,H_concat,TRAIN_ONLY_ORTHOGONAL_PATHFIT,4,12000,104,1.0,"[0.028191539791253845, 0.015424660166776443, 0.013164132169625071, 0.012104981431615473]",1.1920928955078125e-07,446ee2972e5e189eb44ceca43b19afd3f0b26cc1f2cde96d67bf118b7f2c58a2,4f75438e01dac1fb04b1e4d542c40fcbabee02664bb12604a1b186b64144e454,"[7, 8, 9, 10]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_MI,4,H_shared1,TRAIN_ONLY_ORTHOGONAL_PATHFIT,4,8000,104,1.0,"[0.03165824259082321, 0.018625695131970276, 0.016144747051934596, 0.014776288789406131]",1.1920928955078125e-07,ff3e4e71a5f7e37ae29ca09e91f8b9b9511a590d49cad4e4bf1d5573f29918ea,8658f32dd420c94612e598fd5747eda97449795c70a197b3a61cb512ac2a467f,"[7, 8, 9, 10]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
