task,fold,inner_train_subjects,discovery_subjects,feature_budget,router_features,split,final_heldout_labels_used
OpenBMI_MI,0,26,6,36,"p_s,C coefficients,p_d,native logits,confidence/entropy/top-gap/P-C norms and ratios",subject-disjoint; GroupKFold in inner-train,False
OpenBMI_MI,1,26,6,38,"p_s,C coefficients,p_d,native logits,confidence/entropy/top-gap/P-C norms and ratios",subject-disjoint; GroupKFold in inner-train,False
OpenBMI_MI,2,26,6,34,"p_s,C coefficients,p_d,native logits,confidence/entropy/top-gap/P-C norms and ratios",subject-disjoint; GroupKFold in inner-train,False
OpenBMI_MI,3,26,6,34,"p_s,C coefficients,p_d,native logits,confidence/entropy/top-gap/P-C norms and ratios",subject-disjoint; GroupKFold in inner-train,False
OpenBMI_MI,4,26,6,34,"p_s,C coefficients,p_d,native logits,confidence/entropy/top-gap/P-C norms and ratios",subject-disjoint; GroupKFold in inner-train,False
OpenBMI_SSVEP,0,26,6,36,"p_s,C coefficients,p_d,native logits,confidence/entropy/top-gap/P-C norms and ratios",subject-disjoint; GroupKFold in inner-train,False
OpenBMI_SSVEP,1,26,6,44,"p_s,C coefficients,p_d,native logits,confidence/entropy/top-gap/P-C norms and ratios",subject-disjoint; GroupKFold in inner-train,False
OpenBMI_SSVEP,2,26,6,36,"p_s,C coefficients,p_d,native logits,confidence/entropy/top-gap/P-C norms and ratios",subject-disjoint; GroupKFold in inner-train,False
OpenBMI_SSVEP,3,26,6,44,"p_s,C coefficients,p_d,native logits,confidence/entropy/top-gap/P-C norms and ratios",subject-disjoint; GroupKFold in inner-train,False
OpenBMI_SSVEP,4,26,6,36,"p_s,C coefficients,p_d,native logits,confidence/entropy/top-gap/P-C norms and ratios",subject-disjoint; GroupKFold in inner-train,False
