task,fold,role,session,subject,variant,BA,macro_F1,NLL,rescued_errors,damaged_correct,trials,label_scope
OpenBMI_MI,0,discovery,1,8,ORACLE_TOP3,0.8300000000000001,0.8295739348370927,0.31222885847091675,1,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,8,ORACLE_TOP3,0.86,0.86,0.3272487223148346,4,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,9,ORACLE_TOP3,0.74,0.7362012987012987,0.5736952424049377,5,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,9,ORACLE_TOP3,0.61,0.6096486838154338,0.8893532752990723,5,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,11,ORACLE_TOP3,0.71,0.7013695808876532,0.5975810289382935,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,11,ORACLE_TOP3,0.73,0.721964782205746,0.5969196557998657,5,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,14,ORACLE_TOP3,0.69,0.6828644501278772,0.6051836609840393,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,14,ORACLE_TOP3,0.71,0.7085720028137876,0.7115955948829651,4,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,19,ORACLE_TOP3,0.77,0.7660461804495982,0.49888911843299866,1,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,19,ORACLE_TOP3,0.78,0.7785829307568438,0.5267859101295471,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,26,ORACLE_TOP3,0.8,0.797077922077922,0.46277016401290894,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,26,ORACLE_TOP3,0.88,0.88,0.28897297382354736,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,1,ORACLE_TOP3,0.84,0.8399359743897559,0.4752614200115204,5,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,1,ORACLE_TOP3,0.8,0.797077922077922,0.4831889271736145,4,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,8,ORACLE_TOP3,0.81,0.8067338012409724,0.5837979912757874,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,8,ORACLE_TOP3,0.88,0.8798076923076923,0.34672561287879944,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,11,ORACLE_TOP3,0.76,0.7536945812807883,0.4784678518772125,7,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,11,ORACLE_TOP3,0.75,0.7457023700539112,0.5799670815467834,5,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,15,ORACLE_TOP3,0.97,0.9699729756781104,0.10005862265825272,1,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,15,ORACLE_TOP3,0.9199999999999999,0.9197109594540345,0.24515429139137268,5,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,44,ORACLE_TOP3,0.84,0.8368013055895553,0.2953987121582031,4,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,44,ORACLE_TOP3,0.87,0.8677652324280338,0.331087201833725,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,52,ORACLE_TOP3,0.85,0.8498648783905515,0.3438626825809479,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,52,ORACLE_TOP3,0.8,0.7992773986350863,0.4673001766204834,4,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
