task,fold,role,session,subject,variant,BA,macro_F1,NLL,rescued_errors,damaged_correct,trials,label_scope
OpenBMI_MI,0,discovery,1,8,ORACLE_1DIR,0.8300000000000001,0.8291628982011858,0.2999195456504822,1,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,8,ORACLE_1DIR,0.86,0.86,0.33124130964279175,4,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,9,ORACLE_1DIR,0.74,0.7362012987012987,0.5764831900596619,5,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,9,ORACLE_1DIR,0.61,0.6096486838154338,0.888363242149353,5,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,11,ORACLE_1DIR,0.72,0.7126436781609196,0.5850059390068054,1,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,11,ORACLE_1DIR,0.71,0.6991389148251893,0.5811780691146851,3,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,14,ORACLE_1DIR,0.71,0.7033248081841432,0.5709713697433472,4,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,14,ORACLE_1DIR,0.72,0.7171717171717171,0.7002130150794983,5,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,19,ORACLE_1DIR,0.77,0.7660461804495982,0.49177324771881104,1,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,19,ORACLE_1DIR,0.78,0.7785829307568438,0.5209474563598633,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,26,ORACLE_1DIR,0.81,0.8076728413807066,0.46390751004219055,3,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,26,ORACLE_1DIR,0.88,0.88,0.2837355136871338,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,1,ORACLE_1DIR,0.83,0.8299829982998299,0.4944166839122772,4,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,1,ORACLE_1DIR,0.79,0.7863899908452854,0.5007380843162537,3,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,8,ORACLE_1DIR,0.79,0.7863899908452854,0.5904532074928284,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,8,ORACLE_1DIR,0.88,0.8798076923076923,0.34460899233818054,2,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,11,ORACLE_1DIR,0.76,0.7552019583843329,0.5172837376594543,7,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,11,ORACLE_1DIR,0.76,0.7564935064935066,0.5959517359733582,6,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,15,ORACLE_1DIR,0.97,0.9699729756781104,0.10469655692577362,1,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,15,ORACLE_1DIR,0.8999999999999999,0.8993558776167472,0.265153706073761,3,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,44,ORACLE_1DIR,0.84,0.8368013055895553,0.3130916357040405,4,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
