task,fold,role,session,subject,direction,margin_alpha_star_lt_1_fraction,margin_alpha_star_gt_1_fraction,margin_alpha_star_distribution,trial_conditional,ce_alpha_star_distribution,label_scope
OpenBMI_MI,0,inner_train,1,1,0,0.48,0.52,"[48, 0, 0, 0, 0, 0, 0, 52]",True,"[48, 0, 0, 0, 0, 0, 0, 52]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,0.56,0.44,"[56, 0, 0, 0, 0, 0, 0, 44]",True,"[56, 0, 0, 0, 0, 0, 0, 44]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,0.46,0.54,"[46, 0, 0, 0, 0, 0, 0, 54]",True,"[46, 0, 0, 0, 0, 0, 0, 54]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,3,0.52,0.47,"[48, 3, 0, 1, 1, 1, 3, 43]",True,"[48, 3, 0, 1, 1, 1, 3, 43]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,4,0.55,0.44,"[55, 0, 0, 0, 1, 0, 0, 44]",True,"[55, 0, 0, 0, 1, 0, 0, 44]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,5,0.49,0.51,"[49, 0, 0, 0, 0, 0, 0, 51]",True,"[49, 0, 0, 0, 0, 0, 0, 51]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,6,0.47,0.53,"[44, 1, 1, 1, 0, 1, 1, 51]",True,"[44, 1, 1, 1, 0, 1, 1, 51]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,7,0.43,0.57,"[43, 0, 0, 0, 0, 0, 0, 57]",True,"[43, 0, 0, 0, 0, 0, 0, 57]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,8,0.49,0.51,"[49, 0, 0, 0, 0, 0, 0, 51]",True,"[49, 0, 0, 0, 0, 0, 0, 51]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,9,0.44,0.56,"[44, 0, 0, 0, 0, 0, 0, 56]",True,"[44, 0, 0, 0, 0, 0, 0, 56]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
