task,fold,role,session,subject,variant,BA,macro_F1,NLL,rescued_errors,damaged_correct,trials,label_scope,baseline_BA,router_BA_gain,router_BA_gain_CI95_low,router_BA_gain_CI95_high,oracle_headroom_source,oracle_BA_headroom,fraction_oracle_headroom_recovered,recovery_CI95_low,recovery_CI95_high,router_action_balanced_accuracy,biological_subjects
OpenBMI_MI,0,discovery,1,8,ROUTER,0.8200000000000001,0.8193496587715776,0.3547046184539795,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.8200000000000001,,,,,,,,,,
OpenBMI_MI,0,discovery,2,8,ROUTER,0.8200000000000001,0.8199279711884754,0.4042915999889374,1,1,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.82,,,,,,,,,,
OpenBMI_MI,0,discovery,1,9,ROUTER,0.69,0.6846709388668497,0.6303213238716125,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.69,,,,,,,,,,
OpenBMI_MI,0,discovery,2,9,ROUTER,0.5700000000000001,0.5696126513862476,0.9480782151222229,1,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.56,,,,,,,,,,
OpenBMI_MI,0,discovery,1,11,ROUTER,0.71,0.7013695808876532,0.6484849452972412,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.71,,,,,,,,,,
OpenBMI_MI,0,discovery,2,11,ROUTER,0.67,0.6547756041426928,0.6731207966804504,0,1,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.6799999999999999,,,,,,,,,,
OpenBMI_MI,0,discovery,1,14,ROUTER,0.6699999999999999,0.6624040920716112,0.6527711749076843,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.6699999999999999,,,,,,,,,,
OpenBMI_MI,0,discovery,2,14,ROUTER,0.6699999999999999,0.6683750376846548,0.7598283886909485,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.6699999999999999,,,,,,,,,,
OpenBMI_MI,0,discovery,1,19,ROUTER,0.75,0.7442455242966752,0.5320929884910583,0,1,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.76,,,,,,,,,,
OpenBMI_MI,0,discovery,2,19,ROUTER,0.75,0.7493734335839599,0.5692410469055176,0,1,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.76,,,,,,,,,,
OpenBMI_MI,0,discovery,1,26,ROUTER,0.78,0.7756017951856384,0.5048032999038696,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.78,,,,,,,,,,
OpenBMI_MI,0,discovery,2,26,ROUTER,0.86,0.86,0.31651750206947327,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.86,,,,,,,,,,
OpenBMI_MI,1,discovery,1,1,ROUTER,0.78,0.7796474358974359,0.5699032545089722,0,1,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.79,,,,,,,,,,
OpenBMI_MI,1,discovery,2,1,ROUTER,0.76,0.7536945812807883,0.5685024261474609,1,1,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.76,,,,,,,,,,
OpenBMI_MI,1,discovery,1,8,ROUTER,0.78,0.7756017951856384,0.6364993453025818,0,1,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.79,,,,,,,,,,
