task,fold,role,session,subject,direction,alpha,mean_true_class_margin,mean_CE,accuracy,mean_max_softmax,mean_native_predicted_probability,mean_entropy,mean_successor_P_movement,label_scope
OpenBMI_MI,0,inner_train,1,1,0,0.0,1.6321992874145508,0.39784038066864014,0.8,0.8213034272193909,0.8183223009109497,0.3911988139152527,1.455610752105713,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,0,0.25,1.6284831762313843,0.399199515581131,0.8,0.8207522630691528,0.81905198097229,0.39147379994392395,1.0767496824264526,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,0,0.5,1.6242121458053589,0.40074077248573303,0.78,0.8202086091041565,0.8196765780448914,0.3918086290359497,0.7075096964836121,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,0,0.75,1.619523048400879,0.40245407819747925,0.78,0.8202419281005859,0.8201947808265686,0.39216747879981995,0.3483901619911194,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,0,1.0,1.6145511865615845,0.40432584285736084,0.77,0.8206052184104919,0.8206052184104919,0.3925134539604187,9.173988540947357e-15,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,0,1.25,1.609262228012085,0.40639588236808777,0.77,0.820889413356781,0.820889413356781,0.3928380608558655,0.33744049072265625,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,0,1.5,1.603684425354004,0.4087153673171997,0.78,0.8211464881896973,0.8210393786430359,0.39311105012893677,0.6639557480812073,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,0,2.0,1.5918989181518555,0.4142375886440277,0.78,0.8212912678718567,0.820952296257019,0.3933323919773102,1.285333275794983,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,0.0,1.6151353120803833,0.4051804840564728,0.77,0.8207816481590271,0.8207816481590271,0.39234524965286255,0.16468830406665802,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,0.25,1.6150530576705933,0.40497738122940063,0.77,0.8207710981369019,0.8207710981369019,0.3923749029636383,0.12327688932418823,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,0.5,1.6149400472640991,0.4047653079032898,0.77,0.8207396864891052,0.8207396864891052,0.3924109637737274,0.08200611919164658,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,0.75,1.614778995513916,0.4045482575893402,0.77,0.8206852078437805,0.8206852078437805,0.3924557566642761,0.040906328707933426,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,1.0,1.6145511865615845,0.40432584285736084,0.77,0.8206052184104919,0.8206052184104919,0.3925134539604187,9.173988540947357e-15,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,1.25,1.6142572164535522,0.4040910303592682,0.77,0.8204988837242126,0.8204988837242126,0.39258646965026855,0.040726371109485626,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,1.5,1.6139097213745117,0.4038395285606384,0.77,0.8203662633895874,0.8203662633895874,0.39267265796661377,0.08137392997741699,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,2.0,1.6130731105804443,0.4033008813858032,0.77,0.8202114105224609,0.820026695728302,0.39287087321281433,0.16280874609947205,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,0.0,1.58782958984375,0.40208399295806885,0.81,0.8196133375167847,0.8155125379562378,0.3960447609424591,0.848415195941925,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,0.25,1.5953779220581055,0.4014136791229248,0.79,0.8193727135658264,0.8171489238739014,0.3954099714756012,0.6381478309631348,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,0.5,1.6023950576782227,0.4015434682369232,0.79,0.8197779655456543,0.818553626537323,0.3946206569671631,0.42691317200660706,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,0.75,1.6088119745254517,0.40250763297080994,0.79,0.8199039697647095,0.8197103142738342,0.39365676045417786,0.21427032351493835,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,1.0,1.6145511865615845,0.40432584285736084,0.77,0.8206052184104919,0.8206052184104919,0.3925134539604187,9.173988540947357e-15,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,1.25,1.6195685863494873,0.40700191259384155,0.78,0.8213610649108887,0.8212398290634155,0.3911901116371155,0.21592946350574493,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,1.5,1.6238441467285156,0.4105217754840851,0.77,0.822670042514801,0.8216275572776794,0.3896907567977905,0.43355682492256165,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,2.0,1.6300592422485352,0.419928640127182,0.78,0.8260239958763123,0.8217347860336304,0.3862594664096832,0.8739043474197388,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,3,0.0,1.6181262731552124,0.40651071071624756,0.76,0.8214827179908752,0.8212836980819702,0.3909182846546173,1.1214330196380615,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,3,0.25,1.617759108543396,0.4054965078830719,0.76,0.8210263848304749,0.8209381103515625,0.3914197087287903,0.8359041810035706,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,3,0.5,1.6170164346694946,0.4047999083995819,0.77,0.8207087516784668,0.8207087516784668,0.3918514549732208,0.5535304546356201,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,3,0.75,1.615931749343872,0.4044185280799866,0.77,0.8206016421318054,0.8206016421318054,0.39221423864364624,0.27479392290115356,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
