task,fold,role,session,subject,variant,BA,macro_F1,NLL,rescued_errors,damaged_correct,trials,label_scope
OpenBMI_MI,0,discovery,1,8,RANDOM_DIRECTION_ORACLE,0.8200000000000001,0.8193496587715776,0.3522619307041168,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,8,RANDOM_DIRECTION_ORACLE,0.82,0.82,0.39652156829833984,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,9,RANDOM_DIRECTION_ORACLE,0.69,0.6846709388668497,0.6260438561439514,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,9,RANDOM_DIRECTION_ORACLE,0.56,0.5592948717948718,0.9423092603683472,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,11,RANDOM_DIRECTION_ORACLE,0.71,0.7013695808876532,0.6450091600418091,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,11,RANDOM_DIRECTION_ORACLE,0.6799999999999999,0.6666666666666666,0.664143443107605,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,14,RANDOM_DIRECTION_ORACLE,0.6699999999999999,0.6624040920716112,0.6492933630943298,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,14,RANDOM_DIRECTION_ORACLE,0.6699999999999999,0.6683750376846548,0.7560877203941345,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,19,RANDOM_DIRECTION_ORACLE,0.76,0.7552019583843329,0.5277972221374512,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,19,RANDOM_DIRECTION_ORACLE,0.76,0.7591328783621036,0.564957320690155,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,26,RANDOM_DIRECTION_ORACLE,0.78,0.7756017951856384,0.5046884417533875,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,26,RANDOM_DIRECTION_ORACLE,0.86,0.86,0.3133108615875244,0,0,100,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
