task,fold,backbone,population,target,balanced_accuracy,accuracy,biological_subjects,feature_count,feature_budget,label_scope,macro_F1,R2,MAE,MSE
OpenBMI_MI,0,SIRE-EEG,inner_train_grouped_OOF,baseline_correctness,0.7570467005367548,0.7148076923076923,26,36,36,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,
OpenBMI_MI,0,SIRE-EEG,inner_train_grouped_OOF,oracle_action_class,0.3555321605314652,,26,36,36,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.3542969838465429,,,
OpenBMI_MI,0,SIRE-EEG,inner_train_grouped_OOF,oracle_achievable_margin_gain,,,26,36,36,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,-0.58076012134552,0.07869216054677963,0.029119908809661865
OpenBMI_MI,0,SIRE-EEG,discovery_subject_disjoint,baseline_correctness,0.6303428175271297,0.6216666666666667,6,36,36,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,
OpenBMI_MI,0,SIRE-EEG,discovery_subject_disjoint,oracle_action_class,0.3419915708556398,,6,36,36,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.33389586119885784,,,
OpenBMI_MI,0,SIRE-EEG,discovery_subject_disjoint,oracle_achievable_margin_gain,,,6,36,36,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,0.31400489807128906,0.07095026969909668,0.011575653217732906
OpenBMI_MI,1,SIRE-EEG,inner_train_grouped_OOF,baseline_correctness,0.7754218566392479,0.7359615384615384,26,38,38,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,
OpenBMI_MI,1,SIRE-EEG,inner_train_grouped_OOF,oracle_action_class,0.6568959508260064,,26,38,38,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.43765571266155967,,,
OpenBMI_MI,1,SIRE-EEG,inner_train_grouped_OOF,oracle_achievable_margin_gain,,,26,38,38,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,0.19305509328842163,0.09211420267820358,0.01916453428566456
OpenBMI_MI,1,SIRE-EEG,discovery_subject_disjoint,baseline_correctness,0.6582258321388756,0.7,6,38,38,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,
OpenBMI_MI,1,SIRE-EEG,discovery_subject_disjoint,oracle_action_class,0.6505315052038294,,6,38,38,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.43265931155425214,,,
OpenBMI_MI,1,SIRE-EEG,discovery_subject_disjoint,oracle_achievable_margin_gain,,,6,38,38,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,0.3684540390968323,0.08136695623397827,0.013550805859267712
OpenBMI_MI,2,SIRE-EEG,inner_train_grouped_OOF,baseline_correctness,0.8219369319077974,0.7944230769230769,26,34,34,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,
OpenBMI_MI,2,SIRE-EEG,inner_train_grouped_OOF,oracle_action_class,0.5494214817926313,,26,34,34,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.3640042943653305,,,
OpenBMI_MI,2,SIRE-EEG,inner_train_grouped_OOF,oracle_achievable_margin_gain,,,26,34,34,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,0.4516429901123047,0.13202905654907227,0.03332235664129257
OpenBMI_MI,2,SIRE-EEG,discovery_subject_disjoint,baseline_correctness,0.6485549574962509,0.73,6,34,34,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,
OpenBMI_MI,2,SIRE-EEG,discovery_subject_disjoint,oracle_action_class,0.6266148325358851,,6,34,34,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,0.40178287882850067,,,
