task,fold,representation_max_abs,logits_max_abs,prediction_exact,raw_suffix_batch_roundoff_max_abs,representation_tolerance,logits_tolerance,failure_policy
OpenBMI_MI,0,0.0,0.0,True,1.430511474609375e-06,1e-06,1e-06,FAIL_CLOSED
OpenBMI_MI,1,0.0,0.0,True,1.6689300537109375e-06,1e-06,1e-06,FAIL_CLOSED
OpenBMI_MI,2,0.0,0.0,True,1.6689300537109375e-06,1e-06,1e-06,FAIL_CLOSED
OpenBMI_MI,3,0.0,0.0,True,1.9073486328125e-06,1e-06,1e-06,FAIL_CLOSED
OpenBMI_MI,4,0.0,0.0,True,1.9073486328125e-06,1e-06,1e-06,FAIL_CLOSED
OpenBMI_SSVEP,0,0.0,0.0,True,3.337860107421875e-06,1e-06,1e-06,FAIL_CLOSED
OpenBMI_SSVEP,1,0.0,0.0,True,2.86102294921875e-06,1e-06,1e-06,FAIL_CLOSED
OpenBMI_SSVEP,2,0.0,0.0,True,3.337860107421875e-06,1e-06,1e-06,FAIL_CLOSED
OpenBMI_SSVEP,3,5.551115123125783e-17,0.0,True,3.814697265625e-06,1e-06,1e-06,FAIL_CLOSED
OpenBMI_SSVEP,4,0.0,0.0,True,2.86102294921875e-06,1e-06,1e-06,FAIL_CLOSED
