task,fold,role,session,subject,direction,U_P,D_margin,D_CE,U_P_positive_D_positive,U_P_positive_D_plateau,U_P_positive_D_negative,local_actionability,utility_action_quadrant,label_scope
OpenBMI_MI,0,inner_train,1,1,0,-0.01764810085296631,-0.02052164077758789,0.007883608341217041,False,False,False,SUPPRESS,D_NONPOSITIVE_UTILITY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,-0.0005841255187988281,-0.001043558120727539,-0.000914454460144043,False,False,False,SUPPRESS,D_NONPOSITIVE_UTILITY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,0.026721596717834473,0.02151322364807129,0.008988559246063232,True,False,False,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,3,-0.0035750865936279297,-0.006082296371459961,0.0001927018165588379,False,False,False,SUPPRESS,D_NONPOSITIVE_UTILITY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,4,0.0013239383697509766,0.0006957054138183594,-0.002069234848022461,False,True,False,PLATEAU,B_USEFUL_PLATEAU,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,5,0.005699276924133301,0.004148244857788086,0.0008831024169921875,True,False,False,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,6,0.0019248723983764648,0.0017783641815185547,-0.0014549493789672852,True,False,False,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,7,0.003160238265991211,0.0032939910888671875,-0.002600431442260742,True,False,False,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,8,0.0012170076370239258,-0.000997781753540039,0.008110344409942627,False,True,False,PLATEAU,B_USEFUL_PLATEAU,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,9,0.008974194526672363,0.008270263671875,-0.0019352436065673828,True,False,False,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,10,0.0026082992553710938,0.002038240432739258,0.000315248966217041,True,False,False,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,11,-0.0034537315368652344,-0.005070924758911133,0.0013458728790283203,False,False,False,SUPPRESS,D_NONPOSITIVE_UTILITY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,12,-0.003813624382019043,-0.004225254058837891,0.0007682442665100098,False,False,False,SUPPRESS,D_NONPOSITIVE_UTILITY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,13,0.0075806379318237305,0.0067861080169677734,0.0014165043830871582,True,False,False,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
