task,fold,source_stage,train_trial_count,numerical_rank_C,K_C,rank_tolerance,explained_variance_fraction_top_K,basis_orthogonality_max_abs,partition_reconstruction_max_abs,basis_sha256,labels_used_for_basis,fit_role
OpenBMI_MI,0,H_concat,5200,5199,16,0.0008734613647460938,0.18537564452304978,2.944212622590925e-07,0.0,fe1c16e5a005d92ac0cee5f6788753e6fdde5a2bf00e0c2e3d688671211c0ede,False,inner_train
OpenBMI_MI,1,H_concat,5200,5199,16,0.0007879717407226562,0.16510388443081245,3.1966978908393173e-07,0.0,d0299aa4254c4241494b6ff54e803118d6e9cec0e78accc50200e321273179af,False,inner_train
OpenBMI_MI,2,H_concat,5200,5199,16,0.0008665466918945312,0.17662671401595936,2.6852166890023454e-07,0.0,c052a34e884cc9dfb20d78df36419b6b0aaa6b328a84b1160d68b2cfa1d08767,False,inner_train
OpenBMI_MI,3,H_concat,5200,5199,16,0.0007612068481445312,0.15660805215153042,2.8210224978231224e-07,0.0,1a9f3231b082665cac79cbb0f9be3ca69fad98e1616a5ab8cceff7897cf0578c,False,inner_train
OpenBMI_MI,4,H_concat,5200,5199,16,0.000943151611328125,0.17796061382965514,2.8508468985499746e-07,0.0,c6dac37798f71b320e823bed6834fddc369f2a0c22c2f64fd9b9ff1cac107283,False,inner_train
OpenBMI_SSVEP,0,H_concat,5200,5200,16,0.0019116232910156249,0.33932025673482097,2.604980682274771e-07,0.0,cb412af36b1dc601f2327e8c193a9272d4fc7038742c4b7af0b9fcca00ba1ed2,False,inner_train
OpenBMI_SSVEP,1,H_concat,5200,5199,16,0.0013710633544921874,0.26023620818761045,3.0095414582653746e-07,0.0,cb31f50cbd2e3815a3a631df128091820a334ceae66be9480d4054e8446abc2c,False,inner_train
OpenBMI_SSVEP,2,H_concat,5200,5199,16,0.0008586235961914062,0.19989944742433757,2.936757750315877e-07,0.0,e473ce3a412663a5f56e4625303a757efd23666ed4fe05de1127dcc97a4ac48f,False,inner_train
OpenBMI_SSVEP,3,H_concat,5200,5199,16,0.001420812744140625,0.26720641980276894,2.37923551527075e-07,0.0,6463d8cd32f6b21ba0f65b70ac9769b20679ca5f2e6c5b9f3616076c9b99e82c,False,inner_train
OpenBMI_SSVEP,4,H_concat,5200,5199,16,0.0015284359130859375,0.3163868946126449,2.887740806478689e-07,0.0,12110111165efc8d9ea614cd9a11701eb0c324d3b8b0351291b0e35eff05c923,False,inner_train
