scope,task,fold,subject_id,method,BA,macro_F1,accuracy,trials
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,23,B0_Exact_LiteBN,0.5533333333333333,0.5590526203724424,0.7929292929292929,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,23,C0_LiteBN_DualCE,0.556969696969697,0.5627023645478446,0.7888888888888889,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,30,B0_Exact_LiteBN,0.9393939393939394,0.9030020051657937,0.9414141414141414,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,30,C0_LiteBN_DualCE,0.9378787878787879,0.9020627033754673,0.9409090909090909,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,48,B0_Exact_LiteBN,0.8078787878787879,0.7853396526644312,0.8717171717171717,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,48,C0_LiteBN_DualCE,0.7984848484848486,0.757700988013441,0.8459595959595959,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,50,B0_Exact_LiteBN,0.5118181818181818,0.5117733521630112,0.7277777777777777,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,50,C0_LiteBN_DualCE,0.5018181818181818,0.5017829680079768,0.7292929292929293,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,52,B0_Exact_LiteBN,0.8178787878787879,0.819814992320218,0.9005050505050505,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,52,C0_LiteBN_DualCE,0.7978787878787879,0.8018930222320053,0.8914141414141414,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,8,B0_Exact_LiteBN,0.7648484848484849,0.7585365853658537,0.8626262626262626,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,8,C0_LiteBN_DualCE,0.7603030303030303,0.7477937755164126,0.853030303030303,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,10,B0_Exact_LiteBN,0.7981818181818181,0.7699506499759268,0.8595959595959596,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,10,C0_LiteBN_DualCE,0.8060606060606061,0.7797092458733412,0.8666666666666667,1980
