scope,task,fold,method,precision,bn_persistent_exact,max_abs_bn_diff,forward_a_matches_b0,dropout_logits_different,main_rng_matches_b0_after_a,actual_task_ce_gradients_finite,actual_task_ce_gradients_nonzero,one_persistent_bn_update,lambda0_equivalence_exact,lambda0_max_abs_state_diff,uses_live_buffer_copy_before_backward,status
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,0,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,0,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,1,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,1,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,4,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,4,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,0,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,0,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,1,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,1,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,2,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,2,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,3,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,3,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,4,C0_LiteBN_DualCE,AMP_FP16,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,4,C0_LiteBN_DualCE,FP32,True,0.0,True,True,True,True,True,True,True,0.0,False,PASS
