task,method,fold,epoch,mean_CE_A,mean_CE_B,mean_supervised_CE,mean_J,median_J,mean_total_loss,train_mode_prediction_disagreement,mean_probability_L1_disagreement,mean_logit_L2_distance,mean_entropy_A,mean_entropy_B,mean_preclip_gradient_norm,mean_gradscaler_scale,attempted_optimizer_steps,successful_optimizer_steps,amp_skips,inner_val_subject_BA,inner_val_subject_macro_F1,selected,epoch_runtime_seconds
WBCIC_MI,C0_LiteBN_DualCE,0,1,0.7104263822237651,0.7119667967160542,0.7111965894699097,0.05436139926314354,0.050019336864352226,0.7111965894699097,0.30885416666666665,0.247901152074337,0.6866785615682602,0.63358107705911,0.6343586633602778,inf,39321.6,60,59,1,0.5987941919191919,0.5813015631666909,False,9.163269975222647
WBCIC_MI,C0_LiteBN_DualCE,0,2,0.6398735761642456,0.6425176580746969,0.6411956171194713,0.03587948714072506,0.03554525598883629,0.6411956171194713,0.24557291666666667,0.20077854096889497,0.6772931486368179,0.6345565805832545,0.6339119772116343,1.337760662039121,32768.0,60,60,0,0.5029999999999999,0.34058576482285147,False,8.895817627198994
WBCIC_MI,C0_LiteBN_DualCE,0,3,0.5909104784329732,0.5890823562939962,0.5899964173634847,0.04263588432222605,0.04262470826506615,0.5899964173634847,0.19635416666666666,0.2088732473552227,0.7010133355855942,0.5871166904767354,0.586359350879987,1.5297227958838144,32768.0,60,60,0,0.6343787878787879,0.6262223572816882,False,8.907012310810387
WBCIC_MI,C0_LiteBN_DualCE,0,4,0.5149659136931102,0.5267488658428192,0.5208573897679647,0.051273457085092865,0.05129432678222656,0.5208573897679647,0.157421875,0.2103710152208805,0.7480505267779033,0.5226161554455757,0.5244389081994693,1.5428936580816905,32768.0,60,60,0,0.6434318181818182,0.6320422330197651,False,8.900806982070208
WBCIC_MI,C0_LiteBN_DualCE,0,5,0.47390936662753425,0.4827032302816709,0.4783062974611918,0.05764660835266113,0.05618840828537941,0.4783062974611918,0.14622395833333332,0.2111765041947365,0.7960862378279369,0.47340719153483707,0.4761917998393377,1.5515146056811016,32768.0,60,60,0,0.6455252525252525,0.632767468858856,False,8.8994264267385
WBCIC_MI,C0_LiteBN_DualCE,0,6,0.4605187694231669,0.460170412560304,0.46034459124008814,0.053731364322205384,0.05253523029386997,0.46034459124008814,0.13111979166666668,0.1980642738441626,0.7919202297925949,0.45695917010307313,0.455658054848512,1.6526983539263407,32768.0,60,60,0,0.6506073232323233,0.6452402401614538,False,8.918689613230526
WBCIC_MI,C0_LiteBN_DualCE,0,7,0.4190754234790802,0.42439207981030147,0.42173374990622203,0.05377415871868531,0.051870452240109444,0.42173374990622203,0.11783854166666667,0.1907848077515761,0.8160679082075755,0.42207401245832443,0.42030358960231146,inf,19114.666666666668,60,59,1,0.5255416666666667,0.38734461659764047,False,8.92209439072758
WBCIC_MI,C0_LiteBN_DualCE,0,8,0.4033306454618772,0.39874815493822097,0.4010394006967545,0.05309828252842029,0.05269758589565754,0.4010394006967545,0.11588541666666667,0.18553094615538915,0.8247496555248897,0.40109875897566477,0.4024795934557915,1.4287272850672403,16384.0,60,60,0,0.6585770202020201,0.6462738297352763,False,8.933267802000046
WBCIC_MI,C0_LiteBN_DualCE,0,9,0.38432959616184237,0.3879971201221148,0.3861633588870366,0.052422254160046575,0.05125238187611103,0.3861633588870366,0.10989583333333333,0.17663319781422615,0.829993819197019,0.385384031633536,0.3846326341231664,1.4543699900309244,16384.0,60,60,0,0.6665959595959595,0.6464121138635783,False,8.866804585792124
WBCIC_MI,C0_LiteBN_DualCE,0,10,0.39293027892708776,0.392543734361728,0.3927370061477025,0.05211483146995306,0.05146947503089905,0.3927370061477025,0.11380208333333333,0.1787819760541121,0.8224146713813146,0.39745538334051767,0.39439779072999953,1.6213493208090464,16384.0,60,60,0,0.5,0.33401360544217684,True,9.090297314338386
