task,fold,precision,c0_loss,c1_lambda0_loss,abs_loss_diff,model_state_exact_after_step,max_abs_model_state_diff,gradients_exact,main_rng_exact,secondary_rng_exact,status
WBCIC_MI,0,FP32,0.7835320830345154,0.7835320830345154,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,0,AMP_FP16,0.7737915515899658,0.7737915515899658,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,1,FP32,0.8240237236022949,0.8240237236022949,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,1,AMP_FP16,0.8116374015808105,0.8116374015808105,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,2,FP32,0.8251087665557861,0.8251087665557861,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,2,AMP_FP16,0.8613183498382568,0.8613183498382568,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,3,FP32,0.8056384325027466,0.8056384325027466,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,3,AMP_FP16,0.7939341068267822,0.7939341068267822,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,4,FP32,0.7738536596298218,0.7738536596298218,0.0,True,0.0,True,True,True,PASS
WBCIC_MI,4,AMP_FP16,0.7711563110351562,0.7711563110351562,0.0,True,0.0,True,True,True,PASS
