task,fold,method,parameter_tensor_count,exact_parameter_matches,buffer_tensor_count,exact_buffer_matches,max_abs_parameter_diff,max_abs_buffer_diff,status,scope
OpenBMI_ERP,0,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_ERP,1,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_ERP,2,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_ERP,3,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_ERP,4,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_MI,0,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_MI,1,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_MI,2,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_MI,3,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_MI,4,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_SSVEP,0,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_SSVEP,1,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_SSVEP,2,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_SSVEP,3,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
OpenBMI_SSVEP,4,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS,POST_GATE_EXPLORATORY_C0
