task,fold,subject_id,method,BA,macro_F1,accuracy,trials
WBCIC_MI,3,sub-11,B0_Exact_LiteBN,0.7749999999999999,0.7740453415681253,0.775,200
WBCIC_MI,3,sub-11,C0_LiteBN_DualCE,0.75,0.7457023700539112,0.75,200
WBCIC_MI,3,sub-11,C1_LiteBN_SC,0.73,0.7295673076923077,0.73,200
WBCIC_MI,3,sub-13,B0_Exact_LiteBN,0.865,0.8645903859174001,0.865,200
WBCIC_MI,3,sub-13,C0_LiteBN_DualCE,0.865,0.8648344221671547,0.865,200
WBCIC_MI,3,sub-13,C1_LiteBN_SC,0.8799999999999999,0.8795664391810518,0.88,200
WBCIC_MI,3,sub-24,B0_Exact_LiteBN,0.9285037878787878,0.9282032400589102,0.9282051282051282,195
WBCIC_MI,3,sub-24,C0_LiteBN_DualCE,0.9086174242424243,0.9074952561669829,0.9076923076923077,195
WBCIC_MI,3,sub-24,C1_LiteBN_SC,0.948705808080808,0.948705808080808,0.9487179487179488,195
WBCIC_MI,3,sub-26,B0_Exact_LiteBN,0.675,0.672040162466258,0.675,200
WBCIC_MI,3,sub-26,C0_LiteBN_DualCE,0.65,0.6266666666666667,0.65,200
WBCIC_MI,3,sub-26,C1_LiteBN_SC,0.675,0.6706442704770592,0.675,200
WBCIC_MI,3,sub-29,B0_Exact_LiteBN,0.945,0.9449876222149984,0.945,200
WBCIC_MI,3,sub-29,C0_LiteBN_DualCE,0.9199999999999999,0.9197109594540345,0.92,200
WBCIC_MI,3,sub-29,C1_LiteBN_SC,0.9,0.8999599839935974,0.9,200
WBCIC_MI,3,sub-47,B0_Exact_LiteBN,0.905,0.9048834822657756,0.905,200
WBCIC_MI,3,sub-47,C0_LiteBN_DualCE,0.9450000000000001,0.9449656035021888,0.945,200
WBCIC_MI,3,sub-47,C1_LiteBN_SC,0.92,0.9197994987468672,0.92,200
WBCIC_MI,4,sub-16,B0_Exact_LiteBN,0.575,0.5523370638578011,0.575,200
WBCIC_MI,4,sub-16,C0_LiteBN_DualCE,0.56,0.5452666391070691,0.56,200
WBCIC_MI,4,sub-16,C1_LiteBN_SC,0.595,0.5713265063110264,0.595,200
WBCIC_MI,4,sub-27,B0_Exact_LiteBN,0.64,0.6279454319966928,0.64,200
WBCIC_MI,4,sub-27,C0_LiteBN_DualCE,0.64,0.6265172735760971,0.64,200
