task,cohort,comparison,left_method,right_method,left_BA,right_BA,delta_pp,positive_subjects,negative_subjects,tied_subjects,bootstrap_ci_low_pp,bootstrap_ci_high_pp,resamples,status
WBCIC_MI,OUTER,C1-B0,C1_LiteBN_SC,B0_Exact_LiteBN,0.7947969615509938,0.7902743157380255,0.452264581296841,15,13,3,-0.579341805148255,1.4845226458129697,10000,RUN
WBCIC_MI,OUTER,C0-B0,C0_LiteBN_DualCE,B0_Exact_LiteBN,0.7914070136852396,0.7902743157380255,0.11326979472140845,13,14,4,-0.7415689149560099,1.0161290322580636,10000,RUN
WBCIC_MI,OUTER,C1-C0,C1_LiteBN_SC,C0_LiteBN_DualCE,0.7947969615509938,0.7914070136852396,0.33899478657543225,16,12,3,-0.6287471489084383,1.3551309465624006,10000,RUN
WBCIC_MI,INTERNAL_HELDOUT,C1-B0,C1_LiteBN_SC,B0_Exact_LiteBN,0.7975,0.7975999999999999,-0.009999999999998899,5,4,1,-0.4499999999999993,0.38025000000000103,10000,RUN
WBCIC_MI,INTERNAL_HELDOUT,C0-B0,C0_LiteBN_DualCE,B0_Exact_LiteBN,0.7999,0.7975999999999999,0.23000000000000353,8,1,1,-0.319999999999997,0.6600000000000028,10000,RUN
WBCIC_MI,INTERNAL_HELDOUT,C1-C0,C1_LiteBN_SC,C0_LiteBN_DualCE,0.7975,0.7999,-0.24000000000000243,4,6,0,-0.6900000000000037,0.15999999999999792,10000,RUN
