scope,task,fold,method,normalizer_sha256,reference_normalizer_sha256,normalizer_match,normalizer_reference_mode,canonical_normalizer_reconstruction_match,batch_manifest_sha256,reference_batch_manifest_sha256,manifest_match,batch_manifest_reference_mode,canonical_batch_manifest_reconstruction_match,class_weighted_ce,reference_class_weighted_ce,class_weight_match,epochs,optimizer_updates,outer_subjects_absent_from_fit,status
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,0,C0_LiteBN_DualCE,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,HASHED_B0_PROVENANCE,True,,,True,EXACT_CANONICAL_RECONSTRUCTION,True,True,True,True,60,48300,True,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,1,C0_LiteBN_DualCE,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True,HASHED_B0_PROVENANCE,True,,,True,EXACT_CANONICAL_RECONSTRUCTION,True,True,True,True,60,48300,True,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,C0_LiteBN_DualCE,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,True,HASHED_B0_PROVENANCE,True,,,True,EXACT_CANONICAL_RECONSTRUCTION,True,True,True,True,60,48300,True,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,C0_LiteBN_DualCE,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,True,HASHED_B0_PROVENANCE,True,,,True,EXACT_CANONICAL_RECONSTRUCTION,True,True,True,True,60,48300,True,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,C0_LiteBN_DualCE,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,True,HASHED_B0_PROVENANCE,True,,,True,EXACT_CANONICAL_RECONSTRUCTION,True,True,True,True,60,48300,True,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,C0_LiteBN_DualCE,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,recovered_from_existing_stage_a_checkpoint,True,EXACT_CANONICAL_RECONSTRUCTION,True,c371ec3ab1b22105ee426cadaaf94dbecea4edd562abfe80ab8c2dd5051601df,,True,EXACT_CANONICAL_RECONSTRUCTION,True,False,False,True,60,1260,True,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,C0_LiteBN_DualCE,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,recovered_from_existing_stage_a_checkpoint,True,EXACT_CANONICAL_RECONSTRUCTION,True,a0e8f1ae32150b29681e6f759528083062775364f634c3eced7615d3df9f3ed0,,True,EXACT_CANONICAL_RECONSTRUCTION,True,False,False,True,60,1260,True,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,C0_LiteBN_DualCE,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,recovered_from_existing_stage_a_checkpoint,True,EXACT_CANONICAL_RECONSTRUCTION,True,f377b95fca32cac942eeada95bf0ebe5eb1c0ae2fe4162817ae3e747e2c0584e,,True,EXACT_CANONICAL_RECONSTRUCTION,True,False,False,True,60,1260,True,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,C0_LiteBN_DualCE,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,recovered_from_existing_stage_a_checkpoint,True,EXACT_CANONICAL_RECONSTRUCTION,True,22b84a265f6a9d46f4b904c6c554e490698bd38d78c9d3e99cf7e1573ed92815,,True,EXACT_CANONICAL_RECONSTRUCTION,True,False,False,True,60,1260,True,PASS
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,4,C0_LiteBN_DualCE,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,recovered_from_existing_stage_a_checkpoint,True,EXACT_CANONICAL_RECONSTRUCTION,True,ff5a16cd2ed5bbe6e8198e3d354f5c277758f9b923bbc40ea9798d3593a0a9d5,,True,EXACT_CANONICAL_RECONSTRUCTION,True,False,False,True,60,1260,True,PASS
