task,fold,precision,audit,null_J,swap_abs_diff,status,max_abs_loss_diff,gradients_exact,model_state_exact,max_abs_model_state_diff,main_rng_exact,secondary_rng_exact,scaler_exact
WBCIC_MI,0,FP32,NULL_AND_SYMMETRY,0.0,0.0,PASS,,,,,,,
WBCIC_MI,0,FP32,NOOP_EXTRA_B_THREE_STEP_REPLAY,,,PASS,0.0,True,True,0.0,True,,
WBCIC_MI,0,AMP_FP16,NULL_AND_SYMMETRY,0.0,0.0,PASS,,,,,,,
WBCIC_MI,0,AMP_FP16,NOOP_EXTRA_B_THREE_STEP_REPLAY,,,PASS,0.0,True,True,0.0,True,,
WBCIC_MI,0,AMP_FP16,TEN_STEP_RESUME,,,PASS,,,True,0.0,True,True,True
WBCIC_MI,1,FP32,NULL_AND_SYMMETRY,0.0,0.0,PASS,,,,,,,
WBCIC_MI,1,FP32,NOOP_EXTRA_B_THREE_STEP_REPLAY,,,PASS,0.0,True,True,0.0,True,,
WBCIC_MI,1,AMP_FP16,NULL_AND_SYMMETRY,0.0,0.0,PASS,,,,,,,
WBCIC_MI,1,AMP_FP16,NOOP_EXTRA_B_THREE_STEP_REPLAY,,,PASS,0.0,True,True,0.0,True,,
WBCIC_MI,1,AMP_FP16,TEN_STEP_RESUME,,,PASS,,,True,0.0,True,True,True
WBCIC_MI,2,FP32,NULL_AND_SYMMETRY,0.0,0.0,PASS,,,,,,,
WBCIC_MI,2,FP32,NOOP_EXTRA_B_THREE_STEP_REPLAY,,,PASS,0.0,True,True,0.0,True,,
WBCIC_MI,2,AMP_FP16,NULL_AND_SYMMETRY,0.0,0.0,PASS,,,,,,,
WBCIC_MI,2,AMP_FP16,NOOP_EXTRA_B_THREE_STEP_REPLAY,,,PASS,0.0,True,True,0.0,True,,
WBCIC_MI,2,AMP_FP16,TEN_STEP_RESUME,,,PASS,,,True,0.0,True,True,True
WBCIC_MI,3,FP32,NULL_AND_SYMMETRY,0.0,0.0,PASS,,,,,,,
WBCIC_MI,3,FP32,NOOP_EXTRA_B_THREE_STEP_REPLAY,,,PASS,0.0,True,True,0.0,True,,
WBCIC_MI,3,AMP_FP16,NULL_AND_SYMMETRY,0.0,0.0,PASS,,,,,,,
WBCIC_MI,3,AMP_FP16,NOOP_EXTRA_B_THREE_STEP_REPLAY,,,PASS,0.0,True,True,0.0,True,,
WBCIC_MI,3,AMP_FP16,TEN_STEP_RESUME,,,PASS,,,True,0.0,True,True,True
WBCIC_MI,4,FP32,NULL_AND_SYMMETRY,0.0,0.0,PASS,,,,,,,
WBCIC_MI,4,FP32,NOOP_EXTRA_B_THREE_STEP_REPLAY,,,PASS,0.0,True,True,0.0,True,,
WBCIC_MI,4,AMP_FP16,NULL_AND_SYMMETRY,0.0,0.0,PASS,,,,,,,
WBCIC_MI,4,AMP_FP16,NOOP_EXTRA_B_THREE_STEP_REPLAY,,,PASS,0.0,True,True,0.0,True,,
WBCIC_MI,4,AMP_FP16,TEN_STEP_RESUME,,,PASS,,,True,0.0,True,True,True
