scope,data_status,task,subject_id,method,BA,macro_F1,accuracy
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,12,B0_Exact_LiteBN,0.9637575757575757,0.9237819549359081,0.9537373737373738
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,12,C0_LiteBN_DualCE,0.9673939393939394,0.9300263296352576,0.9577777777777777
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,13,B0_Exact_LiteBN,0.916,0.8472506147956494,0.8987878787878788
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,13,C0_LiteBN_DualCE,0.9198181818181818,0.8560476717484491,0.905959595959596
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,17,B0_Exact_LiteBN,0.8202424242424243,0.7370551790204947,0.8103030303030303
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,17,C0_LiteBN_DualCE,0.8213333333333332,0.7447436308626714,0.8193939393939393
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,18,B0_Exact_LiteBN,0.9113939393939393,0.8835852627402477,0.9307070707070707
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,18,C0_LiteBN_DualCE,0.9114545454545453,0.8847214203465427,0.9316161616161617
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,24,B0_Exact_LiteBN,0.8155757575757576,0.7520567448594331,0.8295959595959597
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,24,C0_LiteBN_DualCE,0.8025454545454546,0.7211669485245423,0.7977777777777778
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,25,B0_Exact_LiteBN,0.7927272727272727,0.7833794249953379,0.8759595959595959
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,25,C0_LiteBN_DualCE,0.8053939393939394,0.7923839410237385,0.8796969696969696
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,29,B0_Exact_LiteBN,0.8422424242424242,0.8160314350136272,0.8893939393939394
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,29,C0_LiteBN_DualCE,0.8433333333333334,0.8143816425145397,0.8875757575757575
POST_GATE_EXPLORATORY_C0,DEVELOPMENT_MODEL_SELECTION_DATA,OpenBMI_ERP,36,B0_Exact_LiteBN,0.9516363636363636,0.894453879750451,0.933131313131313
