fold,historical_manifest_hash,current_manifest_hash,exact_match,episodes,epochs,status
0,3f46a3ff4f5ca53187398dcb654bc9f6ce73579ce6fce3d4804d07a9c25db6b0,3f46a3ff4f5ca53187398dcb654bc9f6ce73579ce6fce3d4804d07a9c25db6b0,True,1260,60,PASS
1,bb1e8a89afc015f272ffa05b5f07e58acbf4bee32a5441f14bd2c90bb0b46ae9,bb1e8a89afc015f272ffa05b5f07e58acbf4bee32a5441f14bd2c90bb0b46ae9,True,1260,60,PASS
2,dd0b2930e93a536cd7d1f98f9b7157caec3e89c024250b97fa220ca9ed233291,dd0b2930e93a536cd7d1f98f9b7157caec3e89c024250b97fa220ca9ed233291,True,1260,60,PASS
3,6f868cd581651f3ae0a6fb2d1c6f6f36405ccb36654ebcfa180ce7de9b9bf6ab,6f868cd581651f3ae0a6fb2d1c6f6f36405ccb36654ebcfa180ce7de9b9bf6ab,True,1260,60,PASS
4,f2cc6474384d235aa16f85efbff3e44d2ff1ed6affad2325fe1fa0a413db7f81,f2cc6474384d235aa16f85efbff3e44d2ff1ed6affad2325fe1fa0a413db7f81,True,1260,60,PASS
