fold,historical_LiteBN_BA,currentruntime_LiteBN_BA,runtime_delta_pp,HE96_BA,HE96_delta_vs_currentruntime_pp,TSW_BA,TSW_delta_vs_currentruntime_pp,StaticScale_BA,StaticScale_delta_vs_currentruntime_pp
0,0.8262499999999999,0.82125,-0.49999999999998934,0.815,-0.6250000000000089,0.82375,0.24999999999999467,0.8225,0.12499999999999734
1,0.8325,0.7775000000000001,-5.499999999999994,0.78375,0.6249999999999867,0.77875,0.12499999999999734,0.7775000000000001,0.0
2,0.7275,0.7050000000000001,-2.2499999999999964,0.7225,1.749999999999996,0.70875,0.374999999999992,0.71125,0.6249999999999978
3,0.7875,0.76875,-1.8749999999999933,0.77,0.12499999999999734,0.77125,0.24999999999999467,0.76875,0.0
4,0.78375,0.765,-1.8749999999999933,0.7474999999999999,-1.750000000000007,0.7474999999999999,-1.750000000000007,0.75875,-0.6249999999999978
