candidate,runtime_provenance_match,historical_LiteBN_BA,currentruntime_LiteBN_BA,candidate_BA,delta_vs_historical_pp,delta_vs_currentruntime_pp,interpretation
HE96,COMPATIBLE_CURRENT_RUNTIME,0.7915,0.7675000000000001,0.76775,-2.374999999999994,0.024999999999997247,HE96 versus same-runtime LiteBN: +0.025 pp
TSW,COMPATIBLE_CURRENT_RUNTIME,0.7915,0.7675000000000001,0.766,-2.5499999999999967,-0.15000000000000568,TSW versus same-runtime LiteBN: -0.150 pp
StaticScale,COMPATIBLE_CURRENT_RUNTIME,0.7915,0.7675000000000001,0.76775,-2.374999999999994,0.024999999999997247,StaticScale versus same-runtime LiteBN: +0.025 pp
