result_type,family,fold,seed,subject_id,task_method,invariant_method,task_only_BA,invariant_BA,delta_BA_INV,task_only_macro_f1,invariant_macro_f1,task_only_ID_accuracy,invariant_ID_accuracy,delta_ID,task_only_PRS,invariant_PRS,delta_PRS,outer_test_used,rescue_method,random_draw,balanced_accuracy,accuracy,macro_f1,subject_probe_accuracy
invariance_audit,A_SUBJECT_GRL_EEGNET_L0050,0,0,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.6000000000000001,0.62,0.0199999999999999,0.5993589743589743,0.614448051948052,0.25,0.32,0.07,0.9999999999999414,0.2160961047026556,-0.7839038952972858,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0050,0,0,3,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.85,0.73,-0.12,0.84998499849985,0.7286704853783539,0.6,0.53,-0.0699999999999999,0.99999999999994,0.4083633255264914,-0.5916366744734486,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0050,0,0,6,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.94,0.93,-0.01,0.9399038461538464,0.9298245614035088,0.49,0.32,-0.1699999999999999,0.999999999999954,0.4303361949458363,-0.5696638050541178,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0050,0,0,10,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.56,0.58,0.0199999999999999,0.5592948717948718,0.58,0.82,0.37,-0.4499999999999999,0.9999999999999324,-0.1557128648699797,-1.1557128648699122,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0050,0,0,17,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.52,0.47,-0.05,0.4851994851994852,0.3859344224307728,0.24,0.05,-0.19,0.9999999999999484,0.3723814731691716,-0.6276185268307768,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0050,0,0,28,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.8200000000000001,0.7,-0.1200000000000001,0.8164014687882497,0.6998799519807923,0.25,0.21,-0.04,0.9999999999999426,0.2920507113362984,-0.7079492886636441,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0050,0,0,45,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.71,0.64,-0.0699999999999999,0.7092731829573935,0.609375,0.85,0.8,-0.0499999999999999,0.9999999999999444,0.2989274502690221,-0.7010725497309221,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0050,0,0,48,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.61,0.6499999999999999,0.0399999999999999,0.6096486838154338,0.6482765551200884,0.35,0.37,0.02,0.9999999999999394,0.2524677452231162,-0.7475322547768232,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0050,0,0,54,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.73,0.7,-0.03,0.72997299729973,0.6980676328502415,0.39,0.18,-0.21,0.9999999999999432,0.224593595320466,-0.7754064046794771,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0100,0,0,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.6000000000000001,0.63,0.0299999999999999,0.5993589743589743,0.6299629962996299,0.25,0.29,0.0399999999999999,0.9999999999999414,0.1425689728879885,-0.8574310271119528,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0100,0,0,3,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.85,0.8300000000000001,-0.0199999999999999,0.84998499849985,0.8298468621759585,0.6,0.42,-0.18,0.99999999999994,0.314549295505805,-0.685450704494135,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0100,0,0,6,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.94,0.9,-0.0399999999999999,0.9399038461538464,0.8999599839935974,0.49,0.28,-0.2099999999999999,0.999999999999954,0.4363568031500499,-0.5636431968499043,False,,,,,,
invariance_audit,A_SUBJECT_GRL_EEGNET_L0100,0,0,10,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.56,0.61,0.0499999999999999,0.5592948717948718,0.5920075321686369,0.82,0.52,-0.2999999999999999,0.9999999999999324,0.0869605860402018,-0.9130394139597308,False,,,,,,
