status,mode,fold,seed,method_id,family,best_epoch,best_calibration_BA,best_calibration_macro_f1,best_calibration_CE,epochs_executed,parameter_count,checkpoint,elapsed_seconds,train_rows,calibration_rows,outcome_loader_constructed_during_training,outer_test_used
COMPLETE,full,0,1,A1_SUBJECT_GRL_EEGNET_L1000,A,7,0.6183333333333333,0.6174396298018426,0.6363015702174702,12,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-1\A1_SUBJECT_GRL_EEGNET_L1000.pt,19.43714189529419,5600,600,False,False
COMPLETE,full,0,1,B0_EEG_DG_TASK_ONLY,B,24,0.7533333333333333,0.7533333333333333,0.6844171533790501,30,380446,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-1\B0_EEG_DG_TASK_ONLY.pt,127.70519256591795,5600,600,False,False
COMPLETE,full,0,1,B1_EEG_DG_FULL,B,8,0.7083333333333334,0.707650372119312,0.61125686018898,15,380446,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-1\B1_EEG_DG_FULL.pt,67.53384375572205,5600,600,False,False
COMPLETE,full,0,1,C0_SCLDGN_TASK_ONLY,C,9,0.7333333333333334,0.7331435687600071,0.6331902013315563,14,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-1\C0_SCLDGN_TASK_ONLY.pt,23.15782165527344,5600,600,False,False
COMPLETE,full,0,1,C1_SCLDGN_FULL,C,9,0.7733333333333333,0.771043771043771,0.5306194307422465,14,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-1\C1_SCLDGN_FULL.pt,53.90071725845337,5600,600,False,False
COMPLETE,full,1,0,A0_TASK_ONLY_EEGNET,A,20,0.7133333333333334,0.7132536815782161,0.5465400189385101,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-0\A0_TASK_ONLY_EEGNET.pt,32.13809275627136,5600,600,False,False
COMPLETE,full,1,0,A1_SUBJECT_GRL_EEGNET_L0050,A,20,0.71,0.7089522280208752,0.5663277964750019,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-0\A1_SUBJECT_GRL_EEGNET_L0050.pt,32.246564626693726,5600,600,False,False
COMPLETE,full,1,0,A1_SUBJECT_GRL_EEGNET_L0100,A,20,0.6916666666666667,0.6906138945021254,0.5900815247404853,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-0\A1_SUBJECT_GRL_EEGNET_L0100.pt,32.34510087966919,5600,600,False,False
COMPLETE,full,1,0,A1_SUBJECT_GRL_EEGNET_L0300,A,20,0.7183333333333333,0.7179878684722119,0.5694260368146165,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-0\A1_SUBJECT_GRL_EEGNET_L0300.pt,32.36132311820984,5600,600,False,False
COMPLETE,full,1,0,A1_SUBJECT_GRL_EEGNET_L1000,A,19,0.7333333333333334,0.7333303703374482,0.53922030535349,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-0\A1_SUBJECT_GRL_EEGNET_L1000.pt,32.1571729183197,5600,600,False,False
