family,fold,seed,subject_id,task_method,invariant_method,task_only_BA,invariant_BA,delta_BA_INV,task_only_macro_f1,invariant_macro_f1,task_only_ID_accuracy,invariant_ID_accuracy,delta_ID,task_only_PRS,invariant_PRS,delta_PRS,outer_test_used
A_SUBJECT_GRL_EEGNET_L0050,0,0,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.6000000000000001,0.62,0.019999999999999907,0.5993589743589743,0.614448051948052,0.25,0.32,0.07,0.9999999999999414,0.2160961047026556,-0.7839038952972858,False
A_SUBJECT_GRL_EEGNET_L0050,0,0,3,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.85,0.73,-0.12,0.84998499849985,0.7286704853783539,0.6,0.53,-0.06999999999999995,0.99999999999994,0.40836332552649146,-0.5916366744734486,False
A_SUBJECT_GRL_EEGNET_L0050,0,0,6,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.94,0.9299999999999999,-0.010000000000000009,0.9399038461538463,0.9298245614035088,0.49,0.32,-0.16999999999999998,0.9999999999999541,0.4303361949458363,-0.5696638050541178,False
A_SUBJECT_GRL_EEGNET_L0050,0,0,10,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.56,0.58,0.019999999999999907,0.5592948717948718,0.58,0.82,0.37,-0.44999999999999996,0.9999999999999325,-0.1557128648699797,-1.1557128648699122,False
A_SUBJECT_GRL_EEGNET_L0050,0,0,17,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.52,0.47,-0.050000000000000044,0.4851994851994852,0.3859344224307728,0.24,0.05,-0.19,0.9999999999999484,0.3723814731691716,-0.6276185268307768,False
A_SUBJECT_GRL_EEGNET_L0050,0,0,28,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.8200000000000001,0.7,-0.1200000000000001,0.8164014687882497,0.6998799519807923,0.25,0.21,-0.04000000000000001,0.9999999999999426,0.29205071133629845,-0.7079492886636441,False
A_SUBJECT_GRL_EEGNET_L0050,0,0,45,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.71,0.64,-0.06999999999999995,0.7092731829573935,0.609375,0.85,0.8,-0.04999999999999993,0.9999999999999443,0.2989274502690221,-0.7010725497309221,False
A_SUBJECT_GRL_EEGNET_L0050,0,0,48,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.61,0.6499999999999999,0.039999999999999925,0.6096486838154338,0.6482765551200884,0.35,0.37,0.020000000000000018,0.9999999999999394,0.2524677452231162,-0.7475322547768232,False
A_SUBJECT_GRL_EEGNET_L0050,0,0,54,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.73,0.7,-0.030000000000000027,0.72997299729973,0.6980676328502415,0.39,0.18,-0.21000000000000002,0.9999999999999432,0.22459359532046608,-0.7754064046794771,False
A_SUBJECT_GRL_EEGNET_L0100,0,0,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.6000000000000001,0.63,0.029999999999999916,0.5993589743589743,0.6299629962996299,0.25,0.29,0.03999999999999998,0.9999999999999414,0.14256897288798853,-0.8574310271119528,False
A_SUBJECT_GRL_EEGNET_L0100,0,0,3,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.85,0.8300000000000001,-0.019999999999999907,0.84998499849985,0.8298468621759585,0.6,0.42,-0.18,0.99999999999994,0.314549295505805,-0.685450704494135,False
