method_id,family,role,implementation,upstream_source_copied,exclusion,outer_test_used
A0_TASK_ONLY_EEGNET,A,task_only,local,False,False,False
A1_SUBJECT_GRL_EEGNET_L0050,A,invariant_or_ladder,local,False,False,False
A1_SUBJECT_GRL_EEGNET_L0100,A,invariant_or_ladder,local,False,False,False
A1_SUBJECT_GRL_EEGNET_L0300,A,invariant_or_ladder,local,False,False,False
A1_SUBJECT_GRL_EEGNET_L1000,A,invariant_or_ladder,local,False,False,False
B0_EEG_DG_TASK_ONLY,B,task_only,clean_room_method_level,False,False,False
B1_EEG_DG_FULL,B,invariant_or_ladder,clean_room_method_level,False,False,False
C0_SCLDGN_TASK_ONLY,C,task_only,clean_room_method_level,False,False,False
C1_SCLDGN_FULL,C,invariant_or_ladder,clean_room_method_level,False,False,False
