dataset,seed,outer_fold,alpha,action,argmax_error,macro_f1,balanced_accuracy,cohen_kappa,gain_vs_no_tta,harm_rate
hmc,0,0,0.1,no_tta,0.331439393939394,0.5456136362859799,0.6208349336551932,0.5207534364261086,0.0,0.0
hmc,0,0,0.1,official_t3a,0.3409090909090909,0.5435515947520405,0.6237959849845689,0.5238756614330353,-0.009469696969696972,0.45454545454545453
hmc,0,0,0.1,robust_residual_adapter,0.32992424242424234,0.5477970174048622,0.6238389009528325,0.5223652545635048,0.0015151515151515212,0.18181818181818182
hmc,0,0,0.2,no_tta,0.331439393939394,0.5456136362859799,0.6208349336551932,0.5207534364261086,0.0,0.0
hmc,0,0,0.2,official_t3a,0.3409090909090909,0.5435515947520405,0.6237959849845689,0.5238756614330353,-0.009469696969696972,0.45454545454545453
hmc,0,0,0.2,robust_residual_adapter,0.32992424242424234,0.5477970174048622,0.6238389009528325,0.5223652545635048,0.0015151515151515212,0.18181818181818182
hmc,0,1,0.1,no_tta,0.39545454545454545,0.44550745682761106,0.5217471178669718,0.42872327508469543,0.0,0.0
hmc,0,1,0.1,official_t3a,0.38825757575757575,0.45026179279941253,0.5232049814441605,0.4398810262068911,0.007196969696969691,0.36363636363636365
hmc,0,1,0.1,robust_residual_adapter,0.39621212121212124,0.4444592067025818,0.5209519567842001,0.42796044265324756,-0.00075757575757576,0.2727272727272727
hmc,0,1,0.2,no_tta,0.39545454545454545,0.44550745682761106,0.5217471178669718,0.42872327508469543,0.0,0.0
hmc,0,1,0.2,official_t3a,0.38825757575757575,0.45026179279941253,0.5232049814441605,0.4398810262068911,0.007196969696969691,0.36363636363636365
hmc,0,1,0.2,robust_residual_adapter,0.39621212121212124,0.4444592067025818,0.5209519567842001,0.42796044265324756,-0.00075757575757576,0.2727272727272727
hmc,0,2,0.1,no_tta,0.3950757575757576,0.49012386065028296,0.547113015083974,0.4400319706908827,0.0,0.0
hmc,0,2,0.1,official_t3a,0.41590909090909095,0.453112405725115,0.5301786710594063,0.4200748158043297,-0.020833333333333336,0.6363636363636364
hmc,0,2,0.1,robust_residual_adapter,0.39545454545454545,0.489515301579201,0.5463084423848118,0.4393510685787806,-0.00037878787878787494,0.2727272727272727
hmc,0,2,0.2,no_tta,0.3950757575757576,0.49012386065028296,0.547113015083974,0.4400319706908827,0.0,0.0
hmc,0,2,0.2,official_t3a,0.41590909090909095,0.453112405725115,0.5301786710594063,0.4200748158043297,-0.020833333333333336,0.6363636363636364
hmc,0,2,0.2,robust_residual_adapter,0.39545454545454545,0.489515301579201,0.5463084423848118,0.4393510685787806,-0.00037878787878787494,0.2727272727272727
hmc,0,3,0.1,no_tta,0.40530303030303033,0.4590873336334621,0.5394244991782279,0.3862510582218206,0.0,0.0
hmc,0,3,0.1,official_t3a,0.3617424242424242,0.48929433862286537,0.5688218110993918,0.43022689971280575,0.04356060606060606,0.36363636363636365
hmc,0,3,0.1,robust_residual_adapter,0.40606060606060607,0.45866260801717723,0.5390618512052857,0.3850645499509692,-0.0007575757575757574,0.09090909090909091
hmc,0,3,0.2,no_tta,0.40530303030303033,0.4590873336334621,0.5394244991782279,0.3862510582218206,0.0,0.0
hmc,0,3,0.2,official_t3a,0.3617424242424242,0.48929433862286537,0.5688218110993918,0.43022689971280575,0.04356060606060606,0.36363636363636365
hmc,0,3,0.2,robust_residual_adapter,0.40606060606060607,0.45866260801717723,0.5390618512052857,0.3850645499509692,-0.0007575757575757574,0.09090909090909091
hmc,0,4,0.1,no_tta,0.3662878787878788,0.46702045425935984,0.5726078049861248,0.4600969458805808,0.0,0.0
hmc,0,4,0.1,official_t3a,0.365530303030303,0.46678983119724343,0.5795556625334681,0.47118363549071307,0.00075757575757577,0.45454545454545453
hmc,0,4,0.1,robust_residual_adapter,0.3670454545454546,0.46665923000162385,0.572550518375999,0.4589831352810931,-0.0007575757575757549,0.2727272727272727
hmc,0,4,0.2,no_tta,0.3662878787878788,0.46702045425935984,0.5726078049861248,0.4600969458805808,0.0,0.0
hmc,0,4,0.2,official_t3a,0.365530303030303,0.46678983119724343,0.5795556625334681,0.47118363549071307,0.00075757575757577,0.45454545454545453
hmc,0,4,0.2,robust_residual_adapter,0.3670454545454546,0.46665923000162385,0.572550518375999,0.4589831352810931,-0.0007575757575757549,0.2727272727272727
hmc,1,0,0.1,no_tta,0.5102272727272728,0.34419718317105746,0.4185754818960778,0.23828264753881154,0.0,0.0
hmc,1,0,0.1,official_t3a,0.515530303030303,0.3435043167426803,0.42042882687826,0.2327143504064436,-0.005303030303030304,0.7272727272727273
hmc,1,0,0.1,robust_residual_adapter,0.5102272727272728,0.3441778438048251,0.41853867697334945,0.2382940664656034,0.0,0.09090909090909091
hmc,1,0,0.2,no_tta,0.5102272727272728,0.34419718317105746,0.4185754818960778,0.23828264753881154,0.0,0.0
hmc,1,0,0.2,official_t3a,0.515530303030303,0.3435043167426803,0.42042882687826,0.2327143504064436,-0.005303030303030304,0.7272727272727273
hmc,1,0,0.2,robust_residual_adapter,0.5102272727272728,0.3441778438048251,0.41853867697334945,0.2382940664656034,0.0,0.09090909090909091
hmc,1,1,0.1,no_tta,0.3549242424242424,0.5087141956762085,0.5736305511966696,0.48504069780167086,0.0,0.0
hmc,1,1,0.1,official_t3a,0.3340909090909091,0.530166037760056,0.5969892108884246,0.5201790807473139,0.02083333333333333,0.36363636363636365
hmc,1,1,0.1,robust_residual_adapter,0.3556818181818182,0.5082782292399105,0.5731479080125651,0.48397762449332754,-0.000757575757575765,0.18181818181818182
hmc,1,1,0.2,no_tta,0.3549242424242424,0.5087141956762085,0.5736305511966696,0.48504069780167086,0.0,0.0
hmc,1,1,0.2,official_t3a,0.3340909090909091,0.530166037760056,0.5969892108884246,0.5201790807473139,0.02083333333333333,0.36363636363636365
hmc,1,1,0.2,robust_residual_adapter,0.3556818181818182,0.5082782292399105,0.5731479080125651,0.48397762449332754,-0.000757575757575765,0.18181818181818182
hmc,1,2,0.1,no_tta,0.29545454545454547,0.5305893560737291,0.6362089277807401,0.5492301177112127,0.0,0.0
hmc,1,2,0.1,official_t3a,0.31287878787878787,0.5234147900048465,0.6262237112029464,0.5326373778735204,-0.017424242424242425,0.5454545454545454
hmc,1,2,0.1,robust_residual_adapter,0.2943181818181818,0.5313096997338638,0.6372331612792004,0.5507832889416567,0.0011363636363636324,0.0
hmc,1,2,0.2,no_tta,0.29545454545454547,0.5305893560737291,0.6362089277807401,0.5492301177112127,0.0,0.0
hmc,1,2,0.2,official_t3a,0.31287878787878787,0.5234147900048465,0.6262237112029464,0.5326373778735204,-0.017424242424242425,0.5454545454545454
hmc,1,2,0.2,robust_residual_adapter,0.2943181818181818,0.5313096997338638,0.6372331612792004,0.5507832889416567,0.0011363636363636324,0.0
hmc,1,3,0.1,no_tta,0.37613636363636366,0.5111675008841332,0.6027684363242418,0.4446657783371126,0.0,0.0
hmc,1,3,0.1,official_t3a,0.40037878787878783,0.5049011380720813,0.5977849140824433,0.42752554606519344,-0.024242424242424256,0.6363636363636364
hmc,1,3,0.1,robust_residual_adapter,0.3768939393939394,0.5102065389597931,0.6023751650610092,0.44372790625416825,-0.00075757575757577,0.2727272727272727
hmc,1,3,0.2,no_tta,0.37613636363636366,0.5111675008841332,0.6027684363242418,0.4446657783371126,0.0,0.0
hmc,1,3,0.2,official_t3a,0.40037878787878783,0.5049011380720813,0.5977849140824433,0.42752554606519344,-0.024242424242424256,0.6363636363636364
hmc,1,3,0.2,robust_residual_adapter,0.3768939393939394,0.5102065389597931,0.6023751650610092,0.44372790625416825,-0.00075757575757577,0.2727272727272727
hmc,1,4,0.1,no_tta,0.3477272727272727,0.5181471861630256,0.5817337000978449,0.5016705129829514,0.0,0.0
hmc,1,4,0.1,official_t3a,0.34848484848484845,0.5157107288281533,0.6016150388010059,0.5104780550306005,-0.00075757575757577,0.45454545454545453
hmc,1,4,0.1,robust_residual_adapter,0.34924242424242424,0.517029858442742,0.5808867220475207,0.49990865951104735,-0.00151515151515152,0.36363636363636365
hmc,1,4,0.2,no_tta,0.3477272727272727,0.5181471861630256,0.5817337000978449,0.5016705129829514,0.0,0.0
hmc,1,4,0.2,official_t3a,0.34848484848484845,0.5157107288281533,0.6016150388010059,0.5104780550306005,-0.00075757575757577,0.45454545454545453
hmc,1,4,0.2,robust_residual_adapter,0.34924242424242424,0.517029858442742,0.5808867220475207,0.49990865951104735,-0.00151515151515152,0.36363636363636365
