epoch,loss,macro_f1,balanced_accuracy
1,1.3863166633405184,0.188081582496763,0.256198576268452
2,1.3825823633294356,0.21768200675235666,0.26952673361834856
3,1.370655734288065,0.2036751316292151,0.2577698569546396
4,1.349069014975899,0.22802282278620242,0.25378955930198166
5,1.295909025167164,0.20595889609921694,0.24811194240542064
6,1.2450885019804303,0.19572124378808206,0.23738942217203088
7,1.168856586280622,0.2426252832545804,0.24623312763840713
8,1.0957240117223639,0.24699344879110563,0.2509873020354387
9,1.0085457720254596,0.2386759293785207,0.2513351684547337
10,0.942833357735684,0.2565990569604742,0.2574211502782931
11,0.9040675712259192,0.2683628428905112,0.2768588166491893
12,0.8460290777055841,0.27338883528272595,0.2870721411094082
