seed,fold,subject_id,kind,source,target,condition,auroc
0,0,47,cross_session,mi,mi,erase_UL,0.600830078125
0,0,50,cross_session,mi,mi,erase_UL,0.70220947265625
0,0,53,cross_session,mi,mi,erase_UL,0.7254638671875
0,0,13,cross_session,erp,erp,raw,0.927490234375
0,0,14,cross_session,erp,erp,raw,0.6624755859375
0,0,19,cross_session,erp,erp,raw,0.623779296875
0,0,2,cross_session,erp,erp,raw,0.87664794921875
0,0,32,cross_session,erp,erp,raw,0.770751953125
0,0,33,cross_session,erp,erp,raw,0.86138916015625
0,0,36,cross_session,erp,erp,raw,0.557373046875
0,0,40,cross_session,erp,erp,raw,0.54779052734375
0,0,47,cross_session,erp,erp,raw,0.57928466796875
0,0,50,cross_session,erp,erp,raw,0.66619873046875
0,0,53,cross_session,erp,erp,raw,0.60455322265625
0,0,13,cross_session,erp,erp,erase_UL,0.51953125
0,0,14,cross_session,erp,erp,erase_UL,0.5325927734375
0,0,19,cross_session,erp,erp,erase_UL,0.4539794921875
0,0,2,cross_session,erp,erp,erase_UL,0.56768798828125
0,0,32,cross_session,erp,erp,erase_UL,0.505859375
0,0,33,cross_session,erp,erp,erase_UL,0.49761962890625
0,0,36,cross_session,erp,erp,erase_UL,0.4912109375
0,0,40,cross_session,erp,erp,erase_UL,0.56060791015625
0,0,47,cross_session,erp,erp,erase_UL,0.57470703125
0,0,50,cross_session,erp,erp,erase_UL,0.56121826171875
0,0,53,cross_session,erp,erp,erase_UL,0.47381591796875
0,0,13,cross_session,ssvep,ssvep,raw,0.92572021484375
0,0,14,cross_session,ssvep,ssvep,raw,0.73480224609375
0,0,19,cross_session,ssvep,ssvep,raw,0.67138671875
0,0,2,cross_session,ssvep,ssvep,raw,0.77618408203125
0,0,32,cross_session,ssvep,ssvep,raw,0.76409912109375
0,0,33,cross_session,ssvep,ssvep,raw,0.97088623046875
0,0,36,cross_session,ssvep,ssvep,raw,0.97808837890625
0,0,40,cross_session,ssvep,ssvep,raw,0.5523681640625
0,0,47,cross_session,ssvep,ssvep,raw,0.8203125
0,0,50,cross_session,ssvep,ssvep,raw,0.84381103515625
0,0,53,cross_session,ssvep,ssvep,raw,0.8455810546875
0,0,13,cross_session,ssvep,ssvep,erase_UL,0.5267333984375
0,0,14,cross_session,ssvep,ssvep,erase_UL,0.72467041015625
0,0,19,cross_session,ssvep,ssvep,erase_UL,0.63934326171875
0,0,2,cross_session,ssvep,ssvep,erase_UL,0.5472412109375
0,0,32,cross_session,ssvep,ssvep,erase_UL,0.36468505859375
0,0,33,cross_session,ssvep,ssvep,erase_UL,0.76007080078125
0,0,36,cross_session,ssvep,ssvep,erase_UL,0.9307861328125
0,0,40,cross_session,ssvep,ssvep,erase_UL,0.58526611328125
0,0,47,cross_session,ssvep,ssvep,erase_UL,0.657470703125
0,0,50,cross_session,ssvep,ssvep,erase_UL,0.62109375
0,0,53,cross_session,ssvep,ssvep,erase_UL,0.69793701171875
0,1,1,cross_paradigm,mi,erp,raw,0.63763427734375
0,1,10,cross_paradigm,mi,erp,raw,0.75701904296875
0,1,16,cross_paradigm,mi,erp,raw,0.6002197265625
0,1,25,cross_paradigm,mi,erp,raw,0.54486083984375
0,1,35,cross_paradigm,mi,erp,raw,0.66552734375
0,1,42,cross_paradigm,mi,erp,raw,0.57489013671875
0,1,43,cross_paradigm,mi,erp,raw,0.66571044921875
0,1,45,cross_paradigm,mi,erp,raw,0.8843994140625
0,1,48,cross_paradigm,mi,erp,raw,0.5567626953125
0,1,5,cross_paradigm,mi,erp,raw,0.3355712890625
0,1,6,cross_paradigm,mi,erp,raw,0.77374267578125
0,1,1,cross_paradigm,mi,erp,erase_UL,0.52069091796875
0,1,10,cross_paradigm,mi,erp,erase_UL,0.71099853515625
0,1,16,cross_paradigm,mi,erp,erase_UL,0.51318359375
0,1,25,cross_paradigm,mi,erp,erase_UL,0.5980224609375
0,1,35,cross_paradigm,mi,erp,erase_UL,0.57611083984375
0,1,42,cross_paradigm,mi,erp,erase_UL,0.53607177734375
0,1,43,cross_paradigm,mi,erp,erase_UL,0.49346923828125
0,1,45,cross_paradigm,mi,erp,erase_UL,0.6522216796875
0,1,48,cross_paradigm,mi,erp,erase_UL,0.5865478515625
0,1,5,cross_paradigm,mi,erp,erase_UL,0.33758544921875
0,1,6,cross_paradigm,mi,erp,erase_UL,0.4718017578125
0,1,1,cross_paradigm,mi,ssvep,raw,0.6885986328125
0,1,10,cross_paradigm,mi,ssvep,raw,0.89080810546875
0,1,16,cross_paradigm,mi,ssvep,raw,0.5712890625
0,1,25,cross_paradigm,mi,ssvep,raw,0.6517333984375
0,1,35,cross_paradigm,mi,ssvep,raw,0.92156982421875
0,1,42,cross_paradigm,mi,ssvep,raw,0.59991455078125
0,1,43,cross_paradigm,mi,ssvep,raw,0.67352294921875
0,1,45,cross_paradigm,mi,ssvep,raw,0.93719482421875
0,1,48,cross_paradigm,mi,ssvep,raw,0.5289306640625
0,1,5,cross_paradigm,mi,ssvep,raw,0.4251708984375
0,1,6,cross_paradigm,mi,ssvep,raw,0.52020263671875
0,1,1,cross_paradigm,mi,ssvep,erase_UL,0.64202880859375
0,1,10,cross_paradigm,mi,ssvep,erase_UL,0.68450927734375
0,1,16,cross_paradigm,mi,ssvep,erase_UL,0.534423828125
0,1,25,cross_paradigm,mi,ssvep,erase_UL,0.54351806640625
0,1,35,cross_paradigm,mi,ssvep,erase_UL,0.6259765625
0,1,42,cross_paradigm,mi,ssvep,erase_UL,0.61370849609375
0,1,43,cross_paradigm,mi,ssvep,erase_UL,0.396484375
0,1,45,cross_paradigm,mi,ssvep,erase_UL,0.55914306640625
0,1,48,cross_paradigm,mi,ssvep,erase_UL,0.441650390625
0,1,5,cross_paradigm,mi,ssvep,erase_UL,0.44287109375
0,1,6,cross_paradigm,mi,ssvep,erase_UL,0.4527587890625
0,1,1,cross_paradigm,erp,ssvep,raw,0.49591064453125
0,1,10,cross_paradigm,erp,ssvep,raw,0.58599853515625
0,1,16,cross_paradigm,erp,ssvep,raw,0.7003173828125
0,1,25,cross_paradigm,erp,ssvep,raw,0.62518310546875
0,1,35,cross_paradigm,erp,ssvep,raw,0.78021240234375
0,1,42,cross_paradigm,erp,ssvep,raw,0.559326171875
0,1,43,cross_paradigm,erp,ssvep,raw,0.73406982421875
0,1,45,cross_paradigm,erp,ssvep,raw,0.83251953125
0,1,48,cross_paradigm,erp,ssvep,raw,0.6676025390625
0,1,5,cross_paradigm,erp,ssvep,raw,0.55010986328125
0,1,6,cross_paradigm,erp,ssvep,raw,0.60760498046875
0,1,1,cross_paradigm,erp,ssvep,erase_UL,0.50494384765625
0,1,10,cross_paradigm,erp,ssvep,erase_UL,0.548828125
0,1,16,cross_paradigm,erp,ssvep,erase_UL,0.53173828125
0,1,25,cross_paradigm,erp,ssvep,erase_UL,0.574462890625
0,1,35,cross_paradigm,erp,ssvep,erase_UL,0.57293701171875
0,1,42,cross_paradigm,erp,ssvep,erase_UL,0.43048095703125
0,1,43,cross_paradigm,erp,ssvep,erase_UL,0.53533935546875
0,1,45,cross_paradigm,erp,ssvep,erase_UL,0.451416015625
0,1,48,cross_paradigm,erp,ssvep,erase_UL,0.591552734375
0,1,5,cross_paradigm,erp,ssvep,erase_UL,0.5184326171875
0,1,6,cross_paradigm,erp,ssvep,erase_UL,0.59228515625
0,1,1,cross_session,mi,mi,raw,0.65118408203125
0,1,10,cross_session,mi,mi,raw,0.97894287109375
0,1,16,cross_session,mi,mi,raw,0.694091796875
0,1,25,cross_session,mi,mi,raw,0.59130859375
0,1,35,cross_session,mi,mi,raw,0.61346435546875
0,1,42,cross_session,mi,mi,raw,0.74871826171875
0,1,43,cross_session,mi,mi,raw,0.767578125
0,1,45,cross_session,mi,mi,raw,0.98358154296875
0,1,48,cross_session,mi,mi,raw,0.7557373046875
0,1,5,cross_session,mi,mi,raw,0.6641845703125
0,1,6,cross_session,mi,mi,raw,0.6671142578125
0,1,1,cross_session,mi,mi,erase_UL,0.55029296875
0,1,10,cross_session,mi,mi,erase_UL,0.90069580078125
0,1,16,cross_session,mi,mi,erase_UL,0.56927490234375
0,1,25,cross_session,mi,mi,erase_UL,0.3719482421875
0,1,35,cross_session,mi,mi,erase_UL,0.589111328125
0,1,42,cross_session,mi,mi,erase_UL,0.68524169921875
0,1,43,cross_session,mi,mi,erase_UL,0.54949951171875
0,1,45,cross_session,mi,mi,erase_UL,0.8355712890625
0,1,48,cross_session,mi,mi,erase_UL,0.75482177734375
0,1,5,cross_session,mi,mi,erase_UL,0.53143310546875
0,1,6,cross_session,mi,mi,erase_UL,0.698486328125
0,1,1,cross_session,erp,erp,raw,0.60748291015625
0,1,10,cross_session,erp,erp,raw,0.6876220703125
0,1,16,cross_session,erp,erp,raw,0.55615234375
0,1,25,cross_session,erp,erp,raw,0.7337646484375
0,1,35,cross_session,erp,erp,raw,0.64111328125
0,1,42,cross_session,erp,erp,raw,0.720703125
0,1,43,cross_session,erp,erp,raw,0.83343505859375
0,1,45,cross_session,erp,erp,raw,0.82061767578125
0,1,48,cross_session,erp,erp,raw,0.67474365234375
0,1,5,cross_session,erp,erp,raw,0.46466064453125
0,1,6,cross_session,erp,erp,raw,0.82196044921875
0,1,1,cross_session,erp,erp,erase_UL,0.65936279296875
0,1,10,cross_session,erp,erp,erase_UL,0.50048828125
0,1,16,cross_session,erp,erp,erase_UL,0.5133056640625
0,1,25,cross_session,erp,erp,erase_UL,0.61053466796875
0,1,35,cross_session,erp,erp,erase_UL,0.588623046875
0,1,42,cross_session,erp,erp,erase_UL,0.5936279296875
0,1,43,cross_session,erp,erp,erase_UL,0.51678466796875
0,1,45,cross_session,erp,erp,erase_UL,0.56732177734375
0,1,48,cross_session,erp,erp,erase_UL,0.551025390625
0,1,5,cross_session,erp,erp,erase_UL,0.35723876953125
0,1,6,cross_session,erp,erp,erase_UL,0.47161865234375
0,1,1,cross_session,ssvep,ssvep,raw,0.6285400390625
0,1,10,cross_session,ssvep,ssvep,raw,0.809814453125
0,1,16,cross_session,ssvep,ssvep,raw,0.59869384765625
0,1,25,cross_session,ssvep,ssvep,raw,0.6944580078125
0,1,35,cross_session,ssvep,ssvep,raw,0.94476318359375
0,1,42,cross_session,ssvep,ssvep,raw,0.45623779296875
0,1,43,cross_session,ssvep,ssvep,raw,0.98126220703125
0,1,45,cross_session,ssvep,ssvep,raw,0.91558837890625
0,1,48,cross_session,ssvep,ssvep,raw,0.7406005859375
0,1,5,cross_session,ssvep,ssvep,raw,0.67431640625
0,1,6,cross_session,ssvep,ssvep,raw,0.76849365234375
0,1,1,cross_session,ssvep,ssvep,erase_UL,0.55206298828125
0,1,10,cross_session,ssvep,ssvep,erase_UL,0.6788330078125
0,1,16,cross_session,ssvep,ssvep,erase_UL,0.59393310546875
0,1,25,cross_session,ssvep,ssvep,erase_UL,0.649658203125
0,1,35,cross_session,ssvep,ssvep,erase_UL,0.91387939453125
0,1,42,cross_session,ssvep,ssvep,erase_UL,0.47406005859375
0,1,43,cross_session,ssvep,ssvep,erase_UL,0.9554443359375
0,1,45,cross_session,ssvep,ssvep,erase_UL,0.7569580078125
0,1,48,cross_session,ssvep,ssvep,erase_UL,0.65887451171875
0,1,5,cross_session,ssvep,ssvep,erase_UL,0.676513671875
0,1,6,cross_session,ssvep,ssvep,erase_UL,0.836181640625
0,2,18,cross_paradigm,mi,erp,raw,0.677490234375
0,2,22,cross_paradigm,mi,erp,raw,0.6776123046875
0,2,26,cross_paradigm,mi,erp,raw,0.42303466796875
0,2,29,cross_paradigm,mi,erp,raw,0.53533935546875
0,2,34,cross_paradigm,mi,erp,raw,0.62774658203125
0,2,4,cross_paradigm,mi,erp,raw,0.908203125
0,2,44,cross_paradigm,mi,erp,raw,0.33282470703125
0,2,51,cross_paradigm,mi,erp,raw,0.57806396484375
0,2,52,cross_paradigm,mi,erp,raw,0.897705078125
0,2,54,cross_paradigm,mi,erp,raw,0.62078857421875
0,2,7,cross_paradigm,mi,erp,raw,0.896240234375
0,2,18,cross_paradigm,mi,erp,erase_UL,0.5997314453125
0,2,22,cross_paradigm,mi,erp,erase_UL,0.572265625
0,2,26,cross_paradigm,mi,erp,erase_UL,0.57147216796875
0,2,29,cross_paradigm,mi,erp,erase_UL,0.5816650390625
0,2,34,cross_paradigm,mi,erp,erase_UL,0.489990234375
0,2,4,cross_paradigm,mi,erp,erase_UL,0.650390625
0,2,44,cross_paradigm,mi,erp,erase_UL,0.60076904296875
0,2,51,cross_paradigm,mi,erp,erase_UL,0.470458984375
0,2,52,cross_paradigm,mi,erp,erase_UL,0.7154541015625
0,2,54,cross_paradigm,mi,erp,erase_UL,0.5401611328125
0,2,7,cross_paradigm,mi,erp,erase_UL,0.9085693359375
0,2,18,cross_paradigm,mi,ssvep,raw,0.58917236328125
0,2,22,cross_paradigm,mi,ssvep,raw,0.59613037109375
0,2,26,cross_paradigm,mi,ssvep,raw,0.49200439453125
0,2,29,cross_paradigm,mi,ssvep,raw,0.577392578125
