seed,fold,subject_id,task,condition,balanced_accuracy
0,0,13,mi,raw,0.615
0,0,14,mi,raw,0.71
0,0,19,mi,raw,0.7849999999999999
0,0,2,mi,raw,0.71
0,0,32,mi,raw,0.87
0,0,33,mi,raw,0.93
0,0,36,mi,raw,0.97
0,0,40,mi,raw,0.73
0,0,47,mi,raw,0.8
0,0,50,mi,raw,0.53
0,0,53,mi,raw,0.75
0,0,13,mi,erase_UL,0.54
0,0,14,mi,erase_UL,0.65
0,0,19,mi,erase_UL,0.8049999999999999
0,0,2,mi,erase_UL,0.68
0,0,32,mi,erase_UL,0.785
0,0,33,mi,erase_UL,0.855
0,0,36,mi,erase_UL,0.925
0,0,40,mi,erase_UL,0.685
0,0,47,mi,erase_UL,0.655
0,0,50,mi,erase_UL,0.635
0,0,53,mi,erase_UL,0.645
0,0,13,mi,erase_UM,0.565
0,0,14,mi,erase_UM,0.615
0,0,19,mi,erase_UM,0.7649999999999999
0,0,2,mi,erase_UM,0.625
0,0,32,mi,erase_UM,0.735
0,0,33,mi,erase_UM,0.84
0,0,36,mi,erase_UM,0.705
0,0,40,mi,erase_UM,0.655
0,0,47,mi,erase_UM,0.6000000000000001
0,0,50,mi,erase_UM,0.615
0,0,53,mi,erase_UM,0.58
0,0,13,mi,erase_ULM,0.6
0,0,14,mi,erase_ULM,0.58
0,0,19,mi,erase_ULM,0.745
0,0,2,mi,erase_ULM,0.605
0,0,32,mi,erase_ULM,0.755
0,0,33,mi,erase_ULM,0.86
0,0,36,mi,erase_ULM,0.72
0,0,40,mi,erase_ULM,0.6950000000000001
0,0,47,mi,erase_ULM,0.6000000000000001
0,0,50,mi,erase_ULM,0.64
0,0,53,mi,erase_ULM,0.545
0,0,13,mi,keep_UL,0.62
0,0,14,mi,keep_UL,0.69
0,0,19,mi,keep_UL,0.8049999999999999
0,0,2,mi,keep_UL,0.685
0,0,32,mi,keep_UL,0.87
0,0,33,mi,keep_UL,0.925
0,0,36,mi,keep_UL,0.975
0,0,40,mi,keep_UL,0.685
0,0,47,mi,keep_UL,0.735
0,0,50,mi,keep_UL,0.54
0,0,53,mi,keep_UL,0.74
0,0,13,mi,keep_UM,0.6100000000000001
0,0,14,mi,keep_UM,0.72
0,0,19,mi,keep_UM,0.81
0,0,2,mi,keep_UM,0.715
0,0,32,mi,keep_UM,0.88
