seed,fold,subject_id,task,condition,auroc
0,0,13,mi,raw,0.96380615234375
0,0,14,mi,raw,0.76678466796875
0,0,19,mi,raw,0.50335693359375
0,0,2,mi,raw,0.63616943359375
0,0,32,mi,raw,0.64300537109375
0,0,33,mi,raw,0.5810546875
0,0,36,mi,raw,0.530517578125
0,0,40,mi,raw,0.64849853515625
0,0,47,mi,raw,0.55194091796875
0,0,50,mi,raw,0.7896728515625
0,0,53,mi,raw,0.5670166015625
0,0,13,mi,erase_UM,0.68438720703125
0,0,14,mi,erase_UM,0.594482421875
0,0,19,mi,erase_UM,0.465087890625
0,0,2,mi,erase_UM,0.6658935546875
0,0,32,mi,erase_UM,0.63470458984375
0,0,33,mi,erase_UM,0.71533203125
0,0,36,mi,erase_UM,0.589599609375
0,0,40,mi,erase_UM,0.62689208984375
0,0,47,mi,erase_UM,0.58514404296875
0,0,50,mi,erase_UM,0.65521240234375
0,0,53,mi,erase_UM,0.61199951171875
0,0,13,erp,raw,0.4996337890625
0,0,14,erp,raw,0.55535888671875
0,0,19,erp,raw,0.545166015625
0,0,2,erp,raw,0.50091552734375
0,0,32,erp,raw,0.4736328125
0,0,33,erp,raw,0.56121826171875
0,0,36,erp,raw,0.58270263671875
0,0,40,erp,raw,0.5831298828125
0,0,47,erp,raw,0.51513671875
0,0,50,erp,raw,0.7435302734375
0,0,53,erp,raw,0.5223388671875
0,0,13,erp,erase_UM,0.58465576171875
0,0,14,erp,erase_UM,0.56707763671875
0,0,19,erp,erase_UM,0.511962890625
0,0,2,erp,erase_UM,0.5096435546875
0,0,32,erp,erase_UM,0.57049560546875
0,0,33,erp,erase_UM,0.58624267578125
0,0,36,erp,erase_UM,0.59149169921875
0,0,40,erp,erase_UM,0.529052734375
0,0,47,erp,erase_UM,0.5147705078125
0,0,50,erp,erase_UM,0.5435791015625
0,0,53,erp,erase_UM,0.53729248046875
0,0,13,ssvep,raw,0.71624755859375
0,0,14,ssvep,raw,0.723388671875
0,0,19,ssvep,raw,0.53118896484375
0,0,2,ssvep,raw,0.64288330078125
0,0,32,ssvep,raw,0.58294677734375
0,0,33,ssvep,raw,0.59771728515625
0,0,36,ssvep,raw,0.5968017578125
0,0,40,ssvep,raw,0.73388671875
0,0,47,ssvep,raw,0.9119873046875
0,0,50,ssvep,raw,0.5447998046875
0,0,53,ssvep,raw,0.6512451171875
0,0,13,ssvep,erase_UM,0.7822265625
0,0,14,ssvep,erase_UM,0.6146240234375
0,0,19,ssvep,erase_UM,0.54351806640625
0,0,2,ssvep,erase_UM,0.65277099609375
0,0,32,ssvep,erase_UM,0.56005859375
0,0,33,ssvep,erase_UM,0.65008544921875
0,0,36,ssvep,erase_UM,0.6590576171875
0,0,40,ssvep,erase_UM,0.65777587890625
0,0,47,ssvep,erase_UM,0.85833740234375
0,0,50,ssvep,erase_UM,0.50921630859375
0,0,53,ssvep,erase_UM,0.56817626953125
0,1,1,mi,raw,0.539306640625
0,1,10,mi,raw,0.5108642578125
0,1,16,mi,raw,0.6790771484375
0,1,25,mi,raw,0.6041259765625
0,1,35,mi,raw,0.78057861328125
0,1,42,mi,raw,0.5599365234375
0,1,43,mi,raw,0.53515625
0,1,45,mi,raw,0.60882568359375
0,1,48,mi,raw,0.55572509765625
0,1,5,mi,raw,0.6392822265625
0,1,6,mi,raw,0.59832763671875
0,1,1,mi,erase_UM,0.53662109375
0,1,10,mi,erase_UM,0.52410888671875
0,1,16,mi,erase_UM,0.6197509765625
0,1,25,mi,erase_UM,0.8314208984375
0,1,35,mi,erase_UM,0.91290283203125
0,1,42,mi,erase_UM,0.54229736328125
0,1,43,mi,erase_UM,0.573974609375
0,1,45,mi,erase_UM,0.54638671875
0,1,48,mi,erase_UM,0.561767578125
0,1,5,mi,erase_UM,0.54486083984375
0,1,6,mi,erase_UM,0.52459716796875
0,1,1,erp,raw,0.47607421875
0,1,10,erp,raw,0.595947265625
0,1,16,erp,raw,0.59710693359375
0,1,25,erp,raw,0.5537109375
0,1,35,erp,raw,0.50665283203125
0,1,42,erp,raw,0.50360107421875
0,1,43,erp,raw,0.54705810546875
0,1,45,erp,raw,0.514892578125
0,1,48,erp,raw,0.603759765625
0,1,5,erp,raw,0.62689208984375
0,1,6,erp,raw,0.50018310546875
0,1,1,erp,erase_UM,0.5101318359375
0,1,10,erp,erase_UM,0.58880615234375
0,1,16,erp,erase_UM,0.59002685546875
0,1,25,erp,erase_UM,0.553466796875
0,1,35,erp,erase_UM,0.71728515625
0,1,42,erp,erase_UM,0.50653076171875
0,1,43,erp,erase_UM,0.54254150390625
0,1,45,erp,erase_UM,0.53863525390625
0,1,48,erp,erase_UM,0.52691650390625
0,1,5,erp,erase_UM,0.65789794921875
0,1,6,erp,erase_UM,0.50616455078125
0,1,1,ssvep,raw,0.58404541015625
0,1,10,ssvep,raw,0.53668212890625
0,1,16,ssvep,raw,0.858642578125
0,1,25,ssvep,raw,0.5753173828125
0,1,35,ssvep,raw,0.671142578125
0,1,42,ssvep,raw,0.74908447265625
0,1,43,ssvep,raw,0.56884765625
0,1,45,ssvep,raw,0.7362060546875
0,1,48,ssvep,raw,0.68731689453125
0,1,5,ssvep,raw,0.61224365234375
0,1,6,ssvep,raw,0.625244140625
0,1,1,ssvep,erase_UM,0.574951171875
0,1,10,ssvep,erase_UM,0.497802734375
0,1,16,ssvep,erase_UM,0.81207275390625
0,1,25,ssvep,erase_UM,0.5731201171875
0,1,35,ssvep,erase_UM,0.7037353515625
0,1,42,ssvep,erase_UM,0.77679443359375
0,1,43,ssvep,erase_UM,0.5572509765625
0,1,45,ssvep,erase_UM,0.7447509765625
0,1,48,ssvep,erase_UM,0.68798828125
0,1,5,ssvep,erase_UM,0.6368408203125
0,1,6,ssvep,erase_UM,0.607421875
0,2,18,mi,raw,0.77728271484375
0,2,22,mi,raw,0.62298583984375
0,2,26,mi,raw,0.668212890625
0,2,29,mi,raw,0.5755615234375
0,2,34,mi,raw,0.7099609375
0,2,4,mi,raw,0.63262939453125
0,2,44,mi,raw,0.57342529296875
0,2,51,mi,raw,0.7799072265625
0,2,52,mi,raw,0.55926513671875
0,2,54,mi,raw,0.562744140625
0,2,7,mi,raw,0.62884521484375
0,2,18,mi,erase_UM,0.80889892578125
0,2,22,mi,erase_UM,0.5048828125
0,2,26,mi,erase_UM,0.649169921875
0,2,29,mi,erase_UM,0.591064453125
0,2,34,mi,erase_UM,0.55633544921875
0,2,4,mi,erase_UM,0.64263916015625
0,2,44,mi,erase_UM,0.5560302734375
0,2,51,mi,erase_UM,0.5810546875
0,2,52,mi,erase_UM,0.51580810546875
0,2,54,mi,erase_UM,0.527587890625
0,2,7,mi,erase_UM,0.69879150390625
0,2,18,erp,raw,0.6083984375
0,2,22,erp,raw,0.56756591796875
0,2,26,erp,raw,0.54156494140625
0,2,29,erp,raw,0.561767578125
0,2,34,erp,raw,0.52880859375
0,2,4,erp,raw,0.4876708984375
0,2,44,erp,raw,0.49652099609375
0,2,51,erp,raw,0.58892822265625
0,2,52,erp,raw,0.51220703125
0,2,54,erp,raw,0.52947998046875
0,2,7,erp,raw,0.51214599609375
0,2,18,erp,erase_UM,0.53399658203125
0,2,22,erp,erase_UM,0.56707763671875
0,2,26,erp,erase_UM,0.62432861328125
0,2,29,erp,erase_UM,0.55126953125
0,2,34,erp,erase_UM,0.47442626953125
0,2,4,erp,erase_UM,0.521728515625
0,2,44,erp,erase_UM,0.51531982421875
0,2,51,erp,erase_UM,0.4979248046875
0,2,52,erp,erase_UM,0.5244140625
0,2,54,erp,erase_UM,0.517578125
0,2,7,erp,erase_UM,0.49713134765625
0,2,18,ssvep,raw,0.6331787109375
0,2,22,ssvep,raw,0.5771484375
0,2,26,ssvep,raw,0.5086669921875
0,2,29,ssvep,raw,0.58111572265625
0,2,34,ssvep,raw,0.64599609375
0,2,4,ssvep,raw,0.706298828125
0,2,44,ssvep,raw,0.4515380859375
0,2,51,ssvep,raw,0.5870361328125
0,2,52,ssvep,raw,0.58758544921875
0,2,54,ssvep,raw,0.5482177734375
0,2,7,ssvep,raw,0.65020751953125
0,2,18,ssvep,erase_UM,0.69671630859375
0,2,22,ssvep,erase_UM,0.56036376953125
0,2,26,ssvep,erase_UM,0.5518798828125
0,2,29,ssvep,erase_UM,0.58746337890625
0,2,34,ssvep,erase_UM,0.630615234375
0,2,4,ssvep,erase_UM,0.69842529296875
0,2,44,ssvep,erase_UM,0.4813232421875
0,2,51,ssvep,erase_UM,0.54901123046875
0,2,52,ssvep,erase_UM,0.60260009765625
0,2,54,ssvep,erase_UM,0.54229736328125
0,2,7,ssvep,erase_UM,0.629150390625
0,3,15,mi,raw,0.839111328125
0,3,17,mi,raw,0.87481689453125
0,3,20,mi,raw,0.68267822265625
0,3,21,mi,raw,0.52880859375
0,3,24,mi,raw,0.55511474609375
0,3,27,mi,raw,0.667236328125
0,3,28,mi,raw,0.59381103515625
0,3,38,mi,raw,0.68548583984375
0,3,41,mi,raw,0.530029296875
0,3,46,mi,raw,0.56866455078125
0,3,9,mi,raw,0.83270263671875
0,3,15,mi,erase_UM,0.822509765625
0,3,17,mi,erase_UM,0.91192626953125
0,3,20,mi,erase_UM,0.6094970703125
0,3,21,mi,erase_UM,0.537353515625
0,3,24,mi,erase_UM,0.52630615234375
0,3,27,mi,erase_UM,0.51910400390625
0,3,28,mi,erase_UM,0.54931640625
0,3,38,mi,erase_UM,0.6529541015625
0,3,41,mi,erase_UM,0.5020751953125
0,3,46,mi,erase_UM,0.5443115234375
0,3,9,mi,erase_UM,0.65179443359375
0,3,15,erp,raw,0.46807861328125
0,3,17,erp,raw,0.585205078125
0,3,20,erp,raw,0.6070556640625
0,3,21,erp,raw,0.55108642578125
0,3,24,erp,raw,0.61810302734375
0,3,27,erp,raw,0.4981689453125
0,3,28,erp,raw,0.479248046875
0,3,38,erp,raw,0.5982666015625
0,3,41,erp,raw,0.52899169921875
0,3,46,erp,raw,0.5233154296875
0,3,9,erp,raw,0.591064453125
0,3,15,erp,erase_UM,0.50994873046875
0,3,17,erp,erase_UM,0.6353759765625
0,3,20,erp,erase_UM,0.56903076171875
0,3,21,erp,erase_UM,0.5272216796875
0,3,24,erp,erase_UM,0.4970703125
0,3,27,erp,erase_UM,0.48065185546875
0,3,28,erp,erase_UM,0.5648193359375
0,3,38,erp,erase_UM,0.5753173828125
0,3,41,erp,erase_UM,0.5574951171875
0,3,46,erp,erase_UM,0.51702880859375
0,3,9,erp,erase_UM,0.4873046875
0,3,15,ssvep,raw,0.7998046875
0,3,17,ssvep,raw,0.65325927734375
0,3,20,ssvep,raw,0.625
0,3,21,ssvep,raw,0.7667236328125
0,3,24,ssvep,raw,0.6187744140625
0,3,27,ssvep,raw,0.51348876953125
0,3,28,ssvep,raw,0.55377197265625
0,3,38,ssvep,raw,0.544677734375
0,3,41,ssvep,raw,0.5692138671875
