fold,historical_litebn_BA,sbtr_main_BA,sbtr_meanBA_diag_BA,delta_BA_pp,historical_litebn_macro_F1,sbtr_main_macro_F1,delta_macro_F1_pp
0,0.82625,0.72,0.72,-10.625,0.8239583329302678,0.7180620743901103,-10.589625854015736
1,0.8325,0.7350000000000001,0.7350000000000001,-9.75,0.8303223777063318,0.7295461468810571,-10.077623082527456
2,0.7275,0.6125,0.6125,-11.500000000000004,0.7222554584824781,0.602162637582755,-12.009282089972302
3,0.7875000000000001,0.6637500000000001,0.6637500000000001,-12.374999999999998,0.7851528645934953,0.6541938692491902,-13.095899534430512
4,0.7837500000000001,0.65375,0.6387499999999999,-13.000000000000004,0.7764506670099987,0.6414957883972576,-13.495487861274103
