task,fold,subject_id,method,BA,macro_F1,accuracy,trials
OpenBMI_MI,0,3,Historical_LiteBN,0.87,0.8699869986998701,0.87,100
OpenBMI_MI,0,5,Historical_LiteBN,0.75,0.7469379491851402,0.75,100
OpenBMI_MI,0,6,Historical_LiteBN,0.9099999999999999,0.9099189270343309,0.91,100
OpenBMI_MI,0,15,Historical_LiteBN,0.87,0.8698828946051447,0.87,100
OpenBMI_MI,0,32,Historical_LiteBN,0.7,0.6998799519807923,0.7,100
OpenBMI_MI,0,33,Historical_LiteBN,0.88,0.8799519807923168,0.88,100
OpenBMI_MI,0,38,Historical_LiteBN,0.77,0.757153415690001,0.77,100
OpenBMI_MI,0,47,Historical_LiteBN,0.86,0.8579545454545454,0.86,100
OpenBMI_MI,0,3,SBTR_main_tail_aware,0.8200000000000001,0.8193496587715776,0.82,100
OpenBMI_MI,0,5,SBTR_main_tail_aware,0.6699999999999999,0.6624040920716112,0.67,100
OpenBMI_MI,0,6,SBTR_main_tail_aware,0.91,0.90999099909991,0.91,100
OpenBMI_MI,0,15,SBTR_main_tail_aware,0.62,0.6161616161616161,0.62,100
OpenBMI_MI,0,32,SBTR_main_tail_aware,0.54,0.5392628205128205,0.54,100
OpenBMI_MI,0,33,SBTR_main_tail_aware,0.79,0.7889659330720531,0.79,100
OpenBMI_MI,0,38,SBTR_main_tail_aware,0.69,0.6884735202492211,0.69,100
OpenBMI_MI,0,47,SBTR_main_tail_aware,0.72,0.7198879551820728,0.72,100
OpenBMI_MI,0,3,SBTR_meanBA_diagnostic,0.8200000000000001,0.8193496587715776,0.82,100
OpenBMI_MI,0,5,SBTR_meanBA_diagnostic,0.6699999999999999,0.6624040920716112,0.67,100
OpenBMI_MI,0,6,SBTR_meanBA_diagnostic,0.91,0.90999099909991,0.91,100
OpenBMI_MI,0,15,SBTR_meanBA_diagnostic,0.62,0.6161616161616161,0.62,100
OpenBMI_MI,0,32,SBTR_meanBA_diagnostic,0.54,0.5392628205128205,0.54,100
OpenBMI_MI,0,33,SBTR_meanBA_diagnostic,0.79,0.7889659330720531,0.79,100
OpenBMI_MI,0,38,SBTR_meanBA_diagnostic,0.69,0.6884735202492211,0.69,100
OpenBMI_MI,0,47,SBTR_meanBA_diagnostic,0.72,0.7198879551820728,0.72,100
OpenBMI_MI,1,2,Historical_LiteBN,0.78,0.7796474358974359,0.78,100
OpenBMI_MI,1,14,Historical_LiteBN,0.75,0.7457023700539112,0.75,100
OpenBMI_MI,1,26,Historical_LiteBN,0.85,0.84998499849985,0.85,100
OpenBMI_MI,1,28,Historical_LiteBN,0.9299999999999999,0.9298245614035088,0.93,100
OpenBMI_MI,1,31,Historical_LiteBN,0.79,0.7874278773155178,0.79,100
OpenBMI_MI,1,35,Historical_LiteBN,0.8,0.7933030177759405,0.8,100
OpenBMI_MI,1,40,Historical_LiteBN,0.81,0.8067338012409724,0.81,100
OpenBMI_MI,1,43,Historical_LiteBN,0.95,0.9499549594635172,0.95,100
OpenBMI_MI,1,2,SBTR_main_tail_aware,0.62,0.6041666666666667,0.62,100
OpenBMI_MI,1,14,SBTR_main_tail_aware,0.6,0.586606035551881,0.6,100
OpenBMI_MI,1,26,SBTR_main_tail_aware,0.81,0.8098288459613652,0.81,100
OpenBMI_MI,1,28,SBTR_main_tail_aware,0.7,0.696969696969697,0.7,100
OpenBMI_MI,1,31,SBTR_main_tail_aware,0.79,0.7882851093860268,0.79,100
OpenBMI_MI,1,35,SBTR_main_tail_aware,0.78,0.7708333333333333,0.78,100
OpenBMI_MI,1,40,SBTR_main_tail_aware,0.8,0.7996794871794872,0.8,100
OpenBMI_MI,1,43,SBTR_main_tail_aware,0.78,0.78,0.78,100
OpenBMI_MI,1,2,SBTR_meanBA_diagnostic,0.62,0.6041666666666667,0.62,100
OpenBMI_MI,1,14,SBTR_meanBA_diagnostic,0.6,0.586606035551881,0.6,100
OpenBMI_MI,1,26,SBTR_meanBA_diagnostic,0.81,0.8098288459613652,0.81,100
OpenBMI_MI,1,28,SBTR_meanBA_diagnostic,0.7,0.696969696969697,0.7,100
OpenBMI_MI,1,31,SBTR_meanBA_diagnostic,0.79,0.7882851093860268,0.79,100
OpenBMI_MI,1,35,SBTR_meanBA_diagnostic,0.78,0.7708333333333333,0.78,100
OpenBMI_MI,1,40,SBTR_meanBA_diagnostic,0.8,0.7996794871794872,0.8,100
OpenBMI_MI,1,43,SBTR_meanBA_diagnostic,0.78,0.78,0.78,100
OpenBMI_MI,2,1,Historical_LiteBN,0.65,0.6266666666666667,0.65,100
OpenBMI_MI,2,8,Historical_LiteBN,0.8500000000000001,0.8492613807657522,0.85,100
OpenBMI_MI,2,11,Historical_LiteBN,0.73,0.7286704853783539,0.73,100
OpenBMI_MI,2,23,Historical_LiteBN,0.74,0.7348021215830274,0.74,100
OpenBMI_MI,2,30,Historical_LiteBN,0.75,0.7493734335839599,0.75,100
OpenBMI_MI,2,48,Historical_LiteBN,0.66,0.6565656565656566,0.66,100
OpenBMI_MI,2,50,Historical_LiteBN,0.63,0.6236395076797885,0.63,100
