fold,main_checkpoint,diagnostic_checkpoint,main_epoch,diagnostic_epoch
0,D:\nips-temp\TotalP\P1\CRCICLR_BACKBONE_GEN_WORK\runtime\persist_eeg_litebn_sbtr_seed0_v1\checkpoints\openbmi_mi\fold0\selected_sbtr_tail.pt,D:\nips-temp\TotalP\P1\CRCICLR_BACKBONE_GEN_WORK\runtime\persist_eeg_litebn_sbtr_seed0_v1\checkpoints\openbmi_mi\fold0\selected_mean_ba.pt,42,42
1,D:\nips-temp\TotalP\P1\CRCICLR_BACKBONE_GEN_WORK\runtime\persist_eeg_litebn_sbtr_seed0_v1\checkpoints\openbmi_mi\fold1\selected_sbtr_tail.pt,D:\nips-temp\TotalP\P1\CRCICLR_BACKBONE_GEN_WORK\runtime\persist_eeg_litebn_sbtr_seed0_v1\checkpoints\openbmi_mi\fold1\selected_mean_ba.pt,44,44
2,D:\nips-temp\TotalP\P1\CRCICLR_BACKBONE_GEN_WORK\runtime\persist_eeg_litebn_sbtr_seed0_v1\checkpoints\openbmi_mi\fold2\selected_sbtr_tail.pt,D:\nips-temp\TotalP\P1\CRCICLR_BACKBONE_GEN_WORK\runtime\persist_eeg_litebn_sbtr_seed0_v1\checkpoints\openbmi_mi\fold2\selected_mean_ba.pt,58,58
3,D:\nips-temp\TotalP\P1\CRCICLR_BACKBONE_GEN_WORK\runtime\persist_eeg_litebn_sbtr_seed0_v1\checkpoints\openbmi_mi\fold3\selected_sbtr_tail.pt,D:\nips-temp\TotalP\P1\CRCICLR_BACKBONE_GEN_WORK\runtime\persist_eeg_litebn_sbtr_seed0_v1\checkpoints\openbmi_mi\fold3\selected_mean_ba.pt,38,38
4,D:\nips-temp\TotalP\P1\CRCICLR_BACKBONE_GEN_WORK\runtime\persist_eeg_litebn_sbtr_seed0_v1\checkpoints\openbmi_mi\fold4\selected_sbtr_tail.pt,D:\nips-temp\TotalP\P1\CRCICLR_BACKBONE_GEN_WORK\runtime\persist_eeg_litebn_sbtr_seed0_v1\checkpoints\openbmi_mi\fold4\selected_mean_ba.pt,53,59
