fold,epoch,total_SBTR_loss,inner_val_mean_BA,inner_val_bottom50_BA,inner_val_SBTR_score,source
0,1,0.8341,0.52,0.4833,0.5108,stdout_checkpoint_progress
0,5,0.7101,0.5017,0.4333,0.4846,stdout_checkpoint_progress
0,10,0.6861,0.58,0.49,0.5575,stdout_checkpoint_progress
0,11,0.6975,0.59,0.4967,0.5667,stdout_checkpoint_progress
0,13,0.6362,0.6,0.49,0.5725,stdout_checkpoint_progress
0,14,0.7184,0.5983,0.5,0.5737,stdout_checkpoint_progress
0,15,0.6641,0.6217,0.5167,0.5954,stdout_checkpoint_progress
0,20,0.6277,0.6,0.4933,0.5733,stdout_checkpoint_progress
0,23,0.6413,0.6217,0.52,0.5962,stdout_checkpoint_progress
0,24,0.6128,0.635,0.5333,0.6096,stdout_checkpoint_progress
0,25,0.6095,0.6433,0.5367,0.6167,stdout_checkpoint_progress
0,30,0.6025,0.62,0.5167,0.5942,stdout_checkpoint_progress
0,35,0.5834,0.6267,0.5033,0.5958,stdout_checkpoint_progress
0,39,0.603,0.645,0.55,0.6212,stdout_checkpoint_progress
0,40,0.5844,0.6433,0.5467,0.6192,stdout_checkpoint_progress
0,41,0.5702,0.6583,0.5633,0.6346,stdout_checkpoint_progress
0,42,0.5928,0.6617,0.5767,0.6404,stdout_checkpoint_progress
0,45,0.631,0.6433,0.5567,0.6217,stdout_checkpoint_progress
0,50,0.5737,0.6317,0.53,0.6062,stdout_checkpoint_progress
0,55,0.5082,0.6317,0.5533,0.6121,stdout_checkpoint_progress
0,60,0.5774,0.6433,0.5333,0.6158,stdout_checkpoint_progress
1,1,0.7757,0.5033,0.5,0.5025,stdout_checkpoint_progress
1,5,0.6887,0.5717,0.5533,0.5671,stdout_checkpoint_progress
1,10,0.6982,0.6267,0.56,0.61,stdout_checkpoint_progress
1,11,0.6942,0.63,0.5733,0.6158,stdout_checkpoint_progress
1,15,0.6333,0.6267,0.5967,0.6192,stdout_checkpoint_progress
1,19,0.6201,0.6367,0.6,0.6275,stdout_checkpoint_progress
1,20,0.6479,0.65,0.61,0.64,stdout_checkpoint_progress
1,21,0.662,0.6533,0.6167,0.6442,stdout_checkpoint_progress
1,22,0.6562,0.6567,0.6233,0.6483,stdout_checkpoint_progress
1,23,0.6261,0.6683,0.61,0.6537,stdout_checkpoint_progress
1,25,0.6561,0.6667,0.6133,0.6533,stdout_checkpoint_progress
1,30,0.6257,0.6683,0.63,0.6587,stdout_checkpoint_progress
1,31,0.6081,0.67,0.6333,0.6608,stdout_checkpoint_progress
1,35,0.602,0.6683,0.63,0.6588,stdout_checkpoint_progress
1,36,0.6379,0.68,0.6267,0.6667,stdout_checkpoint_progress
1,37,0.5992,0.69,0.6333,0.6758,stdout_checkpoint_progress
1,38,0.5889,0.6917,0.64,0.6787,stdout_checkpoint_progress
1,40,0.6683,0.6917,0.6433,0.6796,stdout_checkpoint_progress
1,43,0.5702,0.6967,0.64,0.6825,stdout_checkpoint_progress
1,44,0.588,0.7017,0.65,0.6887,stdout_checkpoint_progress
1,45,0.5838,0.6817,0.6433,0.6721,stdout_checkpoint_progress
1,50,0.5705,0.6967,0.66,0.6875,stdout_checkpoint_progress
1,55,0.6165,0.665,0.6233,0.6546,stdout_checkpoint_progress
1,60,0.5547,0.6767,0.6433,0.6683,stdout_checkpoint_progress
2,1,0.8751,0.5017,0.5,0.5012,stdout_checkpoint_progress
2,5,0.749,0.5817,0.5367,0.5704,stdout_checkpoint_progress
2,10,0.6733,0.6183,0.54,0.5988,stdout_checkpoint_progress
2,12,0.6839,0.62,0.5533,0.6033,stdout_checkpoint_progress
2,13,0.6737,0.6433,0.5767,0.6267,stdout_checkpoint_progress
2,15,0.6945,0.6467,0.5933,0.6333,stdout_checkpoint_progress
2,16,0.674,0.66,0.59,0.6425,stdout_checkpoint_progress
2,18,0.6351,0.66,0.59,0.6425,stdout_checkpoint_progress
2,19,0.6567,0.6733,0.6067,0.6567,stdout_checkpoint_progress
2,20,0.6084,0.6817,0.6233,0.6671,stdout_checkpoint_progress
2,21,0.6497,0.695,0.6333,0.6796,stdout_checkpoint_progress
2,24,0.6141,0.6967,0.6367,0.6817,stdout_checkpoint_progress
2,25,0.6197,0.6867,0.6133,0.6683,stdout_checkpoint_progress
2,30,0.5973,0.695,0.6233,0.6771,stdout_checkpoint_progress
2,31,0.6216,0.705,0.63,0.6862,stdout_checkpoint_progress
2,35,0.581,0.6933,0.6067,0.6717,stdout_checkpoint_progress
2,38,0.5805,0.725,0.6533,0.7071,stdout_checkpoint_progress
2,40,0.5755,0.7283,0.6567,0.7104,stdout_checkpoint_progress
2,45,0.5673,0.71,0.6167,0.6867,stdout_checkpoint_progress
2,46,0.5424,0.7317,0.65,0.7112,stdout_checkpoint_progress
2,47,0.5862,0.735,0.6567,0.7154,stdout_checkpoint_progress
2,48,0.5817,0.7417,0.67,0.7238,stdout_checkpoint_progress
2,50,0.5364,0.715,0.6333,0.6946,stdout_checkpoint_progress
2,53,0.5388,0.755,0.6833,0.7371,stdout_checkpoint_progress
2,55,0.5093,0.73,0.66,0.7125,stdout_checkpoint_progress
