draw,alpha,fused_BA,base_BA,delta_BA,dims
0,0.0,0.7666666666666666,0.7666666666666666,0.0,"[6, 9, 10, 12, 16, 17, 18]"
1,0.0,0.7666666666666666,0.7666666666666666,0.0,"[3, 6, 9, 10, 11, 14, 18]"
2,0.0,0.7666666666666666,0.7666666666666666,0.0,"[0, 4, 9, 13, 16, 17, 18]"
3,0.0,0.7666666666666666,0.7666666666666666,0.0,"[2, 3, 5, 9, 10, 16, 17]"
4,0.0,0.7666666666666666,0.7666666666666666,0.0,"[0, 3, 5, 12, 15, 16, 19]"
5,0.0,0.7666666666666666,0.7666666666666666,0.0,"[2, 3, 5, 6, 8, 11, 15]"
6,0.1,0.7716666666666667,0.7666666666666666,0.0050000000000001155,"[0, 1, 6, 13, 14, 15, 17]"
7,0.0,0.7666666666666666,0.7666666666666666,0.0,"[3, 4, 8, 11, 12, 15, 18]"
8,0.0,0.7666666666666666,0.7666666666666666,0.0,"[1, 3, 7, 14, 15, 16, 19]"
9,0.0,0.7666666666666666,0.7666666666666666,0.0,"[0, 3, 4, 5, 10, 12, 18]"
10,0.0,0.7666666666666666,0.7666666666666666,0.0,"[0, 2, 9, 12, 13, 14, 16]"
11,0.0,0.7666666666666666,0.7666666666666666,0.0,"[0, 1, 3, 8, 12, 13, 14]"
12,0.1,0.7616666666666667,0.7666666666666666,-0.004999999999999893,"[1, 2, 7, 11, 12, 14, 15]"
13,0.0,0.7666666666666666,0.7666666666666666,0.0,"[0, 1, 3, 6, 9, 13, 16]"
14,0.0,0.7666666666666666,0.7666666666666666,0.0,"[0, 5, 8, 10, 12, 14, 16]"
15,0.0,0.7666666666666666,0.7666666666666666,0.0,"[1, 6, 8, 11, 13, 17, 18]"
16,0.0,0.7666666666666666,0.7666666666666666,0.0,"[3, 4, 6, 8, 10, 11, 19]"
17,0.0,0.7666666666666666,0.7666666666666666,0.0,"[2, 10, 13, 15, 16, 18, 19]"
18,0.0,0.7666666666666666,0.7666666666666666,0.0,"[6, 7, 11, 12, 15, 16, 18]"
19,0.0,0.7666666666666666,0.7666666666666666,0.0,"[0, 1, 2, 3, 10, 16, 19]"
20,0.0,0.7666666666666666,0.7666666666666666,0.0,"[1, 4, 7, 9, 13, 14, 16]"
