dataset,model,n_classes,chance_balanced_accuracy,dataset_balanced_accuracy,median_subject_balanced_accuracy,seed_ba_std,nonconstant_subject_rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,passed
hmc,cbramod,5,0.2,0.4873248757810817,0.4927069615902046,0.0070720446992894185,1.0,True,True,True,True,True,True,True,True,True,True
hmc,labram,5,0.2,0.4909217577388878,0.5023986768038291,0.059787177837244465,0.9777777777777777,True,True,True,False,True,True,True,True,True,False
hmc,biot,5,0.2,0.48972389141485595,0.4979807265640064,0.07796123694280034,1.0,True,True,True,False,True,True,True,True,True,False
eegmmidb,cbramod,4,0.25,0.25384100282587263,0.2555555555555556,0.004283234340242055,1.0,True,True,True,True,False,False,True,True,True,False
eegmmidb,labram,4,0.25,0.25007432238709915,0.25,0.003199126387267477,0.5538461538461539,True,False,False,True,False,False,True,False,False,False
eegmmidb,biot,4,0.25,0.25844299735832565,0.25780632411067195,0.004084786092888114,0.8769230769230769,True,True,False,True,False,False,True,True,True,False
