dataset,model,outer_fold,seed,n,accuracy,balanced_accuracy,macro_f1,kappa,nll,brier,ece,probability_finite,probability_nonnegative,max_probability_sum_error,all_classes_present,predicted_classes
hmc,cbramod,0,0,11463,0.474308645206316,0.4938113927920327,0.4671250217852296,0.3338634764959032,1.2971473932266235,0.6704697985059009,0.08774379806754415,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,0,1,11463,0.47247666404955074,0.4874247461477853,0.45107841929440606,0.33036275312869345,1.2904335260391235,0.6647261060313779,0.07491032133018805,True,True,2.384185791015625e-07,True,5
hmc,cbramod,0,2,11463,0.4682020413504318,0.479701062447884,0.45554132931755387,0.3201091826937362,1.3186136484146118,0.68034702556214,0.09524720358378515,True,True,2.384185791015625e-07,True,5
hmc,cbramod,0,3,11463,0.4598272703480764,0.48074006626847093,0.4493863618665851,0.31769008257491504,1.3010387420654297,0.6749841091441551,0.08715321326519945,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,0,4,11463,0.4733490360289628,0.49289169085295886,0.44888976432948635,0.3339773695751541,1.2774982452392578,0.6587397551506632,0.07281690558806499,True,True,2.384185791015625e-07,True,5
hmc,cbramod,1,0,24166,0.45075726226930396,0.476226633376323,0.438895006093203,0.31565881426818354,1.347060203552246,0.6950257206383066,0.09846734810569062,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,1,1,24166,0.4730199453778035,0.4964712816937228,0.4501486951796987,0.34235620825621693,1.3166228532791138,0.6774970900764083,0.08149782129616807,True,True,2.384185791015625e-07,True,5
hmc,cbramod,1,2,24166,0.46801291070098483,0.4857231086518657,0.4484495565234917,0.33224008147769823,1.3385016918182373,0.6861799498288004,0.09172255553685603,True,True,2.384185791015625e-07,True,5
hmc,cbramod,1,3,24166,0.48493751551766945,0.5106264615935358,0.4678454015620181,0.3563877337273892,1.3054269552230835,0.6727517612863995,0.1090632142187852,True,True,2.384185791015625e-07,True,5
hmc,cbramod,1,4,24166,0.46114375568981214,0.4936904185405995,0.4337737358441938,0.3314128863064879,1.3179271221160889,0.6780158207434027,0.06494570789323938,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,2,0,14927,0.4859650298117505,0.5187209937567335,0.46363005514675687,0.36158868751828255,1.259474277496338,0.6525847642071826,0.09007537790821267,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,2,1,14927,0.48918067930595566,0.5140459428488175,0.4494946985179866,0.36342694060728276,1.2521635293960571,0.6490906189454394,0.08146398920155806,True,True,2.384185791015625e-07,True,5
hmc,cbramod,2,2,14927,0.4917264018222014,0.5051176648513642,0.45845052132417113,0.3611490790291638,1.263848066329956,0.6565250584542371,0.09878808589792061,True,True,2.384185791015625e-07,True,5
hmc,cbramod,2,3,14927,0.491056474844242,0.5203703933932013,0.45968279232889875,0.36632727787710173,1.2464028596878052,0.6461411918963974,0.09514977399180194,True,True,2.384185791015625e-07,True,5
hmc,cbramod,2,4,14927,0.49614791987673346,0.5280741964671214,0.45699456375715786,0.37447874536755954,1.2307696342468262,0.6397189777895022,0.08044531595214194,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,3,0,14594,0.47546937097437303,0.47748464429770526,0.44946921877610524,0.334159834379537,1.3253231048583984,0.6755903124015789,0.0960218093812474,True,True,2.384185791015625e-07,True,5
hmc,cbramod,3,1,14594,0.4940386460189119,0.483319886052743,0.452163988265814,0.35283880630220643,1.287683129310608,0.6598688358378417,0.09799138245941008,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,3,2,14594,0.4827326298478827,0.46858481134767943,0.4463482239683758,0.3351263560758424,1.3076063394546509,0.6712578936414065,0.10245439338327941,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,3,3,14594,0.4996573934493628,0.49481544807647754,0.46208018326209715,0.36293447864302486,1.284878134727478,0.6581867405495726,0.11732124111963425,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,3,4,14594,0.5017815540633137,0.4936260639478161,0.45717521783556936,0.36595271673071894,1.2789056301116943,0.6553268843859734,0.10663478868382095,True,True,2.384185791015625e-07,True,5
hmc,cbramod,4,0,18471,0.4662985220074712,0.46299718312355453,0.4384597251137528,0.3297723458021894,1.3303695917129517,0.6773934678308103,0.06954455676098674,True,True,2.384185791015625e-07,True,5
hmc,cbramod,4,1,18471,0.4692761626333171,0.4607296419825424,0.42795226404479686,0.3309929574170245,1.3309541940689087,0.678211742881795,0.06025467354226051,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,4,2,18471,0.4626170754155162,0.45135922473348095,0.43025149917627303,0.3203203619858106,1.3431215286254883,0.6899339525063447,0.09034759191040177,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,4,3,18471,0.4714417194521141,0.46882917041370503,0.437280812125853,0.3363939461377562,1.314264178276062,0.6712459162390246,0.07277710121309523,True,True,1.7881393432617188e-07,True,5
hmc,cbramod,4,4,18471,0.47712630610145634,0.4709015535704033,0.4344096769130174,0.3418378101717523,1.3177833557128906,0.6726684598474646,0.06888091881708489,True,True,1.7881393432617188e-07,True,5
hmc,labram,0,0,11463,0.5001308557969119,0.5287923634557491,0.4913367050530427,0.37112187736084856,1.374993920326233,0.7041090010337029,0.20791028782531643,True,True,1.7881393432617188e-07,True,5
hmc,labram,0,1,11463,0.12352787228474221,0.20175944180709643,0.04772620146812102,0.0013478264119382022,1.6998569965362549,0.8442903917988794,0.23962446547018385,True,True,1.7881393432617188e-07,True,2
hmc,labram,0,2,11463,0.4733490360289628,0.501809285996355,0.4423290561508567,0.34147858323061386,1.399467945098877,0.7109186933998214,0.1856682617049936,True,True,1.7881393432617188e-07,True,5
hmc,labram,0,3,11463,0.502399022943383,0.5006941823600582,0.4775177414941722,0.3633375024525425,1.3481107950210571,0.6911421130520328,0.1995307774191428,True,True,1.7881393432617188e-07,True,5
hmc,labram,0,4,11463,0.5146994678530925,0.5450023244133232,0.5052554835424823,0.39069675132639214,1.3273975849151611,0.680121588189335,0.20024598166860022,True,True,1.7881393432617188e-07,True,5
hmc,labram,1,0,24166,0.4603989075560705,0.4898561574395293,0.45134369610389974,0.32842583633248057,1.4044448137283325,0.7165555013110746,0.17424324708082398,True,True,2.384185791015625e-07,True,5
hmc,labram,1,1,24166,0.381155342216337,0.38155276981014075,0.33270349779202135,0.2110147568112134,1.516562581062317,0.7623645582295924,0.12489516369867115,True,True,2.384185791015625e-07,True,5
hmc,labram,1,2,24166,0.4687577588347265,0.5048090676744734,0.4541522837145474,0.33457092378396414,1.404762625694275,0.7156021074010781,0.18849561388924904,True,True,2.384185791015625e-07,True,5
hmc,labram,1,3,24166,0.4919721923363403,0.5067693141416446,0.4716724775751676,0.36371136801858284,1.377007246017456,0.7014488733885893,0.1893922422319555,True,True,2.384185791015625e-07,True,5
hmc,labram,1,4,24166,0.5014069353637342,0.527842083959489,0.4996031358172842,0.37593756161902725,1.3537890911102295,0.6927682652366799,0.2014870472714215,True,True,2.384185791015625e-07,True,5
