phase,task,contrast,BA_difference,CI95_low,CI95_high,bootstrap_draws
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,RANDOM_PC_REFINE - BASELINE,0.0,-0.0021428571428571447,0.0021428571428571447,20000
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,RANDOM_PC_REFINE - PROTECTED_PC_REFINE,-0.0014285714285714299,-0.004285714285714289,0.0014285714285714299,20000
