phase,task,contrast,BA_difference,CI95_low,CI95_high,bootstrap_draws
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,RANDOM_PC_REFINE - BASELINE,0.0021428571428571447,-0.0021428571428571447,0.006428571428571442,20000
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,RANDOM_PC_REFINE - PROTECTED_PC_REFINE,0.0,-0.0021428571428571447,0.0021428571428571447,20000
