phase,task,subject,session,variant,BA
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-4,S0,RANDOM_PC_REFINE,0.54
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-8,S0,RANDOM_PC_REFINE,0.9199999999999999
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-10,S0,RANDOM_PC_REFINE,0.635
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-15,S0,RANDOM_PC_REFINE,0.8300000000000001
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-20,S0,RANDOM_PC_REFINE,0.95
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-39,S0,RANDOM_PC_REFINE,0.5700000000000001
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-40,S0,RANDOM_PC_REFINE,0.8600000000000001
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-43,S0,RANDOM_PC_REFINE,0.985
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-46,S0,RANDOM_PC_REFINE,0.99
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-51,S0,RANDOM_PC_REFINE,0.775
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-4,S1,RANDOM_PC_REFINE,0.56
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-8,S1,RANDOM_PC_REFINE,0.935
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-10,S1,RANDOM_PC_REFINE,0.7
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-15,S1,RANDOM_PC_REFINE,0.745
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-20,S1,RANDOM_PC_REFINE,0.885
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-39,S1,RANDOM_PC_REFINE,0.78
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-40,S1,RANDOM_PC_REFINE,0.745
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-43,S1,RANDOM_PC_REFINE,1.0
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-46,S1,RANDOM_PC_REFINE,0.98
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-51,S1,RANDOM_PC_REFINE,0.8049999999999999
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-4,S2,RANDOM_PC_REFINE,0.6950000000000001
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-8,S2,RANDOM_PC_REFINE,0.915
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-10,S2,RANDOM_PC_REFINE,0.835
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-15,S2,RANDOM_PC_REFINE,0.735
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-20,S2,RANDOM_PC_REFINE,0.48
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-39,S2,RANDOM_PC_REFINE,0.85
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-40,S2,RANDOM_PC_REFINE,0.87
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-43,S2,RANDOM_PC_REFINE,0.98
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-46,S2,RANDOM_PC_REFINE,0.965
EXPLORATORY_POST_HELDOUT,WBCIC_MI,sub-51,S2,RANDOM_PC_REFINE,0.8049999999999999
