phase,task,subject,session,variant,BA
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,4,S1,RANDOM_PC_REFINE,0.71
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,12,S1,RANDOM_PC_REFINE,0.79
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,13,S1,RANDOM_PC_REFINE,0.73
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,17,S1,RANDOM_PC_REFINE,0.77
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,18,S1,RANDOM_PC_REFINE,0.65
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,24,S1,RANDOM_PC_REFINE,0.61
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,25,S1,RANDOM_PC_REFINE,0.78
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,29,S1,RANDOM_PC_REFINE,0.55
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,36,S1,RANDOM_PC_REFINE,0.9099999999999999
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,37,S1,RANDOM_PC_REFINE,0.63
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,39,S1,RANDOM_PC_REFINE,0.8200000000000001
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,42,S1,RANDOM_PC_REFINE,0.74
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,51,S1,RANDOM_PC_REFINE,0.69
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,54,S1,RANDOM_PC_REFINE,0.63
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,4,S2,RANDOM_PC_REFINE,0.73
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,12,S2,RANDOM_PC_REFINE,0.73
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,13,S2,RANDOM_PC_REFINE,0.75
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,17,S2,RANDOM_PC_REFINE,0.66
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,18,S2,RANDOM_PC_REFINE,0.61
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,24,S2,RANDOM_PC_REFINE,0.62
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,25,S2,RANDOM_PC_REFINE,0.99
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,29,S2,RANDOM_PC_REFINE,0.6499999999999999
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,36,S2,RANDOM_PC_REFINE,0.8400000000000001
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,37,S2,RANDOM_PC_REFINE,0.64
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,39,S2,RANDOM_PC_REFINE,0.65
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,42,S2,RANDOM_PC_REFINE,0.73
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,51,S2,RANDOM_PC_REFINE,0.6599999999999999
EXPLORATORY_POST_HELDOUT,OpenBMI_MI,54,S2,RANDOM_PC_REFINE,0.73
