epoch,validation_macro_BA,validation_BA_mi,validation_BA_erp,validation_BA_ssvep,train_task_loss,train_subject_loss,train_total_loss,train_grad_norm,lambda_inv_effective,spectrum_positive_rho_count,spectrum_pca_overlap,spectrum_alignment_mean,elapsed_seconds
0,0.7564983164983164,0.7,0.613939393939394,0.9555555555555555,0.4089420476445445,3.488804746557165,3.897746792546025,0.9939482774999406,0.0,19,0.6669027963778797,1.0,11.179948329925537
1,0.7548989898989898,0.6950000000000001,0.6135858585858586,0.956111111111111,0.4050958885086907,3.3850537052860967,3.7901495827568903,1.0740984777609508,0.0,19,0.6669027963778797,1.0,20.60119128227234
2,0.7542255892255891,0.6927777777777778,0.6193434343434343,0.9505555555555556,0.401231218819265,3.2599966172818786,3.6612278399644076,1.0516419256175007,0.025,19,0.6669027963778797,1.0,30.083163738250732
3,0.7563524130190796,0.6988888888888889,0.6118350168350168,0.9583333333333334,0.40137242939737106,3.189752252013595,3.5911246803071766,1.106132177291093,0.05,19,0.6669027963778797,1.0,39.46808743476868
4,0.7539001122334456,0.6972222222222222,0.6094781144781145,0.9550000000000001,0.4021843048157515,3.6689421865675182,4.071126483104847,1.0944477341793202,0.07500000000000001,19,0.7019757338177054,0.5463675470812352,52.501394271850586
5,0.7553535353535353,0.6972222222222222,0.6149494949494949,0.9538888888888889,0.39761729814388136,3.574688094633597,3.9723054038153753,1.0357852302215718,0.1,19,0.7019757338177054,0.5463675470812352,62.018967151641846
6,0.758428731762065,0.7044444444444444,0.6163973063973064,0.9544444444444445,0.39757989898875906,3.530465496910943,3.9280453787909613,1.0477168129550085,0.1,19,0.7019757338177054,0.5463675470812352,71.40563917160034
7,0.7545005611672279,0.7033333333333334,0.6040572390572391,0.9561111111111111,0.39980336747787615,3.49469792842865,3.894501284316734,1.0450296015651137,0.1,19,0.7019757338177054,0.5463675470812352,80.71223711967468
8,0.7548260381593715,0.7061111111111111,0.6067003367003367,0.9516666666666667,0.3998327702283859,3.461708912143001,3.861541672989174,1.0191860165860918,0.1,19,0.6793232038121095,0.6970502703246046,93.68484997749329
9,0.762351290684624,0.7033333333333334,0.6287205387205388,0.9550000000000001,0.39502746142722944,3.4517198933495417,3.8467473409793995,1.0985033854290291,0.1,19,0.6793232038121095,0.6970502703246046,102.91475009918213
10,0.7559483726150393,0.695,0.6184006734006734,0.9544444444444444,0.3973452079075354,3.4114728062241166,3.8088180091645985,1.0817653945198766,0.1,19,0.6793232038121095,0.6970502703246046,112.622318983078
11,0.7606677890011223,0.7033333333333334,0.6264478114478114,0.9522222222222223,0.4012271414200465,3.331982798046536,3.7332099278767905,1.1103583894394062,0.1,19,0.6793232038121095,0.6970502703246046,122.07087635993958
