dataset,recipe,rank,lambda_R,lambda_P,fold,seed,validation_BA,validation_subjects,future_session_used
WBCIC,re_r1_lr0.001_lp0.5,1,0.001,0.5,0,0,0.7315625,8,False
WBCIC,re_r1_lr0.001_lp0.5,1,0.001,0.5,1,0,0.7865295226130653,8,False
WBCIC,re_r1_lr0.001_lp0.5,1,0.001,0.5,2,0,0.8302653894472363,8,False
WBCIC,re_r1_lr0.001_lp0.5,1,0.001,0.5,3,0,0.7658778266331658,8,False
WBCIC,re_r1_lr0.001_lp0.5,1,0.001,0.5,4,0,0.8455555555555556,9,False
WBCIC,re_r1_lr0.001_lp1,1,0.001,1.0,0,0,0.7324999999999999,8,False
WBCIC,re_r1_lr0.001_lp1,1,0.001,1.0,1,0,0.7865295226130653,8,False
WBCIC,re_r1_lr0.001_lp1,1,0.001,1.0,2,0,0.8302653894472363,8,False
WBCIC,re_r1_lr0.001_lp1,1,0.001,1.0,3,0,0.7661918969849246,8,False
WBCIC,re_r1_lr0.001_lp1,1,0.001,1.0,4,0,0.8455555555555556,9,False
WBCIC,re_r1_lr0.01_lp0.5,1,0.01,0.5,0,0,0.7315625,8,False
WBCIC,re_r1_lr0.01_lp0.5,1,0.01,0.5,1,0,0.7865295226130653,8,False
WBCIC,re_r1_lr0.01_lp0.5,1,0.01,0.5,2,0,0.8302653894472363,8,False
WBCIC,re_r1_lr0.01_lp0.5,1,0.01,0.5,3,0,0.7661918969849246,8,False
WBCIC,re_r1_lr0.01_lp0.5,1,0.01,0.5,4,0,0.8455555555555556,9,False
WBCIC,re_r1_lr0.01_lp1,1,0.01,1.0,0,0,0.7324999999999999,8,False
WBCIC,re_r1_lr0.01_lp1,1,0.01,1.0,1,0,0.7865295226130653,8,False
WBCIC,re_r1_lr0.01_lp1,1,0.01,1.0,2,0,0.8302653894472363,8,False
WBCIC,re_r1_lr0.01_lp1,1,0.01,1.0,3,0,0.7658778266331658,8,False
WBCIC,re_r1_lr0.01_lp1,1,0.01,1.0,4,0,0.8455555555555556,9,False
WBCIC,re_r2_lr0.001_lp0.5,2,0.001,0.5,0,0,0.7315625,8,False
WBCIC,re_r2_lr0.001_lp0.5,2,0.001,0.5,1,0,0.7865295226130653,8,False
WBCIC,re_r2_lr0.001_lp0.5,2,0.001,0.5,2,0,0.8302653894472363,8,False
WBCIC,re_r2_lr0.001_lp0.5,2,0.001,0.5,3,0,0.7658778266331658,8,False
WBCIC,re_r2_lr0.001_lp0.5,2,0.001,0.5,4,0,0.8455555555555556,9,False
WBCIC,re_r2_lr0.001_lp1,2,0.001,1.0,0,0,0.7324999999999999,8,False
WBCIC,re_r2_lr0.001_lp1,2,0.001,1.0,1,0,0.7865295226130653,8,False
WBCIC,re_r2_lr0.001_lp1,2,0.001,1.0,2,0,0.8302653894472363,8,False
WBCIC,re_r2_lr0.001_lp1,2,0.001,1.0,3,0,0.7661918969849246,8,False
WBCIC,re_r2_lr0.001_lp1,2,0.001,1.0,4,0,0.8455555555555556,9,False
WBCIC,re_r2_lr0.01_lp0.5,2,0.01,0.5,0,0,0.7315625,8,False
WBCIC,re_r2_lr0.01_lp0.5,2,0.01,0.5,1,0,0.7865295226130653,8,False
WBCIC,re_r2_lr0.01_lp0.5,2,0.01,0.5,2,0,0.8302653894472363,8,False
WBCIC,re_r2_lr0.01_lp0.5,2,0.01,0.5,3,0,0.7658778266331658,8,False
WBCIC,re_r2_lr0.01_lp0.5,2,0.01,0.5,4,0,0.8455555555555556,9,False
WBCIC,re_r2_lr0.01_lp1,2,0.01,1.0,0,0,0.7324999999999999,8,False
WBCIC,re_r2_lr0.01_lp1,2,0.01,1.0,1,0,0.7865295226130653,8,False
WBCIC,re_r2_lr0.01_lp1,2,0.01,1.0,2,0,0.8302653894472363,8,False
WBCIC,re_r2_lr0.01_lp1,2,0.01,1.0,3,0,0.7661918969849246,8,False
WBCIC,re_r2_lr0.01_lp1,2,0.01,1.0,4,0,0.8455555555555556,9,False
WBCIC,re_r4_lr0.001_lp0.5,4,0.001,0.5,0,0,0.7315625,8,False
WBCIC,re_r4_lr0.001_lp0.5,4,0.001,0.5,1,0,0.7865295226130653,8,False
WBCIC,re_r4_lr0.001_lp0.5,4,0.001,0.5,2,0,0.8302653894472363,8,False
WBCIC,re_r4_lr0.001_lp0.5,4,0.001,0.5,3,0,0.7658778266331658,8,False
WBCIC,re_r4_lr0.001_lp0.5,4,0.001,0.5,4,0,0.8455555555555556,9,False
WBCIC,re_r4_lr0.001_lp1,4,0.001,1.0,0,0,0.7324999999999999,8,False
WBCIC,re_r4_lr0.001_lp1,4,0.001,1.0,1,0,0.7865295226130653,8,False
WBCIC,re_r4_lr0.001_lp1,4,0.001,1.0,2,0,0.8302653894472363,8,False
WBCIC,re_r4_lr0.001_lp1,4,0.001,1.0,3,0,0.7661918969849246,8,False
WBCIC,re_r4_lr0.001_lp1,4,0.001,1.0,4,0,0.8455555555555556,9,False
WBCIC,re_r4_lr0.01_lp0.5,4,0.01,0.5,0,0,0.7315625,8,False
WBCIC,re_r4_lr0.01_lp0.5,4,0.01,0.5,1,0,0.7865295226130653,8,False
WBCIC,re_r4_lr0.01_lp0.5,4,0.01,0.5,2,0,0.8302653894472363,8,False
WBCIC,re_r4_lr0.01_lp0.5,4,0.01,0.5,3,0,0.7658778266331658,8,False
WBCIC,re_r4_lr0.01_lp0.5,4,0.01,0.5,4,0,0.8455555555555556,9,False
WBCIC,re_r4_lr0.01_lp1,4,0.01,1.0,0,0,0.7315625,8,False
WBCIC,re_r4_lr0.01_lp1,4,0.01,1.0,1,0,0.7865295226130653,8,False
WBCIC,re_r4_lr0.01_lp1,4,0.01,1.0,2,0,0.8302653894472363,8,False
WBCIC,re_r4_lr0.01_lp1,4,0.01,1.0,3,0,0.7661918969849246,8,False
WBCIC,re_r4_lr0.01_lp1,4,0.01,1.0,4,0,0.8455555555555556,9,False
