backbone,dataset,recipe,rank,lambda_R,lambda_P,fold,seed,validation_BA,validation_subjects,future_session_used
EEGNeX,WBCIC,re_r1_lr0.001_lp0.5,1,0.001,0.5,0,0,0.7203125,8,False
EEGNeX,WBCIC,re_r1_lr0.001_lp0.5,1,0.001,0.5,1,0,0.7849717336683417,8,False
EEGNeX,WBCIC,re_r1_lr0.001_lp0.5,1,0.001,0.5,2,0,0.8393357412060302,8,False
EEGNeX,WBCIC,re_r1_lr0.001_lp0.5,1,0.001,0.5,3,0,0.7645917085427135,8,False
EEGNeX,WBCIC,re_r1_lr0.001_lp0.5,1,0.001,0.5,4,0,0.8372222222222221,9,False
EEGNeX,WBCIC,re_r1_lr0.001_lp1,1,0.001,1.0,0,0,0.7190625,8,False
EEGNeX,WBCIC,re_r1_lr0.001_lp1,1,0.001,1.0,1,0,0.7846592336683418,8,False
EEGNeX,WBCIC,re_r1_lr0.001_lp1,1,0.001,1.0,2,0,0.8387107412060302,8,False
EEGNeX,WBCIC,re_r1_lr0.001_lp1,1,0.001,1.0,3,0,0.7649042085427136,8,False
EEGNeX,WBCIC,re_r1_lr0.001_lp1,1,0.001,1.0,4,0,0.8363888888888888,9,False
EEGNeX,WBCIC,re_r1_lr0.01_lp0.5,1,0.01,0.5,0,0,0.7190625,8,False
EEGNeX,WBCIC,re_r1_lr0.01_lp0.5,1,0.01,0.5,1,0,0.784345163316583,8,False
EEGNeX,WBCIC,re_r1_lr0.01_lp0.5,1,0.01,0.5,2,0,0.8387107412060302,8,False
EEGNeX,WBCIC,re_r1_lr0.01_lp0.5,1,0.01,0.5,3,0,0.7642792085427135,8,False
EEGNeX,WBCIC,re_r1_lr0.01_lp0.5,1,0.01,0.5,4,0,0.8363888888888888,9,False
EEGNeX,WBCIC,re_r1_lr0.01_lp1,1,0.01,1.0,0,0,0.7196875,8,False
EEGNeX,WBCIC,re_r1_lr0.01_lp1,1,0.01,1.0,1,0,0.7849717336683417,8,False
EEGNeX,WBCIC,re_r1_lr0.01_lp1,1,0.01,1.0,2,0,0.8387107412060302,8,False
EEGNeX,WBCIC,re_r1_lr0.01_lp1,1,0.01,1.0,3,0,0.7652167085427135,8,False
