backbone,dataset,comparison,delta_BA,CI95_L,CI95_U,positive_fold_seed_units,fold_seed_units
EEGNeX,WBCIC,SubjectBalancedERM-ERM,-8.130081300812925e-05,-0.0001829268292682915,5.081300813013509e-07,0,15
EEGNeX,WBCIC,Mixup-ERM,0.0004685010417943436,-0.00020243493892224156,0.0011197246394574476,9,15
EEGNeX,WBCIC,GroupDRO-ERM,-0.00016290803611551934,-0.0015656585774400601,0.0013008206683825902,8,15
EEGNeX,WBCIC,ProspectiveOnly-ERM,0.0004676839481962741,2.05294766515591e-05,0.0008952281733872559,8,15
EEGNeX,WBCIC,RandomEffectOnly-ERM,0.00028465498222822087,-0.0001830289659680505,0.0007521346570249689,9,15
EEGNeX,WBCIC,AdversarialMixed-ERM,0.00018302896596807217,-0.00028445070882868385,0.0006507129141643222,7,15
EEGNeX,WBCIC,PERSIST-RE-ERM,-6.087347305632369e-05,-0.0004674796747967372,0.0003460391387833695,7,15
