backbone,dataset,method,fold,seed,BA,macro_F1,NLL,subjects
EEGNeX,WBCIC,AdversarialMixed,0,0,0.8208333333333333,0.8201711641297388,0.4365490713798948,9
EEGNeX,WBCIC,AdversarialMixed,0,1,0.8238888888888889,0.8233963751129747,0.4276071102107433,9
EEGNeX,WBCIC,AdversarialMixed,0,2,0.8236111111111111,0.8228239141077057,0.42791306411246904,9
EEGNeX,WBCIC,AdversarialMixed,1,0,0.725625,0.7249328095560481,0.5215119751281928,8
EEGNeX,WBCIC,AdversarialMixed,1,1,0.736875,0.7365666999334974,0.5190210605914016,8
EEGNeX,WBCIC,AdversarialMixed,1,2,0.7259375,0.7255736961588918,0.5170714687782769,8
EEGNeX,WBCIC,AdversarialMixed,2,0,0.7834108040201004,0.7828635754367552,0.46937465440253534,8
EEGNeX,WBCIC,AdversarialMixed,2,1,0.7824764447236181,0.7821119276897321,0.47351720599139124,8
EEGNeX,WBCIC,AdversarialMixed,2,2,0.7912217336683417,0.7911032539448685,0.4708388187598894,8
EEGNeX,WBCIC,AdversarialMixed,3,0,0.8459060929648241,0.8448623520232049,0.39999007220816285,8
EEGNeX,WBCIC,AdversarialMixed,3,1,0.8365216708542713,0.8363544515592884,0.41227875168499595,8
EEGNeX,WBCIC,AdversarialMixed,3,2,0.8277653894472362,0.8276588928001573,0.41177310105962417,8
EEGNeX,WBCIC,AdversarialMixed,4,0,0.7517352386934674,0.7512645421720535,0.4866452311721895,8
EEGNeX,WBCIC,AdversarialMixed,4,1,0.747668027638191,0.7470223387438718,0.4906245855117978,8
EEGNeX,WBCIC,AdversarialMixed,4,2,0.7451648869346734,0.7445679301123218,0.4985697166732409,8
EEGNeX,WBCIC,ERM,0,0,0.8211111111111111,0.8204839337736697,0.4387645881872623,9
EEGNeX,WBCIC,ERM,0,1,0.8238888888888889,0.8233883668251907,0.42994608789620714,9
EEGNeX,WBCIC,ERM,0,2,0.8225,0.8216588459987197,0.43067153414345943,9
EEGNeX,WBCIC,ERM,1,0,0.7265625,0.7258622607153801,0.5225954923130092,8
EEGNeX,WBCIC,ERM,1,1,0.735,0.7347113730524549,0.5198882252574585,8
EEGNeX,WBCIC,ERM,1,2,0.7268749999999999,0.7264942927339028,0.5180095323383832,8
EEGNeX,WBCIC,ERM,2,0,0.7824733040201005,0.7819382672324028,0.4709441657153217,8
EEGNeX,WBCIC,ERM,2,1,0.782788944723618,0.7824298837755905,0.47502035427356737,8
EEGNeX,WBCIC,ERM,2,2,0.7909092336683416,0.7907863074074553,0.4724088517430499,8
EEGNeX,WBCIC,ERM,3,0,0.8459060929648241,0.8448636231795763,0.4019075081364375,8
EEGNeX,WBCIC,ERM,3,1,0.8362076005025125,0.8360482791414556,0.4142013278862938,8
EEGNeX,WBCIC,ERM,3,2,0.8265153894472361,0.826409606041957,0.4137466687161886,8
EEGNeX,WBCIC,ERM,4,0,0.7526727386934674,0.7522040398261451,0.48779694576810095,8
EEGNeX,WBCIC,ERM,4,1,0.747668027638191,0.7471188160673604,0.4919064771832989,8
EEGNeX,WBCIC,ERM,4,2,0.7448523869346734,0.7442389326313668,0.4996175857903463,8
EEGNeX,WBCIC,GroupDRO,0,0,0.8211111111111111,0.8203223818061813,0.44183396936457314,9
EEGNeX,WBCIC,GroupDRO,0,1,0.8236111111111111,0.8230619963125966,0.4325527417685662,9
EEGNeX,WBCIC,GroupDRO,0,2,0.8247222222222222,0.8240084149544497,0.4332019694726376,9
EEGNeX,WBCIC,GroupDRO,1,0,0.725,0.724370317981118,0.5237647434259725,8
EEGNeX,WBCIC,GroupDRO,1,1,0.7315625,0.73136192317753,0.5215677239805379,8
EEGNeX,WBCIC,GroupDRO,1,2,0.726875,0.7264246863203262,0.5192257534886778,8
EEGNeX,WBCIC,GroupDRO,2,0,0.7865326633165829,0.7858569219497424,0.47287414244763437,8
EEGNeX,WBCIC,GroupDRO,2,1,0.7834155150753769,0.7830987068976047,0.47621371223923353,8
EEGNeX,WBCIC,GroupDRO,2,2,0.7871592336683417,0.7870531413271985,0.4749735326055068,8
EEGNeX,WBCIC,GroupDRO,3,0,0.8465295226130654,0.845451669355271,0.4043619968850183,8
EEGNeX,WBCIC,GroupDRO,3,1,0.834329459798995,0.8342061508224254,0.4174186677526677,8
EEGNeX,WBCIC,GroupDRO,3,2,0.828071608040201,0.8279422348334995,0.4176861491280507,8
EEGNeX,WBCIC,GroupDRO,4,0,0.753925879396985,0.7535420515796272,0.4892249156480172,8
EEGNeX,WBCIC,GroupDRO,4,1,0.7454836683417085,0.7449997545382042,0.4936648904497025,8
EEGNeX,WBCIC,GroupDRO,4,2,0.7448539572864321,0.7445774822107043,0.5007755000291204,8
EEGNeX,WBCIC,Mixup,0,0,0.8216666666666667,0.8209716601186015,0.44246823119238576,9
EEGNeX,WBCIC,Mixup,0,1,0.8233333333333334,0.8228458205451465,0.4359642094553755,9
EEGNeX,WBCIC,Mixup,0,2,0.8238888888888889,0.8231669789890302,0.43635668915235243,9
EEGNeX,WBCIC,Mixup,1,0,0.7259375,0.7253092487518226,0.5239900720200661,8
EEGNeX,WBCIC,Mixup,1,1,0.7365625,0.7362175363265724,0.5208504883133903,8
EEGNeX,WBCIC,Mixup,1,2,0.728125,0.7277587529373998,0.519301753373897,8
EEGNeX,WBCIC,Mixup,2,0,0.7834123743718593,0.7829108187442676,0.4737196731552722,8
EEGNeX,WBCIC,Mixup,2,1,0.7821639447236182,0.7817998463800311,0.47709387898196176,8
EEGNeX,WBCIC,Mixup,2,2,0.7899717336683417,0.7898268739244062,0.47543145330499026,8
EEGNeX,WBCIC,Mixup,3,0,0.8474701633165829,0.8464864060275837,0.4048513484243601,8
EEGNeX,WBCIC,Mixup,3,1,0.8352732412060301,0.8351132136982296,0.41826759905855104,8
EEGNeX,WBCIC,Mixup,3,2,0.8277653894472362,0.8276582036760453,0.417993312081824,8
EEGNeX,WBCIC,Mixup,4,0,0.7501711683417085,0.7497835871038147,0.48975966560437917,8
EEGNeX,WBCIC,Mixup,4,1,0.751113379396985,0.7506417353789051,0.49543324844681985,8
EEGNeX,WBCIC,Mixup,4,2,0.7461055276381909,0.7454615757981696,0.5011261301763044,8
EEGNeX,WBCIC,PERSIST-RE,0,0,0.82,0.8193661251129895,0.4365335886889447,9
EEGNeX,WBCIC,PERSIST-RE,0,1,0.8233333333333334,0.8228512538771019,0.42757584876603105,9
EEGNeX,WBCIC,PERSIST-RE,0,2,0.8230555555555555,0.8222213678249298,0.42791489751782497,9
EEGNeX,WBCIC,PERSIST-RE,1,0,0.7256250000000001,0.7249618816354894,0.5214504930287064,8
EEGNeX,WBCIC,PERSIST-RE,1,1,0.735625,0.7353195054102759,0.5189781667242764,8
EEGNeX,WBCIC,PERSIST-RE,1,2,0.725625,0.7252529400784782,0.5170292076770692,8
EEGNeX,WBCIC,PERSIST-RE,2,0,0.7824733040201005,0.781906797276311,0.4694315422609854,8
EEGNeX,WBCIC,PERSIST-RE,2,1,0.7831014447236181,0.7827417644713957,0.47348913273530285,8
EEGNeX,WBCIC,PERSIST-RE,2,2,0.7915342336683417,0.791408036133284,0.4707611291234349,8
EEGNeX,WBCIC,PERSIST-RE,3,0,0.8462201633165829,0.8451687773311807,0.3999293818908354,8
EEGNeX,WBCIC,PERSIST-RE,3,1,0.8362091708542714,0.8360417949389166,0.41222918642106393,8
EEGNeX,WBCIC,PERSIST-RE,3,2,0.8274528894472362,0.8273474322390166,0.4117033309694045,8
