dataset,method,population_head_gradient_variance,subjects,source_only
OpenBMI,ERM,0.0036086654290556908,32,True
OpenBMI,PERSIST-RE,0.0036101085133850574,32,True
WBCIC,ERM,0.004536113236099482,32,True
WBCIC,PERSIST-RE,0.004536918364465237,32,True
