dataset,method,fold,seed,BA,macro_F1,NLL,subjects
OpenBMI,AdversarialMixed,0,0,0.805,0.8006791022885358,0.49190458881945354,8
OpenBMI,AdversarialMixed,0,1,0.791875,0.7887496860852875,0.5032882663784763,8
OpenBMI,AdversarialMixed,0,2,0.7949999999999999,0.791349678464242,0.5037329697203665,8
OpenBMI,AdversarialMixed,1,0,0.69625,0.6905878421726164,0.5884907070116467,8
OpenBMI,AdversarialMixed,1,1,0.736875,0.7333071208392741,0.55809289937833,8
OpenBMI,AdversarialMixed,1,2,0.710625,0.7067697477669141,0.587142233414166,8
OpenBMI,AdversarialMixed,2,0,0.69625,0.6936029915889015,0.584481342639515,8
OpenBMI,AdversarialMixed,2,1,0.780625,0.7784378138185939,0.5145638449876704,8
OpenBMI,AdversarialMixed,2,2,0.785625,0.7792642869018569,0.506299628168207,8
OpenBMI,AdversarialMixed,3,0,0.776875,0.7760050238712277,0.5154657130975446,8
OpenBMI,AdversarialMixed,3,1,0.81125,0.8096708787408758,0.48987926097144846,8
OpenBMI,AdversarialMixed,3,2,0.79,0.788220905995974,0.5057542332961977,8
OpenBMI,AdversarialMixed,4,0,0.775625,0.7731347588560354,0.5216856783682781,8
OpenBMI,AdversarialMixed,4,1,0.77875,0.7753936207317315,0.5095917878726381,8
OpenBMI,AdversarialMixed,4,2,0.7775,0.774509159291389,0.5105908854784384,8
OpenBMI,ERM,0,0,0.8043750000000001,0.799972470282169,0.49187788865244625,8
OpenBMI,ERM,0,1,0.793125,0.78997800511408,0.5032641600490528,8
OpenBMI,ERM,0,2,0.7949999999999999,0.791349678464242,0.5037265710795406,8
OpenBMI,ERM,1,0,0.6975,0.6918570329538375,0.5884820882748276,8
OpenBMI,ERM,1,1,0.736875,0.7333071208392741,0.557983547499579,8
OpenBMI,ERM,1,2,0.7106250000000001,0.7068135741072271,0.5871596362740966,8
OpenBMI,ERM,2,0,0.69625,0.6936029915889015,0.5844771734023737,8
OpenBMI,ERM,2,1,0.780625,0.7783228474050614,0.5145924390277642,8
OpenBMI,ERM,2,2,0.785,0.7786386775116222,0.5063280238556056,8
OpenBMI,ERM,3,0,0.77875,0.7779830459243304,0.5154298045734012,8
OpenBMI,ERM,3,1,0.811875,0.8102347227366886,0.4898875312125503,8
OpenBMI,ERM,3,2,0.78875,0.7869421828460179,0.5057294610071948,8
OpenBMI,ERM,4,0,0.775625,0.7731347588560354,0.5216880888210427,8
OpenBMI,ERM,4,1,0.77875,0.7753936207317315,0.50952988271369,8
OpenBMI,ERM,4,2,0.776875,0.7739530750055256,0.510439793211953,8
OpenBMI,GroupDRO,0,0,0.8043750000000001,0.799972470282169,0.4919459637768133,8
OpenBMI,GroupDRO,0,1,0.791875,0.7887496860852875,0.5034183125671516,8
OpenBMI,GroupDRO,0,2,0.7949999999999999,0.791349678464242,0.50380440945597,8
OpenBMI,GroupDRO,1,0,0.6975,0.6919493381349873,0.5884978507200211,8
OpenBMI,GroupDRO,1,1,0.73625,0.7326736952954049,0.557962484021486,8
OpenBMI,GroupDRO,1,2,0.71,0.7062132641061242,0.5870893171016552,8
OpenBMI,GroupDRO,2,0,0.694375,0.6918066090172531,0.5844966494493098,8
OpenBMI,GroupDRO,2,1,0.780625,0.7784378138185939,0.5146197735485378,8
OpenBMI,GroupDRO,2,2,0.78625,0.7800491906722546,0.5062374057664617,8
OpenBMI,GroupDRO,3,0,0.778125,0.7771482454252012,0.5155621875806043,8
OpenBMI,GroupDRO,3,1,0.81125,0.8096824327702473,0.48991305267944874,8
OpenBMI,GroupDRO,3,2,0.7893749999999999,0.7874787621309329,0.505808259309216,8
OpenBMI,GroupDRO,4,0,0.77625,0.7737245305301444,0.5219151210770259,8
OpenBMI,GroupDRO,4,1,0.77875,0.7753936207317315,0.5098282181286952,8
OpenBMI,GroupDRO,4,2,0.775625,0.772629306623397,0.510941908173612,8
OpenBMI,Mixup,0,0,0.8043750000000001,0.799972470282169,0.49273438114889506,8
OpenBMI,Mixup,0,1,0.791875,0.7887496860852875,0.503715584240924,8
OpenBMI,Mixup,0,2,0.7949999999999999,0.791349678464242,0.5040748885708306,8
OpenBMI,Mixup,1,0,0.69625,0.6906000515743023,0.5887571116695778,8
OpenBMI,Mixup,1,1,0.736875,0.7333071208392741,0.5582839456308851,8
OpenBMI,Mixup,1,2,0.71,0.706220589154227,0.587282721349405,8
OpenBMI,Mixup,2,0,0.696875,0.6942411060958112,0.5847826628929125,8
OpenBMI,Mixup,2,1,0.780625,0.7783228474050614,0.5152920871399306,8
OpenBMI,Mixup,2,2,0.785,0.7786386775116222,0.5068173871465289,8
OpenBMI,Mixup,3,0,0.778125,0.777345997511178,0.5160113684786054,8
OpenBMI,Mixup,3,1,0.811875,0.8102347227366886,0.49059868137761764,8
OpenBMI,Mixup,3,2,0.79,0.788220905995974,0.5062608921637716,8
OpenBMI,Mixup,4,0,0.77625,0.7737245305301444,0.5223243651040974,8
OpenBMI,Mixup,4,1,0.77875,0.7753936207317315,0.5105296834356461,8
OpenBMI,Mixup,4,2,0.776875,0.7739530750055256,0.5110752160882513,8
OpenBMI,PERSIST-RE,0,0,0.805,0.8006791022885358,0.4918963870440457,8
OpenBMI,PERSIST-RE,0,1,0.791875,0.7887496860852875,0.5032909153444314,8
OpenBMI,PERSIST-RE,0,2,0.7949999999999999,0.791349678464242,0.5037107745546824,8
OpenBMI,PERSIST-RE,1,0,0.696875,0.6912233794887332,0.5884875126019682,8
OpenBMI,PERSIST-RE,1,1,0.736875,0.7333071208392741,0.558121701555181,8
OpenBMI,PERSIST-RE,1,2,0.710625,0.7067697477669141,0.5871408118574669,8
OpenBMI,PERSIST-RE,2,0,0.69625,0.6936029915889015,0.5844766358489281,8
OpenBMI,PERSIST-RE,2,1,0.78125,0.7790318312956215,0.5145633769604445,8
OpenBMI,PERSIST-RE,2,2,0.785625,0.7792642869018569,0.506269203836252,8
OpenBMI,PERSIST-RE,3,0,0.7775000000000001,0.7766854067509597,0.5154570045017848,8
OpenBMI,PERSIST-RE,3,1,0.81125,0.8096708787408758,0.4898635628643399,8
OpenBMI,PERSIST-RE,3,2,0.79,0.788220905995974,0.505743736524676,8
OpenBMI,PERSIST-RE,4,0,0.775625,0.7731347588560354,0.5216622838186329,8
OpenBMI,PERSIST-RE,4,1,0.77875,0.7753936207317315,0.5095622406905019,8
OpenBMI,PERSIST-RE,4,2,0.7775,0.774509159291389,0.5105648348393903,8
OpenBMI,ProspectiveOnly,0,0,0.805625,0.8012979479031896,0.4919316000311107,8
OpenBMI,ProspectiveOnly,0,1,0.791875,0.7887496860852875,0.5032919442870144,8
OpenBMI,ProspectiveOnly,0,2,0.7949999999999999,0.791349678464242,0.503727842410312,8
OpenBMI,ProspectiveOnly,1,0,0.69625,0.6905878421726164,0.5884905648642721,8
OpenBMI,ProspectiveOnly,1,1,0.736875,0.7333071208392741,0.5581279408395382,8
OpenBMI,ProspectiveOnly,1,2,0.710625,0.7067697477669141,0.587142487250821,8
OpenBMI,ProspectiveOnly,2,0,0.69625,0.6936029915889015,0.5844953204126823,8
OpenBMI,ProspectiveOnly,2,1,0.780625,0.7784378138185939,0.514559237173158,8
OpenBMI,ProspectiveOnly,2,2,0.785625,0.7792642869018569,0.5062992524500961,8
OpenBMI,ProspectiveOnly,3,0,0.776875,0.7760050238712277,0.5154695070934929,8
OpenBMI,ProspectiveOnly,3,1,0.81125,0.8096708787408758,0.4899260231879095,8
OpenBMI,ProspectiveOnly,3,2,0.79,0.788220905995974,0.5057287025027096,8
OpenBMI,ProspectiveOnly,4,0,0.775625,0.7731347588560354,0.5216762025352938,8
OpenBMI,ProspectiveOnly,4,1,0.77875,0.7753936207317315,0.509605498228444,8
OpenBMI,ProspectiveOnly,4,2,0.7775,0.774509159291389,0.5105853457484115,8
OpenBMI,RandomEffectOnly,0,0,0.805625,0.8012979479031896,0.4919215325530154,8
OpenBMI,RandomEffectOnly,0,1,0.791875,0.7887496860852875,0.5032708767678038,8
OpenBMI,RandomEffectOnly,0,2,0.7949999999999999,0.791349678464242,0.5037218585356922,8
OpenBMI,RandomEffectOnly,1,0,0.69625,0.6905878421726164,0.5884929243034805,8
OpenBMI,RandomEffectOnly,1,1,0.736875,0.7333071208392741,0.5581138654529748,8
OpenBMI,RandomEffectOnly,1,2,0.710625,0.7067697477669141,0.5871319904588465,8
OpenBMI,RandomEffectOnly,2,0,0.69625,0.6936029915889015,0.5844792770772078,8
OpenBMI,RandomEffectOnly,2,1,0.780625,0.7784378138185939,0.5145578539758703,8
OpenBMI,RandomEffectOnly,2,2,0.785625,0.7792642869018569,0.506278804135714,8
OpenBMI,RandomEffectOnly,3,0,0.776875,0.7760050238712277,0.515512048035193,8
OpenBMI,RandomEffectOnly,3,1,0.81125,0.8096708787408758,0.4899410348368973,8
OpenBMI,RandomEffectOnly,3,2,0.79,0.788220905995974,0.5057862310560303,8
OpenBMI,RandomEffectOnly,4,0,0.77625,0.7737675879540065,0.5216753522401585,8
OpenBMI,RandomEffectOnly,4,1,0.77875,0.7753936207317315,0.5095997207312661,8
OpenBMI,RandomEffectOnly,4,2,0.7775,0.774509159291389,0.5105850377577597,8
OpenBMI,SubjectBalancedERM,0,0,0.8043750000000001,0.799972470282169,0.49187788865244625,8
OpenBMI,SubjectBalancedERM,0,1,0.793125,0.78997800511408,0.5032641600490528,8
OpenBMI,SubjectBalancedERM,0,2,0.7949999999999999,0.791349678464242,0.5037265710795406,8
OpenBMI,SubjectBalancedERM,1,0,0.6975,0.6918570329538375,0.5884820882748276,8
OpenBMI,SubjectBalancedERM,1,1,0.736875,0.7333071208392741,0.557983547499579,8
